section,scope,metric_name,variant,value,delta,source_path,note
private,T1_maneuver_intensity_class,macro_f1,chronaris_opt,1.0,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,
private,T1_maneuver_intensity_class,macro_f1,chronaris_opt_no_causal_mask,0.17333333333333334,0.8266666666666667,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,vs target
private,T2_next_window_physiology_response,rmse,chronaris_opt,201.4895651832178,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,
private,T2_next_window_physiology_response,rmse,chronaris_opt_no_causal_mask,313.23247677481385,111.74291159159606,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,vs target
private,T3_paired_pilot_window_retrieval,top1_accuracy,chronaris_opt,1.0,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,
private,T3_paired_pilot_window_retrieval,top1_accuracy,chronaris_opt_no_causal_mask,0.02702702702702703,0.972972972972973,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_private/20260504T120000Z-stage-i-private-opt-package/private_benchmark_summary.json,vs target
support,alignment,mean_projection_cosine,e_baseline,0.7601730250392468,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_support/20260506T120000Z-stage-i-support/support_summary.json,
support,alignment,mean_projection_cosine,f_full,0.699514367348323,-0.06065865769092382,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_support/20260506T120000Z-stage-i-support/support_summary.json,delta_f_minus_e
support,causal,mean_top_contribution_score,g_min,2.609973430633545,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_support/20260506T120000Z-stage-i-support/support_summary.json,
support,causal,delta_mean_top_contribution_score,vehicle_delta_suppressed,-2.39979237318,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_support/20260506T120000Z-stage-i-support/support_summary.json,strongest ablation
public,uab/n_back,rmse,ridge_residual,4.610314175862912,0.043776859262903756,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_public_mainline/20260508T130100Z-stage-i-public-mainline-uab-robust-prior-r1/public_mainline_summary.json,best_deep=contiformer
public,uab/heat_the_chair,rmse,target_prior_median,1.433140268927459,0.02361831481724108,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_public_mainline/20260508T130100Z-stage-i-public-mainline-uab-robust-prior-r1/public_mainline_summary.json,best_deep=contiformer
public,nasa/combined,macro_f1,balanced_logistic_context,0.4549915569394342,0.054991556939434194,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_public_mainline/20260508T130100Z-stage-i-public-mainline-uab-robust-prior-r1/public_mainline_summary.json,public opt closed gate
public,nasa/fusion_confirm,macro_f1,fusion_h64_l2_hd4_do01_bias025_lag16_norm1,0.17815224681421862,-0.2218477531857814,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_midterm_runtime/public_fusion_screen/20260509T030000Z-stage-i-public-fusion-nasa-balanced-e10/fusion_screen_summary.json,balanced_class epochs10 if provided
anchor,overview,selected_view_count,anchor,3.0,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_anchor/20260506T165435Z-stage-i-anchor/anchor_manifest.json,
anchor,overview,selected_anchor_count,anchor,9.0,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_anchor/20260506T165435Z-stage-i-anchor/anchor_manifest.json,
anchor,overview,top_anchor_score,anchor_rank_1,3.3174148805669073,,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_anchor/20260506T165435Z-stage-i-anchor/anchor_manifest.json,
fairness,uab/n_back,rmse,contiformer_confirm,4.654091035125815,0.0,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_midterm_runtime/20260509T031000Z-stage-i-uab-fairness-contiformer/deep_baseline_summary.json,delta_vs_historical
fairness,uab/heat_the_chair,rmse,contiformer_confirm,1.4567585837447001,0.0,/home/wangminan/projects/chronaris/docs/reports/assets/stage_i_midterm_runtime/20260509T031000Z-stage-i-uab-fairness-contiformer/deep_baseline_summary.json,delta_vs_historical
