task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,status,macro_f1,balanced_accuracy
T1_maneuver_intensity_class,p37_t1_focal_gamma1_gate0p65_ls0p05,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma1_gate0p65_ls0p05,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.2591016548463357,0.3846153846153846
T1_maneuver_intensity_class,p37_t1_focal_gamma1_gate0p65_ls0p05,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.16326530612244897,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma1_gate0p65_ls0p05,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.25806451612903225,0.32051282051282054
T1_maneuver_intensity_class,p37_t1_focal_gamma1_gate0p65_ls0p05,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.16326530612244897,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.16326530612244897,0.3076923076923077
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.25806451612903225,0.32051282051282054
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p75_vehicle_skip_collapse0p05,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.21428571428571427,0.358974358974359
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,leave_one_view_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,leave_one_view_out,42,2,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,leave_one_view_out,42,3,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37,completed,0.17333333333333334,0.3333333333333333
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,leave_one_sortie_out,42,1,20251002_单01_ACT-8_翼云_J16_12#01,74,completed,0.25806451612903225,0.32051282051282054
T1_maneuver_intensity_class,p37_t1_focal_gamma2_gate0p85_ls0p10_collapse0p10,leave_one_sortie_out,42,2,20251005_四01_ACT-4_云_J20_22#01,37,completed,0.21428571428571427,0.358974358974359
