stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy,rmse,mae
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_01,1888,0.1711038813530248,0.17193021961575938,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_02,1876,0.4066207226061816,0.45218155661254583,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_03,1642,0.27584374838474074,0.34485809722648675,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_04,2145,0.23196180012966708,0.2862900967000948,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_05,1805,0.2954080327283905,0.329205625346565,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_06,1721,0.4538130617180684,0.565271956716127,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_07,1650,0.44413742052940125,0.510938319756887,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_08,1710,0.2715021286301231,0.3098116010796767,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_09,1628,0.26842043141544375,0.37240901729433545,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_10,1537,0.2477923550999642,0.2557744241111308,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_11,1884,0.3754575510211482,0.40321273038782857,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_12,1848,0.28256830135259875,0.3074867570790693,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_13,1686,0.3077974732094187,0.3136146598797201,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_14,1789,0.38454395319909596,0.4014815998916333,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_15,1476,0.2951935883111347,0.31927869968793715,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,n_back,subject_16,1767,0.31682173557177723,0.3878947414602473,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,heat_the_chair,subject_01,324,0.5152837163512118,0.5202743902439024,,
confirm,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2,42,objective,heat_the_chair,subject_02,314,0.38837949546296735,0.4660087719298246,,
