ablation_group,balanced_accuracy,candidate_count,component,confusion_matrix,display_name_cn,feature_family,leakage_safe,mae,metric_direction,model_mode,mrr,negative_similarity_mean,nrmse,nrmse_normalization,per_class_f1,per_class_precision,per_class_recall,persistence_improvement_rate,persistence_rmse,positive_similarity_mean,primary_metric_name,primary_metric_value,protocol,seed,skipped_fold_count,skipped_reason,source_variant,split_strategy,status,task_name,task_type,top1_accuracy,top3_accuracy,top5_accuracy,valid_fold_count,valid_query_count,variant_name
model_backbone,0.35042735042735046,,naive_time_sync,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,,macro_f1,0.2766045548654244,leakage_safe_v1,17,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,naive_time_sync
model_backbone,0.34188034188034183,,naive_time_sync,"[[14, 25, 0], [12, 24, 0], [12, 24, 0]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.36363636363636365, ""medium"": 0.44036697247706424, ""high"": 0.0}","{""low"": 0.3684210526315789, ""medium"": 0.3287671232876712, ""high"": 0.0}","{""low"": 0.358974358974359, ""medium"": 0.6666666666666666, ""high"": 0.0}",,,,macro_f1,0.2680011120378093,leakage_safe_v1,17,0,,f_full,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,naive_time_sync
model_backbone,0.35042735042735046,,naive_time_sync,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,,macro_f1,0.2766045548654244,leakage_safe_v1,29,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,naive_time_sync
model_backbone,0.34188034188034183,,naive_time_sync,"[[14, 25, 0], [12, 24, 0], [12, 24, 0]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.36363636363636365, ""medium"": 0.44036697247706424, ""high"": 0.0}","{""low"": 0.3684210526315789, ""medium"": 0.3287671232876712, ""high"": 0.0}","{""low"": 0.358974358974359, ""medium"": 0.6666666666666666, ""high"": 0.0}",,,,macro_f1,0.2680011120378093,leakage_safe_v1,29,0,,f_full,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,naive_time_sync
model_backbone,0.35042735042735046,,naive_time_sync,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,,macro_f1,0.2766045548654244,leakage_safe_v1,43,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,naive_time_sync
model_backbone,0.34188034188034183,,naive_time_sync,"[[14, 25, 0], [12, 24, 0], [12, 24, 0]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.36363636363636365, ""medium"": 0.44036697247706424, ""high"": 0.0}","{""low"": 0.3684210526315789, ""medium"": 0.3287671232876712, ""high"": 0.0}","{""low"": 0.358974358974359, ""medium"": 0.6666666666666666, ""high"": 0.0}",,,,macro_f1,0.2680011120378093,leakage_safe_v1,43,0,,f_full,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,naive_time_sync
model_backbone,0.35042735042735046,,naive_time_sync,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,,macro_f1,0.2766045548654244,leakage_safe_v1,71,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,naive_time_sync
model_backbone,0.34188034188034183,,naive_time_sync,"[[14, 25, 0], [12, 24, 0], [12, 24, 0]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.36363636363636365, ""medium"": 0.44036697247706424, ""high"": 0.0}","{""low"": 0.3684210526315789, ""medium"": 0.3287671232876712, ""high"": 0.0}","{""low"": 0.358974358974359, ""medium"": 0.6666666666666666, ""high"": 0.0}",,,,macro_f1,0.2680011120378093,leakage_safe_v1,71,0,,f_full,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,naive_time_sync
model_backbone,0.35042735042735046,,naive_time_sync,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,,macro_f1,0.2766045548654244,leakage_safe_v1,97,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,,,,3,,naive_time_sync
model_backbone,0.34188034188034183,,naive_time_sync,"[[14, 25, 0], [12, 24, 0], [12, 24, 0]]",朴素时间同步,dual_projection,True,,higher_is_better,learned,,,,,"{""low"": 0.36363636363636365, ""medium"": 0.44036697247706424, ""high"": 0.0}","{""low"": 0.3684210526315789, ""medium"": 0.3287671232876712, ""high"": 0.0}","{""low"": 0.358974358974359, ""medium"": 0.6666666666666666, ""high"": 0.0}",,,,macro_f1,0.2680011120378093,leakage_safe_v1,97,0,,f_full,leave_one_sortie_out,completed,T1_maneuver_intensity_class,classification,,,,2,,naive_time_sync
