task_name,split_strategy,metric,baseline_model,chronaris_value,baseline_value,delta_abs,delta_rel_pct,positive_delta_means
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,mult,0.17333333333333334,0.20345968489838803,-0.030126351565054693,-14.807037364724327,chronaris_better
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,contiformer,0.17333333333333334,0.20955790353966644,-0.0362245702063331,-17.28618658349781,chronaris_better
T1_maneuver_intensity_class,leave_one_view_out,macro_f1,classical_baseline,0.17333333333333334,0.21183722764468105,-0.03850389431134771,-18.176169854304874,chronaris_better
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,mult,0.3333333333333333,0.35327635327635326,-0.019943019943019946,-5.645161290322582,chronaris_better
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,contiformer,0.3333333333333333,0.35612535612535606,-0.022792022792022748,-6.399999999999989,chronaris_better
T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,classical_baseline,0.3333333333333333,0.35042735042735046,-0.017094017094017144,-4.878048780487819,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,mult,0.17333333333333334,0.213187939112813,-0.03985460577947966,-18.694587482451215,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,contiformer,0.17333333333333334,0.22299142227690996,-0.04965808894357662,-22.26905790210683,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,classical_baseline,0.17333333333333334,0.18877551020408165,-0.015442176870748309,-8.180180180180184,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,mult,0.3333333333333333,0.3397435897435897,-0.0064102564102563875,-1.8867924528301823,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,contiformer,0.3333333333333333,0.3376068376068376,-0.004273504273504258,-1.2658227848101222,chronaris_better
T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,classical_baseline,0.3333333333333333,0.3333333333333333,0.0,0.0,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,rmse,mult,838.121039184215,344.28897466792205,-493.8320645162929,-143.43534090588003,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,rmse,contiformer,838.121039184215,344.3351099592478,-493.78592922496716,-143.40272453872245,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,rmse,classical_baseline,838.121039184215,463.13663933056176,-374.9843998536532,-80.96625660964165,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,mae,mult,762.5578999733825,273.38187323676215,-489.1760267366204,-178.93506286459962,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,mae,contiformer,762.5578999733825,273.5298546685113,-489.0280453048712,-178.78415718003453,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,mae,classical_baseline,762.5578999733825,360.96902029588074,-401.5888796775018,-111.25300430167817,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,nrmse,mult,8.780987018657159,2.237883859210544,-6.5431031594466145,-292.379031758816,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,nrmse,contiformer,8.780987018657159,2.23608136177063,-6.544905656886529,-292.69532713711175,chronaris_better
T2_next_window_physiology_response,leave_one_view_out,nrmse,classical_baseline,8.780987018657159,4.111481326727145,-4.669505691930014,-113.57234341733158,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,rmse,mult,1111.9789413467881,413.4297629979357,-698.5491783488524,-168.96441448322634,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,rmse,contiformer,1111.9789413467881,414.28891750332235,-697.6900238434657,-168.40663468577353,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,rmse,classical_baseline,1111.9789413467881,11284.299174723108,10172.32023337632,90.14578642298294,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,mae,mult,992.5238629050955,314.74521891276044,-677.778643992335,-215.3419983101311,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,mae,contiformer,992.5238629050955,315.9285888671875,-676.595274037908,-214.16082554097068,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,mae,classical_baseline,992.5238629050955,8571.043220355687,7578.519357450591,88.4200343250176,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,mult,11.316336677838498,2.042551100254059,-9.273785577584439,-454.0295504201064,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,contiformer,11.316336677838498,2.046285331249237,-9.27005134658926,-453.0185113984072,chronaris_better
T2_next_window_physiology_response,leave_one_sortie_out,nrmse,classical_baseline,11.316336677838498,141.462445537937,130.14610886009848,92.0004658234162,chronaris_better
