stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_10,87,0.432034632034632,0.4350547730829421
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_11,85,0.3034188034188034,0.3333333333333333
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_12,86,0.43157894736842106,0.4525821596244131
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_13,86,0.4194577352472089,0.4303599374021909
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_14,87,0.41750841750841755,0.4303599374021909
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_17,86,0.4339869281045752,0.4350547730829421
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_18,85,0.3034188034188034,0.3333333333333333
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_19,84,0.3053763440860215,0.3333333333333333
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_21,86,0.4339869281045752,0.4350547730829421
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_22,87,0.4824717765894236,0.4906103286384977
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_23,86,0.3727753727753728,0.3794992175273866
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_24,85,0.45077972709551656,0.4572769953051643
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_25,86,0.30148619957537154,0.3333333333333333
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_26,86,0.30148619957537154,0.3333333333333333
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_5,81,0.3018018018018018,0.3190476190476191
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_6,81,0.3018018018018018,0.3190476190476191
confirm,nasa_csm,context_only,42,objective,benchmark_only,subject_9,87,0.41750841750841755,0.4303599374021909
confirm,nasa_csm,context_only,42,objective,loft_only,subject_10,100,0.6723143032535298,0.5833333333333334
confirm,nasa_csm,context_only,42,objective,loft_only,subject_11,80,0.7861111111111111,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_12,80,0.7861111111111111,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_13,78,0.493253704932537,0.5
confirm,nasa_csm,context_only,42,objective,loft_only,subject_14,78,0.493253704932537,0.5
confirm,nasa_csm,context_only,42,objective,loft_only,subject_17,64,0.7811320754716982,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_18,64,0.7811320754716982,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_19,94,0.6507936507936508,0.6666666666666666
confirm,nasa_csm,context_only,42,objective,loft_only,subject_21,91,0.7875,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_22,91,0.7875,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_23,69,0.7827586206896552,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_24,69,0.7827586206896552,0.75
confirm,nasa_csm,context_only,42,objective,loft_only,subject_25,52,0.59465737514518,0.6666666666666666
confirm,nasa_csm,context_only,42,objective,loft_only,subject_26,51,0.594047619047619,0.6666666666666666
confirm,nasa_csm,context_only,42,objective,loft_only,subject_5,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,context_only,42,objective,loft_only,subject_6,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,context_only,42,objective,loft_only,subject_9,100,0.6723143032535298,0.5833333333333334
confirm,nasa_csm,context_only,42,objective,combined,subject_10,187,0.47222222222222215,0.4658527954706299
confirm,nasa_csm,context_only,42,objective,combined,subject_11,165,0.5468200703100031,0.5666666666666668
confirm,nasa_csm,context_only,42,objective,combined,subject_12,166,0.5986531986531987,0.573941798941799
confirm,nasa_csm,context_only,42,objective,combined,subject_13,164,0.5311653116531165,0.5506172839506173
confirm,nasa_csm,context_only,42,objective,combined,subject_14,165,0.5489430894308943,0.578395061728395
confirm,nasa_csm,context_only,42,objective,combined,subject_17,150,0.61890598732704,0.5892615999567871
confirm,nasa_csm,context_only,42,objective,combined,subject_18,149,0.6316372326164247,0.6094636201588074
confirm,nasa_csm,context_only,42,objective,combined,subject_19,178,0.570785739010038,0.5644591611479028
confirm,nasa_csm,context_only,42,objective,combined,subject_21,177,0.5415945255173551,0.5765765765765766
confirm,nasa_csm,context_only,42,objective,combined,subject_22,178,0.6264957264957265,0.6136136136136137
confirm,nasa_csm,context_only,42,objective,combined,subject_23,155,0.6199107095213533,0.58948023653906
confirm,nasa_csm,context_only,42,objective,combined,subject_24,154,0.6326014040075313,0.6096822567410802
confirm,nasa_csm,context_only,42,objective,combined,subject_25,138,0.5257683215130023,0.5494393476044852
confirm,nasa_csm,context_only,42,objective,combined,subject_26,137,0.5255126371006199,0.5493827160493827
confirm,nasa_csm,context_only,42,objective,combined,subject_5,180,0.5619266055045872,0.5790322580645161
confirm,nasa_csm,context_only,42,objective,combined,subject_6,180,0.547220723151646,0.5512544802867384
confirm,nasa_csm,context_only,42,objective,combined,subject_9,187,0.5446545909036603,0.5050129747581977
