stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_10,87,0.602093468966534,0.6799687010954617
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_11,85,0.6748366013071895,0.7504694835680752
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_12,86,0.7619718309859156,0.7619718309859156
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_13,86,0.7039573820395738,0.6572769953051644
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_14,87,0.7255136758472563,0.7320813771517997
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_17,86,0.547779022023143,0.6293688054251435
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_18,85,0.5915989159891599,0.6752217005738133
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_19,84,0.6490464679022293,0.5971570161711007
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_21,86,0.8869573568958894,0.9765258215962441
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_22,87,0.5009472502805836,0.6317683881064163
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_23,86,0.4840840840840841,0.541471048513302
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_24,85,0.5292397660818713,0.5286384976525822
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_25,86,0.5444444444444444,0.5323422013562858
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_26,86,0.7626251939624771,0.8098591549295775
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_5,81,0.5076923076923077,0.5772486772486772
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_6,81,0.2978723404255319,0.3
confirm,nasa_csm,event_bias_0p75,42,objective,benchmark_only,subject_9,87,0.7117889420521001,0.6906103286384977
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_10,100,0.5515135143247339,0.5862403100775194
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_11,80,0.6987480438184663,0.6938405797101449
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_12,80,0.6484018264840182,0.6666666666666666
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_13,78,0.6041222459132907,0.6666666666666666
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_14,78,0.6041222459132907,0.6666666666666666
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_17,64,0.5341880341880342,0.5444444444444444
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_18,64,0.3977987421383648,0.4166666666666667
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_19,94,0.6356107660455487,0.6375000000000001
confirm,nasa_csm,event_bias_0p75,42,objective,loft_only,subject_21,91,0.6883286647992529,0.7283549783549783
