stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_10,87,0.7730829420970267,0.7730829420970267
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_11,85,0.6941798941798942,0.7192488262910798
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_12,86,0.701978691019787,0.6666666666666666
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_13,86,0.7234018264840182,0.6757955138236827
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_14,87,0.7438672438672439,0.7607198748043817
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_17,86,0.40911067623396397,0.40714658320292124
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_18,85,0.5860954763393789,0.6967136150234742
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_19,84,0.7401397340545414,0.6804903495044341
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_21,86,0.8397486252945797,0.9624413145539906
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_22,87,0.5159077405066709,0.633489827856025
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_23,86,0.524024024024024,0.5182576943140323
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_24,85,0.533625730994152,0.5333333333333333
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_25,86,0.567953667953668,0.5832029212310902
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_26,86,0.7034341172079134,0.7683881064162755
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_5,81,0.5267661691542288,0.5962962962962962
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_6,81,0.29523809523809524,0.29523809523809524
confirm,nasa_csm,no_fusion_normalization,42,objective,benchmark_only,subject_9,87,0.6280139199602287,0.5730829420970266
confirm,nasa_csm,no_fusion_normalization,42,objective,loft_only,subject_10,100,0.49519289278325423,0.5329457364341085
confirm,nasa_csm,no_fusion_normalization,42,objective,loft_only,subject_11,80,0.7134678688993845,0.716183574879227
confirm,nasa_csm,no_fusion_normalization,42,objective,loft_only,subject_12,80,0.6484018264840182,0.6666666666666666
confirm,nasa_csm,no_fusion_normalization,42,objective,loft_only,subject_13,78,0.6041222459132907,0.6666666666666666
confirm,nasa_csm,no_fusion_normalization,42,objective,loft_only,subject_14,78,0.6041222459132907,0.6666666666666666
