stage,dataset_id,variant_id,seed,track,evaluation_group,split_group,sample_count,macro_f1,balanced_accuracy
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_10,87,0.8079365079365081,0.8145539906103286
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_11,85,0.6398668956633748,0.6671361502347418
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_12,86,0.6005291005291006,0.6192488262910798
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_13,86,0.6543179043179043,0.6711006781429316
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_14,87,0.8370865849126718,0.8607198748043818
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_17,86,0.447887323943662,0.5367762128325508
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_18,85,0.56423109054688,0.635263432446531
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_19,84,0.5692835692835693,0.5230829420970265
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_21,86,0.9276428481275131,0.9859154929577465
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_22,87,0.48299733038755405,0.537245696400626
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_23,86,0.661128526645768,0.6340636411058946
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_24,85,0.5256704980842911,0.6431924882629109
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_25,86,0.6061283980747068,0.5693792383933229
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_26,86,0.6548378522062732,0.5740740740740741
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_5,81,0.49581970192657215,0.582010582010582
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_6,81,0.29577464788732394,0.3
confirm,nasa_csm,simple_dual_stream_concat,42,objective,benchmark_only,subject_9,87,0.6181286549707602,0.5619718309859155
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_10,100,0.6582491582491583,0.5794573643410853
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_11,80,0.6359338061465721,0.6425120772946861
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_12,80,0.6484018264840182,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_13,78,0.6041222459132907,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_14,78,0.5877976190476191,0.6354166666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_17,64,0.5968253968253968,0.66
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_18,64,0.3977987421383648,0.4166666666666667
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_19,94,0.6190476190476191,0.6083333333333333
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_21,91,0.606547619047619,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_22,91,0.5890024994319473,0.5416666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_23,69,0.7827586206896552,0.75
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_24,69,0.6938697318007664,0.6388888888888888
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_25,52,0.59465737514518,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_26,51,0.5267489711934156,0.5555555555555555
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_5,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_6,99,0.6516853932584269,0.6666666666666666
confirm,nasa_csm,simple_dual_stream_concat,42,objective,loft_only,subject_9,100,0.601964395334561,0.5377906976744186
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_10,187,0.43013027964484274,0.4419084689785327
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_11,165,0.7004568331397599,0.723015873015873
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_12,166,0.5273069679849341,0.5714285714285715
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_13,164,0.5286549707602339,0.5179012345679013
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_14,165,0.5490444514834759,0.5481481481481482
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_17,150,0.4858792650918635,0.508494031221304
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_18,149,0.5044244970715559,0.49230270620644956
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_19,178,0.5039049498819613,0.5661472536034281
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_21,177,0.5888150609080841,0.6989931107578166
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_22,178,0.5940585060267919,0.6431431431431431
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_23,155,0.5625602467707731,0.5169623404917523
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_24,154,0.49884696016771485,0.5322270322270323
confirm,nasa_csm,simple_dual_stream_concat,42,objective,combined,subject_25,138,0.5615381280617332,0.5443275169394975
