stage,dataset_id,variant_id,ablation_family,seed,summary_path,artifact_root,evidence_role,data_role,task_group,metric,value
confirm,nasa_csm,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.39410300628375644
confirm,nasa_csm,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3858695652173913
confirm,nasa_csm,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.30255057167985927
confirm,nasa_csm,no_lag_window,lag_window,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.5267141812865498
confirm,nasa_csm,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.32719165430412034
confirm,nasa_csm,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3460144927536232
confirm,nasa_csm,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.30255057167985927
confirm,nasa_csm,full,full,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.49692264632078276
confirm,nasa_csm,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.32719165430412034
confirm,nasa_csm,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3460144927536232
confirm,nasa_csm,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.30255057167985927
confirm,nasa_csm,mse_loss,regression_loss,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.49692264632078276
confirm,nasa_csm,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.32719165430412034
confirm,nasa_csm,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3460144927536232
confirm,nasa_csm,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.30255057167985927
confirm,nasa_csm,no_event_bias,event_bias,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.49692264632078276
confirm,nasa_csm,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.32719165430412034
confirm,nasa_csm,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3460144927536232
confirm,nasa_csm,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.30255057167985927
confirm,nasa_csm,no_target_transform,target_transform,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.49692264632078276
confirm,nasa_csm,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.3023466874108648
confirm,nasa_csm,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3333333333333333
confirm,nasa_csm,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.3024598393574297
confirm,nasa_csm,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.30222579780101905
confirm,nasa_csm,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.3023466874108648
confirm,nasa_csm,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3333333333333333
confirm,nasa_csm,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.3024598393574297
confirm,nasa_csm,no_causal_fusion,causal_fusion,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.4518857225985842
confirm,nasa_csm,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_macro_f1,0.3023466874108648
confirm,nasa_csm,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,combined,combined_balanced_accuracy,0.3333333333333333
confirm,nasa_csm,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,benchmark_only,benchmark_only_macro_f1,0.3024598393574297
confirm,nasa_csm,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,loft_only,loft_only_macro_f1,0.30222579780101905
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,4.676295857876938
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,3.746100350625842
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_rmse,1.4569704227464177
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair,heat_the_chair_mae,1.1600162180469316
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_macro,n_back_macro_f1,0.26523460226177814
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back_balanced,n_back_balanced_accuracy,0.33048078459780145
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_macro,heat_the_chair_macro_f1,0.520504240578475
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,heat_the_chair_balanced,heat_the_chair_balanced_accuracy,0.5225084019335422
confirm,uab_workload_dataset,context_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,uab_mean,mean_rmse,3.0666331403116778
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_rmse,4.918021992037592
confirm,uab_workload_dataset,physiology_only,stream,42,pruned_child_artifact,pruned_child_artifact,public_adapter_context_proxy_evidence,public_context_proxy,n_back,n_back_mae,3.966286894348877
