candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
residual_gated_mlp__full__lr0p0003__wd0p0001,residual_gated_mlp,full,0.0003,0.0001,0.1,"[128, 64]",3.9226339739870832,3.4712898591119528,5.608579328227891,4.982470802010012,2.236688619746275,1.9601089162138936
residual_gated_mlp__full__lr0p0003__wd0p001,residual_gated_mlp,full,0.0003,0.001,0.1,"[128, 64]",3.922692322367202,3.4713910800208536,5.608616225942862,4.982585411619103,2.2367684187915415,1.9601967484226048
mlp_huber_small__full__lr0p0003__wd0p0001,mlp_huber_small,full,0.0003,0.0001,0.1,"[128, 64]",3.996922872535109,3.523765498399486,5.744793329596935,5.073434262103299,2.249052415473283,1.9740967346956737
mlp_huber_small__full__lr0p0003__wd0p001,mlp_huber_small,full,0.0003,0.001,0.1,"[128, 64]",3.9969482408210713,3.523864759519318,5.744780673682231,5.0735644075387425,2.249115807959911,1.9741651114998937
mlp_huber_wide__full__lr0p0003__wd0p001,mlp_huber_wide,full,0.0003,0.001,0.2,"[256, 128]",4.0684180926987645,3.569168772267391,5.857803618295236,5.129469407785036,2.2790325671022926,2.008868136749746
mlp_huber_wide__full__lr0p0003__wd0p0001,mlp_huber_wide,full,0.0003,0.0001,0.2,"[256, 128]",4.068428423600374,3.569142514185887,5.8578482353340835,5.129444685697639,2.2790086118666655,2.008840342674136
residual_gated_mlp__full__lr0p001__wd0p0001,residual_gated_mlp,full,0.001,0.0001,0.1,"[128, 64]",4.077244562679718,3.6039081726841555,5.8188961923124225,5.137500127832222,2.3355929330470144,2.070316217536089
residual_gated_mlp__full__lr0p001__wd0p001,residual_gated_mlp,full,0.001,0.001,0.1,"[128, 64]",4.077567829144753,3.6042195201716973,5.819453497106701,5.13803580152072,2.3356821611828043,2.070403238822674
mlp_huber_small__full__lr0p001__wd0p0001,mlp_huber_small,full,0.001,0.0001,0.1,"[128, 64]",4.098554762525292,3.5697190152702762,5.987898309374474,5.211738223244947,2.2092112156761097,1.9276998072956049
mlp_huber_wide__full__lr0p001__wd0p0001,mlp_huber_wide,full,0.001,0.0001,0.2,"[256, 128]",4.098703960950288,3.5230889313811335,6.018963481669906,5.182391817101848,2.17844444023067,1.8637860456604192
mlp_huber_small__full__lr0p001__wd0p001,mlp_huber_small,full,0.001,0.001,0.1,"[128, 64]",4.098732483009895,3.569946071940107,5.988191728634711,5.212110905055244,2.2092732373850787,1.92778123882497
mlp_huber_wide__full__lr0p001__wd0p001,mlp_huber_wide,full,0.001,0.001,0.2,"[256, 128]",4.098740547270713,3.5231334422567855,6.019133429565201,5.1825808655369,2.1783476649762235,1.8636860189766715
mlp_huber_small__residual_only__lr0p0003__wd0p0001,mlp_huber_small,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.168291789267128,3.6239246182594433,6.121267800936495,5.31188365663994,2.2153157775977617,1.9359655798789468
mlp_huber_small__residual_only__lr0p0003__wd0p001,mlp_huber_small,residual_only,0.0003,0.001,0.1,"[128, 64]",4.168352163562511,3.624004154582344,6.121325296974369,5.3119690175855405,2.2153790301506526,1.9360392915791476
residual_gated_mlp__residual_only__lr0p0003__wd0p001,residual_gated_mlp,residual_only,0.0003,0.001,0.1,"[128, 64]",4.173712803766052,3.6223199063805485,6.154563710273347,5.334475082832576,2.192861897258757,1.9101647299285216
residual_gated_mlp__residual_only__lr0p001__wd0p0001,residual_gated_mlp,residual_only,0.001,0.0001,0.1,"[128, 64]",4.176775198154214,3.605464403159769,6.173473222213368,5.316414485533442,2.18007717409506,1.8945143207860964
residual_gated_mlp__residual_only__lr0p001__wd0p001,residual_gated_mlp,residual_only,0.001,0.001,0.1,"[128, 64]",4.176792712297339,3.605559952731484,6.173448083176897,5.316525025355913,2.180137341417781,1.8945948801070545
residual_gated_mlp__residual_only__lr0p0003__wd0p0001,residual_gated_mlp,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.199978625633348,3.6520789605926423,6.1545491488165744,5.334355940685347,2.245408102450121,1.9698019804999372
mlp_huber_wide__residual_only__lr0p0003__wd0p001,mlp_huber_wide,residual_only,0.0003,0.001,0.2,"[256, 128]",4.223337165652216,3.686679195918081,6.084418191063126,5.271329050320833,2.3622561402413074,2.102029341515329
mlp_huber_wide__residual_only__lr0p0003__wd0p0001,mlp_huber_wide,residual_only,0.0003,0.0001,0.2,"[256, 128]",4.22335043274884,3.68665524460969,6.084452564113308,5.271287503539778,2.3622483013843723,2.1020229856796018
mlp_huber_small__residual_only__lr0p001__wd0p0001,mlp_huber_small,residual_only,0.001,0.0001,0.1,"[128, 64]",4.2349644568349,3.689812159504566,6.127672485646112,5.3016495257035405,2.3422564280236893,2.077974793305591
mlp_huber_small__residual_only__lr0p001__wd0p001,mlp_huber_small,residual_only,0.001,0.001,0.1,"[128, 64]",4.235051655028143,3.6898963296528997,6.1277715532896115,5.30174790098445,2.3423317567666744,2.0780447583213495
mlp_huber_wide__residual_only__lr0p001__wd0p0001,mlp_huber_wide,residual_only,0.001,0.0001,0.2,"[256, 128]",4.26925491792003,3.7539412742526483,6.0504327875026425,5.265059251925475,2.488077048337417,2.2428232965798216
mlp_huber_wide__residual_only__lr0p001__wd0p001,mlp_huber_wide,residual_only,0.001,0.001,0.2,"[256, 128]",4.269273694989057,3.753966737953222,6.050483054128576,5.265127379844428,2.4880643358495376,2.242806096062017
