candidate_id,model_family,feature_profile,learning_rate,weight_decay,dropout,hidden_dims,screen_mean_rmse,screen_mean_mae,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae
mlp_huber_wide__full__lr0p001__wd0p001,mlp_huber_wide,full,0.001,0.001,0.2,"[256, 128]",4.052377309606088,3.4703068482097645,5.92389732516866,5.070266756369972,2.180857294043517,1.8703469400495571
mlp_huber_wide__full__lr0p001__wd0p0001,mlp_huber_wide,full,0.001,0.0001,0.2,"[256, 128]",4.052398365998835,3.4703214511283464,5.923851927056689,5.070207416984868,2.1809448049409803,1.8704354852718246
mlp_huber_small__full__lr0p001__wd0p0001,mlp_huber_small,full,0.001,0.0001,0.1,"[128, 64]",4.065955054579399,3.5130815792709704,5.933794210336658,5.111140789079446,2.19811589882214,1.9150223694624946
mlp_huber_small__full__lr0p001__wd0p001,mlp_huber_small,full,0.001,0.001,0.1,"[128, 64]",4.066020608945549,3.5131753928582254,5.933859385275256,5.111242702158892,2.198181832615842,1.9151080835575593
residual_gated_mlp__full__lr0p0003__wd0p0001,residual_gated_mlp,full,0.0003,0.0001,0.1,"[128, 64]",4.06821453023975,3.508314640890695,5.9017358085322185,5.058754544218212,2.2346932519472817,1.957874737563178
residual_gated_mlp__full__lr0p0003__wd0p001,residual_gated_mlp,full,0.0003,0.001,0.1,"[128, 64]",4.06832897242682,3.5084079504920744,5.901886613270343,5.058855433630639,2.234771331583297,1.9579604673535098
residual_gated_mlp__full__lr0p001__wd0p0001,residual_gated_mlp,full,0.001,0.0001,0.1,"[128, 64]",4.0875724684780375,3.573734766124959,5.8368670145554,5.074096905870552,2.338277922400675,2.0733726263793657
residual_gated_mlp__full__lr0p001__wd0p001,residual_gated_mlp,full,0.001,0.001,0.1,"[128, 64]",4.087670234701932,3.5740639600325914,5.836972068285008,5.074666694651206,2.338368401118855,2.0734612254139773
mlp_huber_small__full__lr0p0003__wd0p0001,mlp_huber_small,full,0.0003,0.0001,0.1,"[128, 64]",4.101065042395483,3.544381759724722,5.954219544712163,5.1161281277118436,2.2479105400788035,1.9726353917376
mlp_huber_small__full__lr0p0003__wd0p001,mlp_huber_small,full,0.0003,0.001,0.1,"[128, 64]",4.101104182834525,3.5444471351123177,5.954233637489307,5.116189906010064,2.247974728179743,1.9727043642145712
mlp_huber_wide__full__lr0p0003__wd0p0001,mlp_huber_wide,full,0.0003,0.0001,0.2,"[256, 128]",4.103337884725038,3.544371273129857,5.930102445272867,5.082851376385816,2.276573324177208,2.005891169873898
mlp_huber_wide__full__lr0p0003__wd0p001,mlp_huber_wide,full,0.0003,0.001,0.2,"[256, 128]",4.103364741568361,3.54442146287406,5.930131412455368,5.082922961785887,2.276598070681356,2.0059199639622323
residual_gated_mlp__residual_only__lr0p001__wd0p0001,residual_gated_mlp,residual_only,0.001,0.0001,0.1,"[128, 64]",4.169457166214365,3.603803145373663,6.163490578841319,5.31839833941985,2.175423753587412,1.8892079513274764
residual_gated_mlp__residual_only__lr0p001__wd0p001,residual_gated_mlp,residual_only,0.001,0.001,0.1,"[128, 64]",4.169500258344962,3.6039005861940714,6.163445446499633,5.318433326649573,2.17555507019029,1.8893678457385694
mlp_huber_small__residual_only__lr0p0003__wd0p0001,mlp_huber_small,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.1729753561075285,3.622944461004407,6.129386240087652,5.308491178915258,2.216564472127405,1.9373977430935563
mlp_huber_small__residual_only__lr0p0003__wd0p001,mlp_huber_small,residual_only,0.0003,0.001,0.1,"[128, 64]",4.173023886634045,3.6230217869597876,6.129417154120863,5.308568618333893,2.2166306191472267,1.937474955585683
residual_gated_mlp__residual_only__lr0p0003__wd0p0001,residual_gated_mlp,residual_only,0.0003,0.0001,0.1,"[128, 64]",4.192537714178837,3.6607396969331387,6.139402547724125,5.351378888641314,2.2456728806335486,1.9701005052249634
residual_gated_mlp__residual_only__lr0p0003__wd0p001,residual_gated_mlp,residual_only,0.0003,0.001,0.1,"[128, 64]",4.192563096320709,3.6608230793418532,6.139376421180504,5.351462982750681,2.2457497714609125,1.9701831759330248
mlp_huber_small__residual_only__lr0p001__wd0p0001,mlp_huber_small,residual_only,0.001,0.0001,0.1,"[128, 64]",4.229225110794447,3.6935329880113743,6.1113657919705355,5.303148570484698,2.347084429618359,2.0839174055380507
mlp_huber_small__residual_only__lr0p001__wd0p001,mlp_huber_small,residual_only,0.001,0.001,0.1,"[128, 64]",4.229308959764847,3.693615499930052,6.111458663443612,5.303242511205372,2.347159256086082,2.0839884886547315
mlp_huber_wide__residual_only__lr0p0003__wd0p0001,mlp_huber_wide,residual_only,0.0003,0.0001,0.2,"[256, 128]",4.236848796813126,3.683562822204351,6.110846907918364,5.265416949723487,2.362850685707888,2.1017086946852155
mlp_huber_wide__residual_only__lr0p0003__wd0p001,mlp_huber_wide,residual_only,0.0003,0.001,0.2,"[256, 128]",4.2368684738003335,3.6835871492529932,6.110878651432752,5.265459120928122,2.3628582961679157,2.101715177577865
mlp_huber_wide__residual_only__lr0p001__wd0p001,mlp_huber_wide,residual_only,0.001,0.001,0.2,"[256, 128]",4.292087357323081,3.7731708309388754,6.106560422363736,5.316684479752289,2.4776142922824262,2.2296571821254623
mlp_huber_wide__residual_only__lr0p001__wd0p0001,mlp_huber_wide,residual_only,0.001,0.0001,0.2,"[256, 128]",4.292089579243537,3.7731434522648235,6.10655467977028,5.316614724455511,2.4776244787167956,2.229672180074136
