task_name,task_type,variant_name,component,optimized_head,evidence_layer,primary_metric_name,primary_metric_value,delta_vs_full,delta_note
T1_maneuver_intensity_class,classification,naive_sync,module_baseline,False,private_proxy,macro_f1,0.788235294117647,0.21176470588235297,positive means score drop
T1_maneuver_intensity_class,classification,e_baseline,module_baseline,False,private_proxy,macro_f1,0.26298137147937123,0.7370186285206288,positive means score drop
T1_maneuver_intensity_class,classification,f_full,module_baseline,False,private_proxy,macro_f1,0.2766045548654244,0.7233954451345757,positive means score drop
T1_maneuver_intensity_class,classification,g_min,module_baseline,False,private_proxy,macro_f1,0.17333333333333334,0.8266666666666667,positive means score drop
T1_maneuver_intensity_class,classification,g_no_causal_mask,module_baseline,False,private_proxy,macro_f1,0.17333333333333334,0.8266666666666667,positive means score drop
T1_maneuver_intensity_class,classification,chronaris_opt,full_candidate,True,private_proxy,macro_f1,1.0,0.0,positive means score drop
T1_maneuver_intensity_class,classification,chronaris_opt_no_causal_mask,remove_causal_mask,True,private_proxy,macro_f1,0.17333333333333334,0.8266666666666667,positive means score drop
T1_maneuver_intensity_class,classification,chronaris_opt_no_time_residual,remove_time_residual,True,private_proxy,macro_f1,0.17333333333333334,0.8266666666666667,positive means score drop
T1_maneuver_intensity_class,classification,chronaris_opt_no_task_head,remove_task_aware_head,False,private_proxy,macro_f1,0.5274194449098119,0.47258055509018815,positive means score drop
T2_next_window_physiology_response,regression,naive_sync,module_baseline,False,private_proxy,rmse,77849.49952891948,77648.00996373626,positive means worse rmse
T2_next_window_physiology_response,regression,e_baseline,module_baseline,False,private_proxy,rmse,333.74431563344734,132.25475045022955,positive means worse rmse
T2_next_window_physiology_response,regression,f_full,module_baseline,False,private_proxy,rmse,339.89539844101887,138.40583325780108,positive means worse rmse
T2_next_window_physiology_response,regression,g_min,module_baseline,False,private_proxy,rmse,278.042433234973,76.55286805175518,positive means worse rmse
T2_next_window_physiology_response,regression,g_no_causal_mask,module_baseline,False,private_proxy,rmse,295.80290867440846,94.31334349119066,positive means worse rmse
T2_next_window_physiology_response,regression,chronaris_opt,full_candidate,True,private_proxy,rmse,201.4895651832178,0.0,positive means worse rmse
T2_next_window_physiology_response,regression,chronaris_opt_no_causal_mask,remove_causal_mask,True,private_proxy,rmse,313.23247677481385,111.74291159159606,positive means worse rmse
T2_next_window_physiology_response,regression,chronaris_opt_no_time_residual,remove_time_residual,True,private_proxy,rmse,313.23247677481385,111.74291159159606,positive means worse rmse
T2_next_window_physiology_response,regression,chronaris_opt_no_task_head,remove_task_aware_head,False,private_proxy,rmse,148134.5203632064,147933.0307980232,positive means worse rmse
T3_paired_pilot_window_retrieval,retrieval,naive_sync,module_baseline,False,private_proxy,top1_accuracy,0.2702702702702703,0.7297297297297297,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,e_baseline,module_baseline,False,private_proxy,top1_accuracy,0.02702702702702703,0.972972972972973,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,f_full,module_baseline,False,private_proxy,top1_accuracy,0.06756756756756757,0.9324324324324325,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,g_min,module_baseline,False,private_proxy,top1_accuracy,0.02702702702702703,0.972972972972973,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,g_no_causal_mask,module_baseline,False,private_proxy,top1_accuracy,0.02702702702702703,0.972972972972973,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,chronaris_opt,full_candidate,True,private_proxy,top1_accuracy,1.0,0.0,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,chronaris_opt_no_causal_mask,remove_causal_mask,True,private_proxy,top1_accuracy,0.02702702702702703,0.972972972972973,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,chronaris_opt_no_time_residual,remove_time_residual,True,private_proxy,top1_accuracy,0.04054054054054054,0.9594594594594594,positive means score drop
T3_paired_pilot_window_retrieval,retrieval,chronaris_opt_no_task_head,remove_task_aware_head,False,private_proxy,top1_accuracy,0.21621621621621623,0.7837837837837838,positive means score drop
