source_type,backend,dataset_id,run_id,subset_id,candidate_name,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,selected_subset,source_path
public_adapter_baseline,sklearn,uab_workload_dataset,20260506T121000Z-task-eval-public-opt-uab,n_back,physiology_persistence,rmse,4.647675963220541,mae,3.8108450859647673,[],docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260506T121000Z-task-eval-public-opt-uab,n_back,ridge_residual,rmse,4.610314175862912,mae,3.8042500756744353,[],docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260506T121000Z-task-eval-public-opt-uab,heat_the_chair,physiology_persistence,rmse,1.4567585657677036,mae,1.1636927899776721,[],docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260506T121000Z-task-eval-public-opt-uab,heat_the_chair,ridge_residual,rmse,1.462376431557945,mae,1.1723914609820236,[],docs/artifacts/runs/2026-05-06_public-opt-uab/public_opt_summary.json
calibration_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,target_prior_median,rmse,1.433140268927459,mae,1.073958345604878,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
calibration_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,target_prior_trimmed_mean,rmse,1.4542981176712229,mae,1.1614813820988525,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
calibration_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,heat_prior_residual_guarded,rmse,1.4647889894366724,mae,1.1431723910511709,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,physiology_persistence,rmse,1.4567585657677036,mae,1.1636927899776721,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,ridge_heat_physiology_lowdim,rmse,1.4623559033790818,mae,1.1723617818133505,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
public_adapter_baseline,sklearn,uab_workload_dataset,20260508T125651Z-task-eval-public-opt-uab-robust-prior-r1,heat_the_chair,huber_heat_physiology_lowdim,rmse,1.5076881916149842,mae,1.197920497433812,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-robust-prior-r1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,benchmark_only,physiology_margin_balanced_logistic,macro_f1,0.4350438025193399,balanced_accuracy,0.5372910389678602,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,benchmark_only,balanced_logistic_context,macro_f1,0.6772997770227688,balanced_accuracy,0.7305180196311558,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,benchmark_only,balanced_linear_svc_context,macro_f1,0.7445135090687961,balanced_accuracy,0.758165694976977,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,loft_only,physiology_margin_balanced_logistic,macro_f1,0.3007729170964785,balanced_accuracy,0.408013930209765,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,loft_only,balanced_logistic_context,macro_f1,0.2863480473875823,balanced_accuracy,0.39297095649854147,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,loft_only,balanced_linear_svc_context,macro_f1,0.3643360690716937,balanced_accuracy,0.39925281706885657,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,combined,physiology_margin_balanced_logistic,macro_f1,0.3496388933859283,balanced_accuracy,0.4389425892414291,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,combined,balanced_logistic_context,macro_f1,0.4549915569394342,balanced_accuracy,0.5590685276024547,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
legacy_public_opt,sklearn,nasa_csm,2026-05-06_public-opt-nasa-round1,combined,balanced_linear_svc_context,macro_f1,0.45127198018021497,balanced_accuracy,0.4899558525774393,[],docs/artifacts/runs/2026-05-06_public-opt-nasa-round1/public_opt_summary.json
torch_uab,torch,uab_workload_dataset,20260506T165558Z-task-eval-public-opt-uab-torch,n_back,mlp_huber_wide__full__lr0p001__wd0p001,rmse,4.7459780477004525,mae,3.774289499199647,[],docs/artifacts/runs/2026-05-06_public-opt-uab-torch/public_opt_torch_summary.json
torch_uab,torch,uab_workload_dataset,20260506T165558Z-task-eval-public-opt-uab-torch,heat_the_chair,mlp_huber_wide__full__lr0p001__wd0p001,rmse,1.530005943609407,mae,1.214984294275443,[],docs/artifacts/runs/2026-05-06_public-opt-uab-torch/public_opt_torch_summary.json
torch_uab,torch,uab_workload_dataset,20260508T090700Z-task-eval-public-opt-uab-heat-specialist-r1,heat_the_chair,heat_residual_correction__lr0p0003__wd0p0001,rmse,1.4629949608517474,mae,1.15944445165349,['heat_the_chair'],docs/artifacts/runs/2026-05-08_public-opt-uab-heat-specialist-r1/public_opt_torch_summary.json
