task_name,task_type,variant_name,display_name_cn,source_variant,component,ablation_group,feature_family,protocol,leakage_safe,primary_metric_name,primary_metric_value,primary_metric_std,metric_direction,delta_vs_full,relative_delta_percent,seed_count,valid_fold_count,split_strategy,evidence_layer,metric_definition,task_name_cn,direction,normalized_delta_vs_full,display_variant,display_variant_cn,report_protocol_cn,task_adapter_note_cn,variant_role,source_path,top1_accuracy,top3_accuracy,top5_accuracy,mrr,positive_similarity_mean,negative_similarity_mean,valid_query_count,candidate_count,candidate_pool_policy
T1_maneuver_intensity_class,classification,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,rmse,862.6941748579226,0.0,lower_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,full_leakage_safe_task_input,完整防泄漏任务输入,chronaris_opt,full_task_input,task_adapter,full_safe,leakage_safe_v1,True,top1_accuracy,0.02702702702702703,0.0,higher_is_better,0.0,0.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,0.0,完整任务输入,完整任务输入,严格评价协议,事件复盘：当前配置下无区分度,full_candidate,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953,0.10666953993810188,0.10147719862157698,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,only_fused_latent,仅融合潜态,chronaris_opt,fused_latent_only,task_adapter,fused_only,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,仅融合潜态,仅融合潜态,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,only_fused_latent,仅融合潜态,chronaris_opt,fused_latent_only,task_adapter,fused_only,leakage_safe_v1,True,rmse,1047.354460097737,0.0,lower_is_better,184.66028523981447,21.405069214733743,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,0.07632841470985342,仅融合潜态,仅融合潜态,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,only_fused_latent,仅融合潜态,chronaris_opt,fused_latent_only,task_adapter,fused_only,leakage_safe_v1,True,top1_accuracy,0.02702702702702703,0.0,higher_is_better,0.0,0.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,0.0,仅融合潜态,仅融合潜态,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,0.02702702702702703,0.08108108108108109,0.13513513513513514,0.1135563844276126,0.07854317833442946,0.08071146547506275,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,remove_raw_window_stats_residual,移除原始窗口统计残差,chronaris_opt,remove_raw_window_stats_residual,task_adapter,full_safe,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,移除原始窗口统计残差,移除原始窗口统计残差,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,remove_raw_window_stats_residual,移除原始窗口统计残差,chronaris_opt,remove_raw_window_stats_residual,task_adapter,full_safe,leakage_safe_v1,True,rmse,862.6941748579226,0.0,lower_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,0.0,移除原始窗口统计残差,移除原始窗口统计残差,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T3_paired_pilot_window_retrieval,retrieval,remove_raw_window_stats_residual,移除原始窗口统计残差,chronaris_opt,remove_raw_window_stats_residual,task_adapter,full_safe,leakage_safe_v1,True,top1_accuracy,0.02702702702702703,0.0,higher_is_better,0.0,0.0,5,5,candidate_pool,private_proxy_leakage_safe,Top-k and MRR over leakage-safe candidate vectors; higher is better.,事件复盘,higher_is_better,0.0,移除原始窗口统计残差,移除原始窗口统计残差,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,0.02702702702702703,0.0945945945945946,0.14864864864864866,0.11994791108940953,0.10666953993810188,0.10147719862157698,74.0,2738.0,same_sortie_cross_pilot
T1_maneuver_intensity_class,classification,remove_task_head,移除任务头,chronaris_opt,remove_task_head,task_adapter,full_safe,leakage_safe_v1,True,macro_f1,0.17333333333333334,0.0,higher_is_better,0.0,0.0,5,15,leave_one_view_out,private_proxy_leakage_safe,Macro-F1 and balanced accuracy; higher is better.,风险预测,higher_is_better,0.0,移除任务头,移除任务头,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
T2_next_window_physiology_response,regression,remove_task_head,移除任务头,chronaris_opt,remove_task_head,task_adapter,full_safe,leakage_safe_v1,True,rmse,201.4895651832178,0.0,lower_is_better,-661.2046096747048,-76.64414910227009,5,15,leave_one_view_out,private_proxy_leakage_safe,RMSE/MAE/NRMSE with target_range normalization and persistence baseline; lower RMSE is better.,工作负荷预测,lower_is_better,-0.2733056519964484,移除任务头,移除任务头,严格评价协议,事件复盘：当前配置下无区分度,component_removed,docs/artifacts/runs/2026-06-19_dingxin-leakage-safe-ablation/ablation_summary.json,,,,,,,,,
