scope,metric,reference,p37_value,reference_value,delta_positive_is_better,dataset_id,p37_variant
private,macro_f1,P30 chronaris_full,0.2046136279570929,0.1733333333333333,0.031280294623759586,,
private,balanced_accuracy,P30 chronaris_full,0.3532763532763532,0.3333333333333333,0.01994301994301989,,
private,macro_f1,P30 chronaris_full,0.220099057606037,0.1733333333333333,0.0467657242727037,,
private,balanced_accuracy,P30 chronaris_full,0.3376068376068376,0.3333333333333333,0.004273504273504258,,
private,top1,P30 chronaris_full,0.0315315315315315,0.027027027027027,0.0045045045045045,,
private,top3,P30 chronaris_full,0.0855855855855856,0.0945945945945945,-0.009009009009008903,,
private,top5,P30 chronaris_full,0.1396396396396396,0.1486486486486486,-0.009009009009009,,
private,mrr,P30 chronaris_full,0.1179391455671304,0.1199479110894095,-0.0020087655222791045,,
,combined_macro_f1,P31 no_lag_window,0.4439192370785678,0.3941030062837564,0.0498162307948114,nasa_csm,p37_public_force_adaptive_context_gate
,combined_macro_f1,P31 no_lag_window,0.4047969021911251,0.3941030062837564,0.010693895907368689,nasa_csm,p37_public_context_adapter_only_cap2x_do0p2
,mean_rmse,P31 context_only,3.191811317622917,4.676295857876938,1.4844845402540212,uab_workload_dataset,p37_public_force_adaptive_context_gate
,mean_rmse,P31 context_only,3.3271185705805437,4.676295857876938,1.3491772872963943,uab_workload_dataset,p37_public_context_adapter_only_cap2x_do0p2
