stage,dataset_id,variant_id,seed,summary_path,artifact_root,description,model_name,hidden_dim,layers,num_heads,dropout,fusion_event_bias_weight,fusion_lag_window_points,fusion_normalize_states,learning_rate,batch_size,regression_loss,huber_delta,target_transform,weight_decay,gradient_clip_max_norm,ablation_family,train_sampling_policy,primary_metric,selection_score,secondary_score,combined_macro_f1,combined_balanced_accuracy,benchmark_only_macro_f1,loft_only_macro_f1,sample_count,fold_count,mean_rmse,n_back_rmse,n_back_mae,heat_the_chair_rmse,heat_the_chair_mae,n_back_macro_f1,n_back_balanced_accuracy,heat_the_chair_macro_f1,heat_the_chair_balanced_accuracy
confirm,nasa_csm,no_lag_window,42,pruned_child_artifact,pruned_child_artifact,Disable lag-aware causal fusion window.,chronaris_public_fusion,64,2,4,0.1,0.25,,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,lag_window,,combined_macro_f1,0.39410300628375644,0.3858695652173913,0.39410300628375644,0.3858695652173913,0.30255057167985927,0.5267141812865498,2810,17,,,,,,,,,
confirm,nasa_csm,full,42,pruned_child_artifact,pruned_child_artifact,P28 best chronaris_public_fusion refresh configuration.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,full,,combined_macro_f1,0.32719165430412034,0.3460144927536232,0.32719165430412034,0.3460144927536232,0.30255057167985927,0.49692264632078276,2810,17,,,,,,,,,
confirm,nasa_csm,mse_loss,42,pruned_child_artifact,pruned_child_artifact,Use MSE for UAB regression.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,mse,1.0,zscore_train,1e-05,1.0,regression_loss,,combined_macro_f1,0.32719165430412034,0.3460144927536232,0.32719165430412034,0.3460144927536232,0.30255057167985927,0.49692264632078276,2810,17,,,,,,,,,
confirm,nasa_csm,no_event_bias,42,pruned_child_artifact,pruned_child_artifact,Set event-bias weight to zero.,chronaris_public_fusion,64,2,4,0.1,0.0,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,event_bias,,combined_macro_f1,0.32719165430412034,0.3460144927536232,0.32719165430412034,0.3460144927536232,0.30255057167985927,0.49692264632078276,2810,17,,,,,,,,,
confirm,nasa_csm,no_target_transform,42,pruned_child_artifact,pruned_child_artifact,Use no UAB regression target transform.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,none,1e-05,1.0,target_transform,,combined_macro_f1,0.32719165430412034,0.3460144927536232,0.32719165430412034,0.3460144927536232,0.30255057167985927,0.49692264632078276,2810,17,,,,,,,,,
confirm,nasa_csm,context_only,42,pruned_child_artifact,pruned_child_artifact,Use only the public context-proxy stream.,chronaris_public_fusion_context_only,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,stream,,combined_macro_f1,0.3023466874108648,0.3333333333333333,0.3023466874108648,0.3333333333333333,0.3024598393574297,0.30222579780101905,2810,17,,,,,,,,,
confirm,nasa_csm,no_causal_fusion,42,pruned_child_artifact,pruned_child_artifact,Replace causal masked fusion with late dual-stream concat.,late_concat_no_causal_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,causal_fusion,,combined_macro_f1,0.3023466874108648,0.3333333333333333,0.3023466874108648,0.3333333333333333,0.3024598393574297,0.4518857225985842,2810,17,,,,,,,,,
confirm,nasa_csm,physiology_only,42,pruned_child_artifact,pruned_child_artifact,Use only the physiology stream.,chronaris_public_fusion_physiology_only,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,stream,,combined_macro_f1,0.3023466874108648,0.3333333333333333,0.3023466874108648,0.3333333333333333,0.3024598393574297,0.30222579780101905,2810,17,,,,,,,,,
confirm,uab_workload_dataset,context_only,42,pruned_child_artifact,pruned_child_artifact,Use only the public context-proxy stream.,chronaris_public_fusion_context_only,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,stream,,mean_rmse,3.0666331403116778,2.453058284336387,,,,,33492,17,3.0666331403116778,4.676295857876938,3.746100350625842,1.4569704227464177,1.1600162180469316,0.26523460226177814,0.33048078459780145,0.520504240578475,0.5225084019335422
confirm,uab_workload_dataset,physiology_only,42,pruned_child_artifact,pruned_child_artifact,Use only the physiology stream.,chronaris_public_fusion_physiology_only,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,stream,,mean_rmse,3.1866791021044993,2.5595624773700885,,,,,33492,17,3.1866791021044993,4.918021992037592,3.966286894348877,1.4553362121714066,1.1528380603912998,0.3096623271471349,0.345215898973197,0.43984568297736926,0.5371052202279429
confirm,uab_workload_dataset,no_causal_fusion,42,pruned_child_artifact,pruned_child_artifact,Replace causal masked fusion with late dual-stream concat.,late_concat_no_causal_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,causal_fusion,,mean_rmse,3.260379243985061,2.5805512403314927,,,,,33492,17,3.260379243985061,5.060245599260122,4.002120917731237,1.4605128887100003,1.158981562931748,0.3321350239025939,0.353543719241245,0.5295596739037922,0.5412271944614714
confirm,uab_workload_dataset,full,42,pruned_child_artifact,pruned_child_artifact,P28 best chronaris_public_fusion refresh configuration.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,full,,mean_rmse,3.2790898239427975,2.592835257830516,,,,,33492,17,3.2790898239427975,5.095746345036021,4.02003209081047,1.4624333028495735,1.165638424850562,0.35769931913332215,0.38119125559337164,0.5072638744453764,0.534479361946246
confirm,uab_workload_dataset,mse_loss,42,pruned_child_artifact,pruned_child_artifact,Use MSE for UAB regression.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,mse,1.0,zscore_train,1e-05,1.0,regression_loss,,mean_rmse,3.308150186558759,2.632824607958042,,,,,33492,17,3.308150186558759,5.143220884656303,4.08085582431145,1.473079488461215,1.1847933916046338,0.3414769061012817,0.3631224603848444,0.5089858489119459,0.5337776426458896
confirm,uab_workload_dataset,no_lag_window,42,pruned_child_artifact,pruned_child_artifact,Disable lag-aware causal fusion window.,chronaris_public_fusion,64,2,4,0.1,0.25,,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,lag_window,,mean_rmse,3.3560502358302875,2.6574839936413364,,,,,33492,17,3.3560502358302875,5.245713527577499,4.150049082706442,1.4663869440830752,1.1649189045762314,0.32162718257845907,0.3453303333854963,0.5299135774836304,0.5418798652222008
confirm,uab_workload_dataset,no_event_bias,42,pruned_child_artifact,pruned_child_artifact,Set event-bias weight to zero.,chronaris_public_fusion,64,2,4,0.1,0.0,16.0,True,0.001,128,smooth_l1,1.0,zscore_train,1e-05,1.0,event_bias,,mean_rmse,3.391208190658871,2.683770193846085,,,,,33492,17,3.391208190658871,5.3207135151237415,4.2026200811796315,1.4617028661940008,1.1649203065125382,0.3391612358555358,0.36396789841037475,0.5079202356425306,0.5347752791024497
confirm,uab_workload_dataset,no_target_transform,42,pruned_child_artifact,pruned_child_artifact,Use no UAB regression target transform.,chronaris_public_fusion,64,2,4,0.1,0.25,16.0,True,0.001,128,smooth_l1,1.0,none,1e-05,1.0,target_transform,,mean_rmse,3.4331293995018024,2.6907928984915324,,,,,33492,17,3.4331293995018024,5.399251492917774,4.223455458063551,1.4670073060858313,1.1581303389195134,0.3414769061012817,0.3631224603848444,0.5089858489119459,0.5337776426458896
