stage,scope,dataset_or_task,split_or_group,metric,reference,reference_value,optimized,optimized_value,delta_positive_is_better,status,boundary
P34,private_feature_export,T1_maneuver_intensity_class,leave_one_sortie_out,balanced_accuracy,P30 Chronaris v1,0.3333333333333333,P34 chronaris_v2_task_heads,0.3418803418803418,0.0085470085470084,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T1_maneuver_intensity_class,leave_one_sortie_out,macro_f1,P30 Chronaris v1,0.1733333333333333,P34 chronaris_v2_task_heads,0.2160654929206758,0.0427321595873425,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T1_maneuver_intensity_class,leave_one_view_out,balanced_accuracy,P30 Chronaris v1,0.3333333333333333,P34 chronaris_v2_task_heads,0.3447293447293447,0.0113960113960113,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T1_maneuver_intensity_class,leave_one_view_out,macro_f1,P30 Chronaris v1,0.1733333333333333,P34 chronaris_v2_task_heads,0.187488997174914,0.0141556638415806,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_sortie_out,mae,P30 Chronaris v1,992.5238629050956,P34 chronaris_v2_task_heads,317.4096145629883,675.1142483421073,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_sortie_out,nrmse,P30 Chronaris v1,11.316336677838498,P34 chronaris_v2_task_heads,2.050324618816376,9.266012059022122,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_sortie_out,rmse,P30 Chronaris v1,1111.978941346788,P34 chronaris_v2_task_heads,415.3611728072357,696.6177685395522,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_view_out,mae,P30 Chronaris v1,762.5578999733825,P34 chronaris_v2_task_heads,276.5041080050998,486.0537919682827,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_view_out,nrmse,P30 Chronaris v1,8.780987018657159,P34 chronaris_v2_task_heads,2.259448885917664,6.521538132739496,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
P34,private_feature_export,T2_next_window_physiology_response,leave_one_view_out,rmse,P30 Chronaris v1,838.121039184215,P34 chronaris_v2_task_heads,346.82748186696887,491.2935573172461,improved,CUDA confirm; 3 seeds / leave_one_view_out + leave_one_sortie_out / 20 epochs; not a P35 stream-role confirm
