dataset_id,variant_id,fused_dim,second_stream_role,second_stream_is_real_vehicle,evidence_role,fusion_route,lag_policy,causal_policy,lag_gate_mean,context_gate_mean,vehicle_gate_mean,causal_gate_mean,source_stage,status,task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason,stage,track,evaluation_group,split_group
private_feature_export,chronaris_v3_stream_role,48.0,real_vehicle,True,private_real_dual_stream,causal_lagged_vehicle_to_physio,causal_lag_window_enabled,vehicle_to_physiology,0.8697541952133179,0.10167156159877777,0.8573641777038574,0.8767289519309998,P35_route_smoke,completed,,,,,,,,,,,,,,,,,,,,,
nasa_csm,chronaris_v3_stream_role,48.0,scenario_context_proxy,False,public_adapter_context_proxy_evidence,adaptive_context_gate,no_lag_or_learned_context_gate_allowed,context_proxy_not_real_vehicle,0.11575119197368622,0.7523466348648071,0.15589725971221924,0.12149675190448761,P35_route_smoke,completed,,,,,,,,,,,,,,,,,,,,,
uab_workload_dataset,chronaris_v3_stream_role,48.0,task_context_proxy,False,public_adapter_context_proxy_evidence,adaptive_context_gate,no_lag_or_learned_context_gate_allowed,context_proxy_not_real_vehicle,0.11985274404287338,0.7558673620223999,0.15809866786003113,0.13320951163768768,P35_route_smoke,completed,,,,,,,,,,,,,,,,,,,,,
nasa_csm,v3_force_private_causal,48.0,scenario_context_proxy,False,public_adapter_context_proxy_evidence,causal_lagged_vehicle_to_physio,no_lag_or_learned_context_gate_allowed,context_proxy_not_real_vehicle,0.8657512068748474,0.10234662145376205,0.861355185508728,0.8714967966079712,P35_route_smoke,completed,,,,,,,,,,,,,,,,,,,,,
uab_workload_dataset,v3_context_adapter_only,48.0,task_context_proxy,False,public_adapter_context_proxy_evidence,context_adapter_only,no_lag_or_learned_context_gate_allowed,context_proxy_not_real_vehicle,0.047941096127033234,0.855867326259613,0.04517105221748352,0.053283803164958954,P35_route_smoke,completed,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.1666666666666666,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,42.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.1733333333333333,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,17.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,37.0,0.1702127659574468,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_view_out,29.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,37.0,0.2142857142857142,0.358974358974359,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2891722323416312,0.3461538461538461,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,42.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.1632653061224489,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,74.0,0.2687136785497441,0.3333333333333333,,,,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T1_maneuver_intensity_class,chronaris_v3_stream_role_fusion,leave_one_sortie_out,17.0,2.0,20251005_四01_ACT-4_云_J20_22#01,37.0,0.2591016548463357,0.3846153846153846,,,,,,,,,,,,
