dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,naive_time_sync,0.6714285714285714,0.33095238095238094,-0.34047619047619043,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,mult,0.6714285714285714,0.37857142857142856,-0.2928571428571428,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,contiformer,0.6714285714285714,0.29523809523809524,-0.37619047619047613,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,balanced_accuracy,chronaris,0.6714285714285714,0.47380952380952374,-0.19761904761904764,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,naive_time_sync,0.568128443160778,0.9327119098108883,-0.3645834666501102,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,mult,0.568128443160778,0.9151497700935499,-0.3470213269327719,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,contiformer,0.568128443160778,0.9189415591926138,-0.35081311603183574,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,brier_score,chronaris,0.568128443160778,0.6185771597711891,-0.05044871661041106,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,ece_10_bins,naive_time_sync,0.3507917989686907,0.48189168823789724,-0.13109988926920652,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_common_pretraining_smoke,held_out,ece_10_bins,mult,0.3507917989686907,0.43087246237279053,-0.0800806634040998,higher_is_better,available
