dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,macro_f1,0.2657342657342658,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,balanced_accuracy,0.2571428571428571,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,macro_auprc,0.34717111592111594,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,brier_score,1.0335931400411709,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,ece_10_bins,0.4652898501575916,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,mae,0.18626199662685394,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,rmse,0.21392423824576334,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,linear,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,spearman,0.16764705882352943,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,macro_f1,0.34920634920634924,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,balanced_accuracy,0.37142857142857144,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,macro_auprc,0.38644457394457393,higher,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,brier_score,1.0529222587538298,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,ece_10_bins,0.5357138319455468,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,mae,0.1594632938504219,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,rmse,0.1962420449160013,lower,available,,True
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,spearman,0.3529411764705882,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,frame_macro_f1,0.18132469460725797,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.10,0.30064484126984126,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.25,0.22827380952380952,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,segmental_f1_iou_0.50,0.09618055555555556,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_f1_1s,0.11458333333333331,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,boundary_f1_2s,0.1574404761904762,higher,available,,True
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,physiology_only,17,simulation_g1_common_pretraining_smoke,validation,edit_score,0.28020833333333334,higher,available,,True
