method,consumer,status,elapsed_s,smoke_only
physiology_only,linear,resumed,0.0,True
physiology_only,minirocket,resumed,0.0,True
physiology_only,causal_tcn,resumed,0.0,True
physiology_only,all_consumers,resumed,0.0007386263459920883,True
vehicle_only,linear,resumed,0.0,True
vehicle_only,minirocket,resumed,0.0,True
vehicle_only,causal_tcn,resumed,0.0,True
vehicle_only,all_consumers,resumed,0.0006154547445476055,True
naive_time_sync,linear,resumed,0.0,True
naive_time_sync,minirocket,resumed,0.0,True
naive_time_sync,causal_tcn,resumed,0.0,True
naive_time_sync,all_consumers,resumed,0.0006095678545534611,True
mult,linear,resumed,0.0,True
mult,minirocket,resumed,0.0,True
mult,causal_tcn,resumed,0.0,True
mult,all_consumers,resumed,0.0005723340436816216,True
contiformer,linear,resumed,0.0,True
contiformer,minirocket,resumed,0.0,True
contiformer,causal_tcn,resumed,0.0,True
contiformer,all_consumers,resumed,0.0006392928771674633,True
chronaris,linear,resumed,0.0,True
chronaris,minirocket,resumed,0.0,True
chronaris,causal_tcn,resumed,0.0,True
chronaris,all_consumers,resumed,0.0006042369641363621,True
