scale_index,lower_s,upper_s,query_time_s,key_time_s,lag_s,selected
0,0.0,5.0,30.0,30.0,0.0,True
0,0.0,5.0,30.0,25.0,5.0,True
0,0.0,5.0,30.0,15.0,15.0,False
0,0.0,5.0,30.0,0.0,30.0,False
0,0.0,5.0,30.0,-1.0,31.0,False
1,5.0,15.0,30.0,30.0,0.0,False
1,5.0,15.0,30.0,25.0,5.0,False
1,5.0,15.0,30.0,15.0,15.0,True
1,5.0,15.0,30.0,0.0,30.0,False
1,5.0,15.0,30.0,-1.0,31.0,False
2,15.0,30.0,30.0,30.0,0.0,False
2,15.0,30.0,30.0,25.0,5.0,False
2,15.0,30.0,30.0,15.0,15.0,False
2,15.0,30.0,30.0,0.0,30.0,True
2,15.0,30.0,30.0,-1.0,31.0,False
