fold_id,task_slug,status,row_count,available_count,unavailable_count,train_count,test_count,archive_path,archive_sha256,threshold_path,threshold_sha256,hash_stable_on_rewrite
leave_one_sortie_out__fold01,maneuver_intensity_classification,resumed,96,96,0,32,64,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold01/maneuver_intensity_classification/targets.npz,c417308457dfbe9660e78c0744083a4d06a301ffa2239eb98e088761a3f46438,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold01/maneuver_intensity_classification/thresholds.json,5aee05531bbf9936fc634ffef011fc47791bb81cea8d54e6ea11e62bb528c428,True
leave_one_sortie_out__fold02,maneuver_intensity_classification,resumed,96,96,0,64,32,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold02/maneuver_intensity_classification/targets.npz,24c53fc5e5facb85316d76207b0819d2393aa2c31e4de8405442e5e9af0aab84,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold02/maneuver_intensity_classification/thresholds.json,43333a515722c386fa1594c3840a479792dfd66451fbf5dd3a2bdafbddf7e26f,True
leave_one_view_out__fold01,maneuver_intensity_classification,resumed,96,96,0,64,32,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold01/maneuver_intensity_classification/targets.npz,09e748c3ca86b95f4b0cd298f348b1fb095f66852c2a534288c76fecb53a30c8,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold01/maneuver_intensity_classification/thresholds.json,0a302d0045bb62fe467817a0160d0c53617c39a21dc175702249911ee73afd92,True
leave_one_view_out__fold02,maneuver_intensity_classification,resumed,96,96,0,64,32,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold02/maneuver_intensity_classification/targets.npz,1261db102c685710b430c17230dce1116a662f74ed14947a485ab72b5b5d4fa5,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold02/maneuver_intensity_classification/thresholds.json,f09b0db0407519781e5550dfd8bbea0b089ffe8b28adfbdef0ee8a85139756fa,True
leave_one_view_out__fold03,maneuver_intensity_classification,resumed,96,96,0,64,32,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold03/maneuver_intensity_classification/targets.npz,24c53fc5e5facb85316d76207b0819d2393aa2c31e4de8405442e5e9af0aab84,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold03/maneuver_intensity_classification/thresholds.json,b1136aa8fa0af4945c9fdba6ed2c9901aa741e359a9f806993738b852c8c4e91,True
leave_one_sortie_out__fold01,physiology_response_prediction,resumed,93,90,3,31,62,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold01/physiology_response_prediction/targets.npz,d7389c27f5fa1d8213ee60a0f83e537803d9ae54210248cc972dab4cf003ba1a,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold01/physiology_response_prediction/thresholds.json,c31132fe55b8595caca197b965eda826b23bc8d2f78992d9196b437589cf0801,True
leave_one_sortie_out__fold02,physiology_response_prediction,resumed,93,90,3,62,31,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold02/physiology_response_prediction/targets.npz,927fd28059fffee877bd828c5d0459d7d97c67310353ca35af0797d6c4cd0df3,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_sortie_out__fold02/physiology_response_prediction/thresholds.json,17e1356773c50bd4dba37ac64985afa0248b22df2ca67c2d22b023b60ee01414,True
leave_one_view_out__fold01,physiology_response_prediction,resumed,93,90,3,62,31,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold01/physiology_response_prediction/targets.npz,db960f712b9c1f7954d365f5866e88e1acd8bafad12903e1425ec8881197f3ae,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold01/physiology_response_prediction/thresholds.json,ec5354e150c6c0b826934069363cc5efccaef17530339ebcb0583766d04d7eca,True
leave_one_view_out__fold02,physiology_response_prediction,resumed,93,90,3,62,31,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold02/physiology_response_prediction/targets.npz,a3df744ad5cc38e21e92d6ca3a52c79841eff26f79ac4e8fb6c5adeeba4095d7,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold02/physiology_response_prediction/thresholds.json,c4b7b836517c1b73de0bfec61d5f6e3941f6b0ac7f082348e707a253839ed4d7,True
leave_one_view_out__fold03,physiology_response_prediction,resumed,93,90,3,62,31,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold03/physiology_response_prediction/targets.npz,927fd28059fffee877bd828c5d0459d7d97c67310353ca35af0797d6c4cd0df3,artifacts/application_evaluation/2026-07-11_dingxin-application-targets/targets/leave_one_view_out__fold03/physiology_response_prediction/thresholds.json,f1e0924a5983d9c8875d1fe78889b5fa51b901a757d1e48168783394426593a0,True
