dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,balanced_accuracy,naive_time_sync,0.5288461538461539,0.5,-0.028846153846153855,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,balanced_accuracy,mult,0.5288461538461539,0.5,-0.028846153846153855,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,balanced_accuracy,contiformer,0.5288461538461539,0.4807692307692308,-0.04807692307692307,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,balanced_accuracy,chronaris,0.5288461538461539,0.5,-0.028846153846153855,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,brier_score,naive_time_sync,0.26666666666666666,0.2666666666666666,5.551115123125783e-17,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,brier_score,mult,0.26666666666666666,0.266666666511658,1.5500867256434958e-10,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,brier_score,contiformer,0.26666666666666666,0.2967711536141953,-0.030104486947528653,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,brier_score,chronaris,0.26666666666666666,1.7333333333314362,-1.4666666666647696,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,ece_10_bins,naive_time_sync,0.1333333333333333,0.13333333333332087,1.2434497875801753e-14,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,ece_10_bins,mult,0.1333333333333333,0.13333333196606612,1.367267188356891e-09,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,ece_10_bins,contiformer,0.1333333333333333,0.15465878989033188,-0.02132545655699858,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,ece_10_bins,chronaris,0.1333333333333333,0.8666666666661426,-0.7333333333328093,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,high_response_recall,naive_time_sync,0.25,0.0,-0.25,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,high_response_recall,mult,0.25,0.0,-0.25,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,high_response_recall,contiformer,0.25,0.0,-0.25,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,high_response_recall,chronaris,0.25,1.0,0.75,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_auprc,naive_time_sync,0.5450102539973114,0.45880226898328325,-0.08620798501402815,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_auprc,mult,0.5450102539973114,0.4892340169820437,-0.05577623701526768,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_auprc,contiformer,0.5450102539973114,0.5588659848504455,0.013855730853134074,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_auprc,chronaris,0.5450102539973114,0.598218641514975,0.05320838751766355,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_f1,naive_time_sync,0.52,0.4642857142857143,-0.055714285714285716,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_f1,mult,0.52,0.4642857142857143,-0.055714285714285716,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_f1,contiformer,0.52,0.45454545454545453,-0.06545454545454549,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,held_out,macro_f1,chronaris,0.52,0.11764705882352941,-0.4023529411764706,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,balanced_accuracy,naive_time_sync,0.9,0.5,-0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,balanced_accuracy,mult,0.9,0.5,-0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,balanced_accuracy,contiformer,0.9,0.5,-0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,balanced_accuracy,chronaris,0.9,0.5,-0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,brier_score,naive_time_sync,0.30218574082828104,0.33445605309726933,-0.0322703122689883,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,brier_score,mult,0.30218574082828104,0.30535086012520324,-0.003165119296922203,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,brier_score,contiformer,0.30218574082828104,0.3037813158891551,-0.0015955750608740438,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,brier_score,chronaris,0.30218574082828104,0.3240882431374742,-0.02190250230919316,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,ece_10_bins,naive_time_sync,0.1426578405472153,0.1556916650866833,-0.013033824539467997,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,ece_10_bins,mult,0.1426578405472153,0.1587880672850105,-0.016130226737795184,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,ece_10_bins,contiformer,0.1426578405472153,0.1826306912955166,-0.039972850748301286,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,ece_10_bins,chronaris,0.1426578405472153,0.124076876954615,0.018580963592600308,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,high_response_recall,naive_time_sync,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,high_response_recall,mult,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,high_response_recall,contiformer,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,high_response_recall,chronaris,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_auprc,naive_time_sync,1.0,0.4383333333333333,-0.5616666666666668,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_auprc,mult,1.0,1.0,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_auprc,contiformer,1.0,0.7333333333333333,-0.2666666666666667,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_auprc,chronaris,1.0,0.5633333333333334,-0.43666666666666665,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_f1,naive_time_sync,0.7777777777777777,0.45454545454545453,-0.32323232323232315,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_f1,mult,0.7777777777777777,0.45454545454545453,-0.32323232323232315,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_f1,contiformer,0.7777777777777777,0.45454545454545453,-0.32323232323232315,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold01,validation,macro_f1,chronaris,0.7777777777777777,0.45454545454545453,-0.32323232323232315,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,balanced_accuracy,naive_time_sync,0.5859728506787331,0.5,-0.08597285067873306,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,balanced_accuracy,mult,0.5859728506787331,0.5,-0.08597285067873306,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,balanced_accuracy,contiformer,0.5859728506787331,0.5,-0.08597285067873306,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,balanced_accuracy,chronaris,0.5859728506787331,0.5,-0.08597285067873306,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,brier_score,naive_time_sync,0.63392139397935,0.8666666666647677,-0.23274527268541767,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,brier_score,mult,0.63392139397935,0.8666663526476517,-0.2327449586683017,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,brier_score,contiformer,0.63392139397935,0.7676593146022059,-0.13373792062285594,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,brier_score,chronaris,0.63392139397935,1.1331317890545156,-0.4992103950751656,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,ece_10_bins,naive_time_sync,0.3272454881211896,0.433333333332794,-0.10608784521160441,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,ece_10_bins,mult,0.3272454881211896,0.4333332356865335,-0.10608774756534389,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,ece_10_bins,contiformer,0.3272454881211896,0.40423656683506404,-0.07699107871387445,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,ece_10_bins,chronaris,0.3272454881211896,0.5647748908604764,-0.2375294027392868,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,high_response_recall,naive_time_sync,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,high_response_recall,mult,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,high_response_recall,contiformer,1.0,0.0,-1.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,high_response_recall,chronaris,1.0,1.0,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_auprc,naive_time_sync,0.706695890532685,0.585538951191508,-0.121156939341177,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_auprc,mult,0.706695890532685,0.5832814258045421,-0.12341446472814288,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_auprc,contiformer,0.706695890532685,0.6730905659359381,-0.03360532459674692,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_auprc,chronaris,0.706695890532685,0.5036800023737947,-0.20301588815889027,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_f1,naive_time_sync,0.5485636114911081,0.3617021276595745,-0.18686148383153361,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_f1,mult,0.5485636114911081,0.3617021276595745,-0.18686148383153361,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_f1,contiformer,0.5485636114911081,0.3617021276595745,-0.18686148383153361,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,held_out,macro_f1,chronaris,0.5485636114911081,0.3023255813953488,-0.24623803009575929,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,balanced_accuracy,naive_time_sync,0.5,0.5,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,balanced_accuracy,mult,0.5,0.5,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,balanced_accuracy,contiformer,0.5,0.5,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,balanced_accuracy,chronaris,0.5,0.3333333333333333,-0.16666666666666669,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,brier_score,naive_time_sync,0.9919648547950491,0.9879596057267562,0.004005249068292915,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,brier_score,mult,0.9919648547950491,0.9790156478120332,0.012949206983015937,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,brier_score,contiformer,0.9919648547950491,0.9515553443698163,0.040409510425232886,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,brier_score,chronaris,0.9919648547950491,1.1507887667613927,-0.1588239119663436,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,ece_10_bins,naive_time_sync,0.4968543581701619,0.4945056120133752,0.0023487461567867074,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,ece_10_bins,mult,0.4968543581701619,0.49465567229318574,0.0021986858769761364,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,ece_10_bins,contiformer,0.4968543581701619,0.50264184577502,-0.005787487604858144,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,ece_10_bins,chronaris,0.4968543581701619,0.6571739420382675,-0.16031958386810563,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,high_response_recall,naive_time_sync,0.3333333333333333,1.0,0.6666666666666667,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,high_response_recall,mult,0.3333333333333333,0.0,-0.3333333333333333,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,high_response_recall,contiformer,0.3333333333333333,0.0,-0.3333333333333333,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,high_response_recall,chronaris,0.3333333333333333,0.3333333333333333,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_auprc,naive_time_sync,0.5962962962962963,0.7,0.10370370370370363,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_auprc,mult,0.5962962962962963,1.0,0.4037037037037037,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_auprc,contiformer,0.5962962962962963,0.49404761904761907,-0.10224867724867726,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_auprc,chronaris,0.5962962962962963,0.4517676767676768,-0.1445286195286195,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_f1,naive_time_sync,0.3333333333333333,0.3333333333333333,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_f1,mult,0.3333333333333333,0.3333333333333333,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_f1,contiformer,0.3333333333333333,0.3333333333333333,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_sortie_out__fold02,validation,macro_f1,chronaris,0.3333333333333333,0.3333333333333333,0.0,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,balanced_accuracy,naive_time_sync,0.78,1.0,0.21999999999999997,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,balanced_accuracy,mult,0.78,0.98,0.19999999999999996,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,balanced_accuracy,contiformer,0.78,0.6,-0.18000000000000005,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,balanced_accuracy,chronaris,0.78,0.88,0.09999999999999998,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,brier_score,naive_time_sync,0.09047260266139881,0.008152477795347614,0.0823201248660512,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,brier_score,mult,0.09047260266139881,0.058010437760202635,0.032462164901196175,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,brier_score,contiformer,0.09047260266139881,0.18965759220761017,-0.09918498954621136,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,brier_score,chronaris,0.09047260266139881,0.07506224373940054,0.015410358921998268,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,ece_10_bins,naive_time_sync,0.09471246268294518,0.03892330854731753,0.055789154135627655,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,ece_10_bins,mult,0.09471246268294518,0.06465222682222796,0.030060235860717224,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,ece_10_bins,contiformer,0.09471246268294518,0.11287945656319323,-0.018166993880248047,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,ece_10_bins,chronaris,0.09471246268294518,0.05152712221372005,0.043185340469225134,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,high_response_recall,naive_time_sync,0.6,1.0,0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,high_response_recall,mult,0.6,1.0,0.4,higher_is_better,available
dingxin_existing_dual_stream,high_physiology_response_classification,linear,17,leave_one_view_out__fold01,held_out,high_response_recall,contiformer,0.6,0.2,-0.39999999999999997,higher_is_better,available
