check_id,passed,actual,expected
five_fixed_folds_present,True,"['leave_one_sortie_out__fold01', 'leave_one_sortie_out__fold02', 'leave_one_view_out__fold01', 'leave_one_view_out__fold02', 'leave_one_view_out__fold03']","['leave_one_sortie_out__fold01', 'leave_one_sortie_out__fold02', 'leave_one_view_out__fold01', 'leave_one_view_out__fold02', 'leave_one_view_out__fold03']"
all_fold_runs_completed,True,"['completed', 'completed', 'completed', 'completed', 'completed']",five completed
all_fold_acceptance_passed,True,"[12, 12, 12, 12, 12]",60/60
thirty_checkpoint_records,True,30,30
checkpoint_fit_hashes_match_inner_train,True,True,True
checkpoint_training_has_no_labels,True,False,False
ninety_role_representations,True,90,90
all_representation_archives_valid,True,90,90
all_exports_resume_reused,True,"[18, 18, 18, 18, 18]",90
role_sample_counts_match_split,True,True,True
one_common_input_schema,True,['dd36f05f8880bee8c5ba77d76ac069241098d7e78a13a386149e512e273e1315'],one schema hash
targets_and_outer_metrics_remain_closed,True,False,False
all_runs_below_memory_gate,True,2047.1,<2500 MB
