fold_run_id,fold_id,method_name,parameter_count,head_parameter_count,training_elapsed_s,step_count,maximum_rss_mb
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,physiology_only,111168,125903,10.44996946817264,31,1082.4921875
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,vehicle_only,292224,125903,15.677064070943745,31,1090.69921875
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,mult,1196800,125903,17.258160946890712,31,1140.54296875
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,contiformer,294528,125903,15.741034746170044,31,1140.54296875
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,chronaris,306186,125903,148.73162436764687,31,1727.25390625
2026-07-11_dingxin-fold-pretraining-smoke,leave_one_view_out__fold01,naive_time_sync,0,0,5.770266559906304,0,1967.44140625
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,physiology_only,111168,125903,10.594926563091576,31,1111.63671875
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,vehicle_only,292224,125903,15.296187927015126,31,1111.63671875
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,mult,1196800,125903,17.438601688016206,31,1123.2734375
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,contiformer,294528,125903,15.536261516157538,31,1123.2734375
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,chronaris,306186,125903,148.81236929493025,31,1727.2734375
2026-07-11_dingxin-fold-pretraining-view02,leave_one_view_out__fold02,naive_time_sync,0,0,5.735307359602302,0,1925.6953125
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,physiology_only,111168,125903,12.988359222188592,38,1113.90625
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,vehicle_only,292224,125903,19.616620850283653,38,1116.40625
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,mult,1196800,125903,21.499082236085087,38,1133.90625
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,contiformer,294528,125903,19.50135188084096,38,1133.90625
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,chronaris,306186,125903,190.3921658382751,38,1742.4140625
2026-07-11_dingxin-fold-pretraining-view03,leave_one_view_out__fold03,naive_time_sync,0,0,6.9173036948777735,0,2047.1171875
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,physiology_only,111168,125903,6.534300828818232,19,1074.43359375
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,vehicle_only,292224,125903,9.532922054175287,19,1074.43359375
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,mult,1196800,125903,10.550437454134226,19,1119.53515625
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,contiformer,294528,125903,9.653148347977549,19,1119.53515625
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,chronaris,306186,125903,90.09403439704327,19,1727.1328125
2026-07-11_dingxin-fold-pretraining-sortie01,leave_one_sortie_out__fold01,naive_time_sync,0,0,3.764363523107022,0,1828.33984375
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,physiology_only,111168,125903,13.127096675802022,38,1111.99609375
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,vehicle_only,292224,125903,19.345755745191127,38,1114.49609375
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,mult,1196800,125903,21.31928132707253,38,1135.99609375
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,contiformer,294528,125903,19.45051590912044,38,1135.99609375
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,chronaris,306186,125903,187.30457505071536,38,1732.1015625
2026-07-11_dingxin-fold-pretraining-sortie02,leave_one_sortie_out__fold02,naive_time_sync,0,0,7.019454621244222,0,2024.5390625
