fold_id,task_slug,row_count,available_count,archive_path,archive_sha256
leave_one_sortie_out__fold01,maneuver_intensity_classification,88,88,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_sortie_out__fold01/maneuver_intensity_classification/targets.npz,63a15866ec0d92708d9ad138d0584c7dc34a012e2675a8b2beb995ecbb443888
leave_one_sortie_out__fold01,physiology_response_prediction,88,85,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_sortie_out__fold01/physiology_response_prediction/targets.npz,5c978e85af207976fb3e73023c385f045a606d1e2750ed694ce302cb22af479d
leave_one_sortie_out__fold02,maneuver_intensity_classification,83,83,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_sortie_out__fold02/maneuver_intensity_classification/targets.npz,e2435f3c3a7ec906060b62f30f7b7ba19a11a2428fc3d5104fc5eb948acb06f5
leave_one_sortie_out__fold02,physiology_response_prediction,83,80,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_sortie_out__fold02/physiology_response_prediction/targets.npz,8564b1a7f4707b5c6974673d9b07bcd5898e2bb9bf63a351f25b4fd64dc31ba3
leave_one_view_out__fold01,maneuver_intensity_classification,93,93,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold01/maneuver_intensity_classification/targets.npz,54b37be18f99619e9de756d1400c2dcbc460acb1a0dd07dd1261e5bc3dc99ed7
leave_one_view_out__fold01,physiology_response_prediction,93,90,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold01/physiology_response_prediction/targets.npz,6c91441c1b6617291cf6c3d8fe27b3344af89bd61aae2048ff1e9ac5f1f873bc
leave_one_view_out__fold02,maneuver_intensity_classification,93,93,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold02/maneuver_intensity_classification/targets.npz,7400cef6207f72ce0d543606b333c7e05a4bba5c4c36b26027d6f1fda3e2cf7c
leave_one_view_out__fold02,physiology_response_prediction,93,90,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold02/physiology_response_prediction/targets.npz,78a65ae296cc8ad14e118d8c09e5112c19da93e0bf92090507057278c1ed0313
leave_one_view_out__fold03,maneuver_intensity_classification,83,83,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold03/maneuver_intensity_classification/targets.npz,e2435f3c3a7ec906060b62f30f7b7ba19a11a2428fc3d5104fc5eb948acb06f5
leave_one_view_out__fold03,physiology_response_prediction,83,80,artifacts/application_evaluation/2026-07-11_dingxin-nested-targets/targets/leave_one_view_out__fold03/physiology_response_prediction/targets.npz,8564b1a7f4707b5c6974673d9b07bcd5898e2bb9bf63a351f25b4fd64dc31ba3
