method_name,candidate_id,selection_loss,parameter_count,best_epoch,completed_epochs,checkpoint_path,rank,selected,raw_masked_reconstruction,raw_short_horizon_prediction,raw_lag_discrimination,normalized_masked_reconstruction,normalized_short_horizon_prediction,normalized_lag_discrimination
chronaris,A,0.012968228631784717,123222,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/chronaris/A/best.pt,1,True,0.07545652240514755,0.09027040749788284,0.3545244038105011,0.0,0.0,0.051872914527138866
chronaris,D,0.05036127997698493,123222,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/chronaris/D/best.pt,2,False,0.07992345839738846,0.09785151481628418,0.3481312692165375,0.05715277119092026,0.0871395775260992,0.0
chronaris,C,0.5151681197097797,37078,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/chronaris/C/best.pt,3,False,0.11670619994401932,0.13113223016262054,0.41412287950515747,0.5277741579851223,0.46967834834746625,0.5354458145214079
chronaris,B,1.0,123222,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/chronaris/B/best.pt,4,False,0.153614342212677,0.17726999521255493,0.4713773727416992,1.0,1.0,1.0
contiformer,A,0.04817046526406546,112512,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/contiformer/A/best.pt,1,True,0.16353090107440948,0.18258821964263916,0.3385114371776581,0.0,0.19268186105626184,0.0
contiformer,C,0.11680597117094846,31744,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/contiformer/C/best.pt,2,False,0.17353667318820953,0.16792239248752594,0.4021603465080261,0.11203502758929879,0.0,0.24315382950519626
contiformer,D,0.13944506429958597,112512,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/contiformer/D/best.pt,3,False,0.17493648827075958,0.18681296706199646,0.3526926040649414,0.12770881264154,0.24818723328278455,0.054175398632479374
contiformer,B,1.0,112512,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/contiformer/B/best.pt,4,False,0.25284022092819214,0.24403659999370575,0.6002753973007202,1.0,1.0,1.0
mult,A,0.0,1014784,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/mult/A/best.pt,1,True,0.06593231856822968,0.06519466638565063,0.22995367646217346,0.0,0.0,0.0
mult,D,0.07382889275850604,1014784,47,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/mult/D/best.pt,2,False,0.06874154508113861,0.06951214373111725,0.25683093070983887,0.06171260970188584,0.06116372375050083,0.11072662787975164
mult,C,0.23926985026884734,261664,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/mult/C/best.pt,3,False,0.07522952556610107,0.08526325970888138,0.2941080927848816,0.20423946027163184,0.2843025683440086,0.26429791218811705
mult,B,1.0,1014784,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/mult/B/best.pt,4,False,0.11145342886447906,0.13578352332115173,0.4726889133453369,1.0,1.0,1.0
physiology_only,A,0.01487593350999759,110208,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/physiology_only/A/best.pt,1,True,0.2453722208738327,0.20831936597824097,0.6932186484336853,0.0,0.0,0.05950373403999036
physiology_only,D,0.02616391339881424,110208,49,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/physiology_only/D/best.pt,2,False,0.24588488042354584,0.2090390920639038,0.6932039260864258,0.040787534692048426,0.023080584211160108,0.0
physiology_only,C,0.13296396808620609,30592,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/physiology_only/C/best.pt,3,False,0.24593934416770935,0.20951487123966217,0.6933037042617798,0.0451207063959037,0.038338140593730106,0.4032763189592869
physiology_only,B,1.0,110208,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/physiology_only/B/best.pt,4,False,0.25794124603271484,0.23950254917144775,0.6934513449668884,1.0,1.0,1.0
vehicle_only,C,0.026809648757762296,31072,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/vehicle_only/C/best.pt,1,True,0.18777744472026825,0.21419458091259003,0.2974379360675812,0.05361929751552459,0.0,0.0
vehicle_only,A,0.06382123666203657,111168,48,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/vehicle_only/A/best.pt,2,False,0.18422937393188477,0.22031855583190918,0.3301340341567993,0.0,0.1346570786275347,0.12062786802061154
vehicle_only,D,0.09182700004212796,111168,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/vehicle_only/D/best.pt,3,False,0.18752002716064453,0.2211744338274002,0.3284386992454529,0.049729141557990006,0.15347655977381366,0.11437315727871813
vehicle_only,B,1.0,111168,50,50,artifacts/application_evaluation/2026-07-11_encoder-candidate-screen-seed17/checkpoints/vehicle_only/B/best.pt,4,False,0.2504009008407593,0.2596728801727295,0.5684872269630432,1.0,1.0,1.0
