seed,fold_id,fold_family,method_name,status,protocol_sha256,hyperparameter_selection_role,outer_test_metrics_opened
17,leave_one_view_out__fold01,leave_one_view_out_main,physiology_only,completed,170cdff257bc494b1b7117c6e47a8925250f45c3d84e24bc3ecd48adb451ba3d,validation,True
17,leave_one_view_out__fold01,leave_one_view_out_main,vehicle_only,completed,85aa387f664cf8dab9635bdb81d09a6fc74edf3040123913d480772c14950d8a,validation,True
17,leave_one_view_out__fold01,leave_one_view_out_main,naive_time_sync,completed,01afe0dee9b2eed2c7eb1dfc2205f9e3ec3cf97c25eb22dc991a2091fc0aeeff,validation,True
17,leave_one_view_out__fold01,leave_one_view_out_main,mult,completed,ecff77cbe3e4078b212ccd59270d143362d06de0890743d6e0f8fead3a45d6e8,validation,True
17,leave_one_view_out__fold01,leave_one_view_out_main,contiformer,completed,e5c01432c72f6fa7c2f7673ce5dadd7e016c7c6f7fc45d3ff09820df2ae04e99,validation,True
17,leave_one_view_out__fold01,leave_one_view_out_main,chronaris,completed,f9cc6e4364b9f6bd845cfe20c340fef2e06d580d702cca0967d944faed939ab4,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,physiology_only,completed,b9362eea64feec7036d5db6a05f4cf2b76c1912573773d16245ce378cb380b6d,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,vehicle_only,completed,495b0f057be973893ae98885a3a8ff8a160c4fef27a1ed7b45d8184551294a09,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,naive_time_sync,completed,4f7d24e4f492178823108a4ef6d5194b1e142663191d8f374a69d641bf5e3cac,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,mult,completed,385c819575f0f8b1daad94f33d5587f7d5c58d665c2b088c01c340d4b6587614,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,contiformer,completed,b14bf19a42b6f8e9756990805b2bef6344d10ac7dbea64c4c71e247aadf2021b,validation,True
17,leave_one_view_out__fold02,leave_one_view_out_main,chronaris,completed,b454eae5bf196e7d2afe590f9a7061828fcb3b8370e04619304c5a1d12cddff5,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,physiology_only,completed,facc794396cf90b9d9f0bfd8526c83f677ebaaf112e041bc03d0fa40af6b76bb,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,vehicle_only,completed,840857268907558148010a1467ef36393bac2b5837330bc79869a2763184d3c5,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,naive_time_sync,completed,09b30f20aca77c1262942c898c0ed5ceb2f48fe93430890c4a8476f23ead17c8,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,mult,completed,d625df4dc6e21bfb47834cb5f460ba042a62f5d723e0e52a01e7d6c341755aa9,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,contiformer,completed,96c32967e67a7aec309aa28c2fa4b5fca1845c0bbe565ec4ed944f1bc14c3686,validation,True
17,leave_one_view_out__fold03,leave_one_view_out_main,chronaris,completed,b1a1d797d69a05de9d95f6dcda092494f3fc1b41c97cb4b201ca65259e633e8b,validation,True
17,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,physiology_only,completed,c41a53e1a48f8ce19f45246f5b9a03f500b4570f71854c51d8edd70d2f8eeedb,validation,True
17,leave_one_sortie_out__fold01,leave_one_sortie_out_auxiliary,vehicle_only,completed,0686c9e4fefa3c8f434f1a2599c290e281490eb099aab665197ea739efce5132,validation,True
