seed,fold_id,method_name,epoch,step,term_name,weight,raw_loss,weighted_loss,count,status
17,leave_one_view_out__fold01,chronaris,1,1,chronaris_continuous_alignment,0.0,0.05515565723180771,0.0,2321,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,1,1,chronaris_physical_consistency,0.0,2.161238431930542,0.0,5,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,1,1,chronaris_causal_direction,0.0,0.0973423644900322,0.0,2321,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,2,1,chronaris_continuous_alignment,0.0,0.04915235936641693,0.0,2257,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,2,1,chronaris_physical_consistency,0.0,166694.015625,0.0,5,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,2,1,chronaris_causal_direction,0.0,0.09268484264612198,0.0,2257,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,3,1,chronaris_continuous_alignment,0.0,0.03851345553994179,0.0,2579,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,3,1,chronaris_physical_consistency,0.0,73430.8984375,0.0,5,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,3,1,chronaris_causal_direction,0.0,0.09654074162244797,0.0,2579,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,4,1,chronaris_continuous_alignment,0.0,0.03648646920919418,0.0,2299,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,4,1,chronaris_physical_consistency,0.0,1.5781164169311523,0.0,5,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,4,1,chronaris_causal_direction,0.0,0.09790949523448944,0.0,2299,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,5,1,chronaris_continuous_alignment,0.0,0.03707333654165268,0.0,2282,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,5,1,chronaris_physical_consistency,0.0,3.1345415115356445,0.0,5,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,5,1,chronaris_causal_direction,0.0,0.09881390631198883,0.0,2282,scheduled_zero_or_unavailable
17,leave_one_view_out__fold01,chronaris,6,1,chronaris_continuous_alignment,0.0,0.040154606103897095,0.0,2313,scheduled_zero_or_unavailable
