seed,fold_id,method_name,candidate_id,status,best_epoch,completed_epochs,stopped_early,best_public_selection_loss,training_elapsed_s,parameter_count,training_device,training_device_history,checkpoint_path,checkpoint_sha256,maximum_rss_mb,task_targets_opened,outer_test_accessed,transfer_initialized,transfer_source_sha256,transfer_copied_element_fraction
17,leave_one_view_out__fold01,physiology_only,A,completed,20,20,False,0.6924219280481339,43.533580959774554,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_17/leave_one_view_out__fold01/physiology_only/A/best.pt,54559cfc9217dc7ad8185f09edae13dc5bb0e23256e44deaf0c9cf681fe307ed,3489.7421875,False,False,True,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,0.9792746113989638
17,leave_one_view_out__fold01,vehicle_only,C,completed,19,20,False,0.627820685505867,39.380380681250244,121600,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_17/leave_one_view_out__fold01/vehicle_only/C/best.pt,052111b5f55f805145e0537e6dd47c8bf29309258232f833f9533b607f258d31,3489.7421875,False,False,True,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,0.24605263157894736
17,leave_one_view_out__fold01,mult,A,completed,18,20,False,0.672620415687561,48.403177838772535,1196800,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_17/leave_one_view_out__fold01/mult/A/best.pt,9c6f87eaeefbe1858d4628f41dfbb7348ff1f9e1f61f3e63dc7e8a5c1ad34591,3489.7421875,False,False,True,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,0.8446534448299142
17,leave_one_view_out__fold01,contiformer,A,completed,20,20,False,0.6413204520940781,42.94810195919126,294528,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_17/leave_one_view_out__fold01/contiformer/A/best.pt,55effb86814eec0c9e70f377a139d341822cbab0fcf3ae1e52097da3a9424c5f,3489.7421875,False,False,True,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,0.36962190352020863
17,leave_one_view_out__fold01,chronaris,A,completed,17,20,False,0.5936308801174164,366.01999359112233,306186,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_17/leave_one_view_out__fold01/chronaris/best.pt,9641db3c94b37a685162bbe88541605c702e1b20fa88575275f71ee9b3b3bb57,3489.7421875,False,False,True,011878f38c480566357fa923b42d548824ae7ce67dd4e0c79b03f91622f8a650,0.3904652727427119
29,leave_one_view_out__fold01,physiology_only,A,completed,20,20,False,0.7090946584939957,40.72632336290553,111168,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_29/leave_one_view_out__fold01/physiology_only/A/best.pt,ead2d6fdf8d57decfab72b2d8b48d2e51016bbd84cbadde1ba8ad386a0cc5248,3489.7421875,False,False,True,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,0.9792746113989638
29,leave_one_view_out__fold01,vehicle_only,C,completed,20,20,False,0.6721094846725464,39.887835239991546,121600,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_29/leave_one_view_out__fold01/vehicle_only/C/best.pt,c8e11bfdb0b47f55437fd41864b3326dab6102858b80ac1638e72a974805955a,3489.7421875,False,False,True,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,0.24605263157894736
29,leave_one_view_out__fold01,mult,A,completed,8,13,True,0.7200391590595245,31.723655690904707,1196800,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_29/leave_one_view_out__fold01/mult/A/best.pt,82da92945d27f387e1f4ab419c02cec6a46e7ffee8d673e7b3ba34fcbc79646a,3489.7421875,False,False,True,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,0.8446534448299142
29,leave_one_view_out__fold01,contiformer,A,completed,20,20,False,0.6831090152263641,41.11408678768203,294528,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_29/leave_one_view_out__fold01/contiformer/A/best.pt,dc445ae7e263a2fa92d18ca46aeb0d3af56efcec9fc9f95ba681352597720867,3489.7421875,False,False,True,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,0.36962190352020863
29,leave_one_view_out__fold01,chronaris,A,completed,11,16,True,0.6523125246167183,290.72434920910746,306186,cuda,"[""cuda""]",artifacts/application_evaluation/2026-07-12_dingxin-synthetic-pretrain-adapt-pretraining-coalesced/checkpoints/seed_29/leave_one_view_out__fold01/chronaris/best.pt,f48b271f0cb942a425a400651c17309c69ea9ac0eba4dc20c58e57955af88331,3489.7421875,False,False,True,769ded96b5674497fbbc9263179377ca3f7a513fae820d792414c31b0d482eba,0.3904652727427119
