task,consumer,metric,ablation_method,mean,std,count
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_continuous_evolution,0.06907359702090873,0.0985348765951626,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_physics,-0.019287368375814965,0.01228161182572527,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_no_causal_mask,0.0060295617128569,0.00903208508952412,3
simulated_future_workload_classification,minirocket,macro_f1,chronaris_single_scale_lag,0.0056426193084883995,0.04330124460882138,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_continuous_evolution,0.0277857784992131,0.0013870446999951316,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_physics,0.011834478198124901,0.012940699782164278,3
simulated_future_workload_regression,minirocket,rmse,chronaris_no_causal_mask,0.008233015098107133,0.014105855072259074,3
simulated_future_workload_regression,minirocket,rmse,chronaris_single_scale_lag,0.011817303515486965,0.008522209753014612,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_continuous_evolution,0.014242220043140734,0.010260870724149062,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_physics,0.0043852659852447,0.004481762789532129,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_no_causal_mask,0.06622324673142876,0.03097088433825783,3
simulated_maneuver_state_segmentation,causal_tcn_duration,frame_macro_f1,chronaris_single_scale_lag,0.0623341322957389,0.0054715001561977,3
