seed,method,task,consumer,metric,direction,real_only_mean,real_only_mean_worst_fold,transfer_mean,transfer_mean_worst_fold,raw_delta_transfer_minus_real,normalized_improvement,transfer_improved,method_label,task_label,metric_label,statistical_unit,descriptive_only
17,physiology_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.81924819573897,0.4577445872169103,0.8262421679185185,0.4787265037555558,0.006993972179548447,0.006993972179548447,True,生理单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,physiology_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8245561063484578,0.4736683190453735,0.8230796118091855,0.4692388354275571,-0.0014764945392722328,-0.0014764945392722328,False,生理单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,physiology_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8226129976007628,0.4678389928022887,0.8389712819525412,0.516913845857624,0.01635828435177844,0.01635828435177844,True,生理单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,vehicle_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8797430616065358,0.6392291848196076,0.8843484840284326,0.6530454520852981,0.004605422421896765,0.004605422421896765,True,航电单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,vehicle_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8766464037861242,0.6299392113583733,0.8855951563730908,0.6567854691192729,0.00894875258696659,0.00894875258696659,True,航电单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,vehicle_only,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8669737171522608,0.6009211514567826,0.8920744455648547,0.6762233366945645,0.02510072841259392,0.02510072841259392,True,航电单流,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,naive_time_sync,high_physiology_response_classification,minirocket,macro_auprc,higher,0.87753424419838,0.6326027325951401,0.87753424419838,0.6326027325951401,0.0,0.0,False,朴素时间同步,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,naive_time_sync,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8352024981549263,0.5056074944647788,0.8352024981549263,0.5056074944647788,0.0,0.0,False,朴素时间同步,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,naive_time_sync,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8588039568169856,0.5764118704509572,0.8588039568169856,0.5764118704509572,0.0,0.0,False,朴素时间同步,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,mult,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8656092695233428,0.5968278085700287,0.8883881301518685,0.6651643904556057,0.022778860628525632,0.022778860628525632,True,MulT,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,mult,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8634639426348999,0.5903918279046998,0.8745043621714306,0.6235130865142917,0.011040419536530677,0.011040419536530677,True,MulT,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,mult,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8803121178814828,0.6409363536444487,0.8849119956745765,0.6547359870237297,0.004599877793093676,0.004599877793093676,True,MulT,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,contiformer,high_physiology_response_classification,minirocket,macro_auprc,higher,0.858023777346959,0.5740713320408771,0.8816141932555311,0.6448425797665939,0.023590415908572138,0.023590415908572138,True,ContiFormer,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,contiformer,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8491753276633055,0.5475259829899166,0.8711439973282079,0.6134319919846236,0.021968669664902407,0.021968669664902407,True,ContiFormer,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,contiformer,high_physiology_response_classification,minirocket,macro_auprc,higher,0.870711220635053,0.6121336619051592,0.8706201021445535,0.6118603064336612,-9.111849049947551e-05,-9.111849049947551e-05,False,ContiFormer,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,chronaris,high_physiology_response_classification,minirocket,macro_auprc,higher,0.911506426708826,0.7345192801264784,0.8623435262103466,0.5870305786310401,-0.04916290049847938,-0.04916290049847938,False,Chronaris,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
29,chronaris,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8786399129622814,0.6359197388868443,0.8499160465119692,0.5497481395359074,-0.02872386645031222,-0.02872386645031222,False,Chronaris,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
43,chronaris,high_physiology_response_classification,minirocket,macro_auprc,higher,0.8614897286732627,0.584469186019788,0.8387278812966636,0.5161836438899909,-0.02276184737659903,-0.02276184737659903,False,Chronaris,高生理响应识别,宏平均 AUPRC（越高越好）,view_fold,True
17,physiology_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.7472527472527473,0.2417582417582417,0.7574240907574241,0.2722722722722723,0.010171343504676855,0.010171343504676855,True,生理单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
29,physiology_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.7286821705426356,0.1860465116279069,0.7122507122507122,0.1367521367521367,-0.016431458291923384,-0.016431458291923384,False,生理单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,physiology_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.7222222222222222,0.1666666666666666,0.7286821705426356,0.1860465116279069,0.006459948320413411,0.006459948320413411,True,生理单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,vehicle_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9193415637860082,0.7580246913580245,0.9299145299145298,0.7897435897435897,0.010572966128521655,0.010572966128521655,True,航电单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
29,vehicle_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.94006734006734,0.8202020202020203,0.917962962962963,0.7538888888888889,-0.02210437710437707,-0.02210437710437707,False,航电单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,vehicle_only,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9299145299145298,0.7897435897435897,0.9193415637860082,0.7580246913580245,-0.010572966128521655,-0.010572966128521655,False,航电单流,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,naive_time_sync,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9407407407407408,0.8222222222222223,0.9407407407407408,0.8222222222222223,0.0,0.0,False,朴素时间同步,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
29,naive_time_sync,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9407407407407408,0.8222222222222223,0.9407407407407408,0.8222222222222223,0.0,0.0,False,朴素时间同步,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
43,naive_time_sync,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9407407407407408,0.8222222222222223,0.9407407407407408,0.8222222222222223,0.0,0.0,False,朴素时间同步,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
17,mult,maneuver_intensity_classification,minirocket,macro_f1,higher,0.9034201665780612,0.7102604997341838,0.8539562289562289,0.5618686868686869,-0.04946393762183232,-0.04946393762183232,False,MulT,机动强度弱监督分类,Macro-F1（越高越好）,view_fold,True
