seed,variant,method_name,status,protocol_sha256,hyperparameter_selection_role
17,no_continuous_evolution,chronaris_no_continuous_evolution,resumed,d3a13e091abd54396c66095da6da932f60efb054e2747a4876c80567ce58654c,validation
17,no_physics,chronaris_no_physics,resumed,7d8f9b7d1aa57067e9d29a25eac4d6214d4b05a47d20530df0fd4e7ab0bef1e1,validation
17,no_causal_mask,chronaris_no_causal_mask,resumed,b6dd04312936ccdc274e4a52f4e551c294b1e3fc3d34d6eb7489a93fd2880996,validation
17,single_scale_lag,chronaris_single_scale_lag,resumed,9154feee5da9d17f909f9de2bbc12c7b7bca2aad43720123ff28ed054e0cdd81,validation
29,no_continuous_evolution,chronaris_no_continuous_evolution,resumed,365fad6d799373fcb879c8826f31692aac22be3db47fdacdd3965ba5f0afaf70,validation
29,no_physics,chronaris_no_physics,resumed,7c51e789e70e343a7777b209b2a9f8533f9b6ef76f9a9662476ab60ae7e471c0,validation
29,no_causal_mask,chronaris_no_causal_mask,resumed,8a2d4708b186b19aaa28a6f8619adacc59f934f80f6b759a3168873aeab2faed,validation
29,single_scale_lag,chronaris_single_scale_lag,resumed,12ca98904f1ac8ab647dc82756bf0f05808a92d35959f003336c495554bb48a9,validation
43,no_continuous_evolution,chronaris_no_continuous_evolution,resumed,ff52b0ec96017791a131ce7d567478efd673b8e0ade084f210a8f62499095820,validation
43,no_physics,chronaris_no_physics,resumed,7cea284eb452ec211d95aaf22820278cebc3221a394add5a737d42a9687dcaad,validation
43,no_causal_mask,chronaris_no_causal_mask,resumed,64fa72a2d94dc52d5380a7beb1af1411dfc52af85a5761fe2e849879fb6933db,validation
43,single_scale_lag,chronaris_single_scale_lag,resumed,ba761a68f4c7101a5aa6d1395b965ea6301efca6de52cf81ca25bc75086ef051,validation
