dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.4868871209747474,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.4882469646977637,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.5414503727789418,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6613197865381343,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.22340263708210362,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.11827208194881678,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.14833906711832662,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.6728431904503527,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.5898409930667995,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.5924608052446573,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.6176843162254162,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6452912211922441,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.2716264589488694,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.10714776813983917,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.13332712757794676,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.7156402604449267,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,frame_macro_f1,0.6283152544386177,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.10,0.6181760125839073,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.25,0.5452965589478747,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_continuous_evolution,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.50,0.3987221005724295,higher,available,,False
