seed,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.06651475694444445,0.05403645833333332,0.07942979600694446,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.016601562500000003,0.006997341579861109,0.02669406467013889,0.001999800019998,48,False
17,held_out,chronaris,chronaris_no_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.0004340277777777797,-0.007052951388888884,0.007596842447916675,0.9106089391060894,48,False
17,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.03466796874999999,0.02196723090277778,0.04796142578125,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.06391059027777779,0.05121392144097221,0.07747531467013889,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.012098524305555552,0.0018432617187499935,0.02268066406249999,0.0327967203279672,48,False
17,held_out,chronaris,chronaris_no_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.0002712673611111188,-0.007596842447916667,0.007921006944444442,0.9427057294270573,48,False
17,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.043674045138888874,0.029619683159722205,0.0583767361111111,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_causal_mask,linear,classification_correct,positive_favors_reference,0.015625,-0.036458333333333336,0.06770833333333333,0.7007299270072993,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,linear,classification_correct,positive_favors_reference,-0.005208333333333333,-0.052083333333333336,0.041666666666666664,1.0,48,False
17,held_out,chronaris,chronaris_no_physics,linear,classification_correct,positive_favors_reference,0.015625,-0.026041666666666668,0.052083333333333336,0.6137386261373863,48,False
17,held_out,chronaris,chronaris_single_scale_lag,linear,classification_correct,positive_favors_reference,0.015625,-0.036458333333333336,0.07291666666666667,0.7123287671232876,48,False
17,held_out,chronaris,chronaris_no_causal_mask,linear,regression_absolute_error,positive_favors_reference,0.03489069609592362,0.021695435598182218,0.0491332691550876,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,linear,regression_absolute_error,positive_favors_reference,0.00047551188617948203,-0.008991458329061633,0.009440568574549035,0.9195080491950804,48,False
17,held_out,chronaris,chronaris_no_physics,linear,regression_absolute_error,positive_favors_reference,0.0010233198602994625,-0.0057480934890918114,0.00722902649625518,0.7637236276372362,48,False
17,held_out,chronaris,chronaris_single_scale_lag,linear,regression_absolute_error,positive_favors_reference,0.008128054905682839,-0.0065129350405186085,0.02208096027607099,0.2675732426757324,48,False
17,held_out,chronaris,chronaris_no_causal_mask,minirocket,classification_correct,positive_favors_reference,-0.005208333333333333,-0.057291666666666664,0.052083333333333336,1.0,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,minirocket,classification_correct,positive_favors_reference,0.18229166666666666,0.10416666666666667,0.2552083333333333,0.00019998000199980003,48,False
17,held_out,chronaris,chronaris_no_physics,minirocket,classification_correct,positive_favors_reference,0.005208333333333333,-0.041666666666666664,0.052083333333333336,1.0,48,False
17,held_out,chronaris,chronaris_single_scale_lag,minirocket,classification_correct,positive_favors_reference,-0.020833333333333332,-0.09895833333333333,0.052083333333333336,0.6771322867713229,48,False
17,held_out,chronaris,chronaris_no_causal_mask,minirocket,regression_absolute_error,positive_favors_reference,-0.010481124899039629,-0.020221180003136364,-0.001178881021526915,0.0425957404259574,48,False
17,held_out,chronaris,chronaris_no_continuous_evolution,minirocket,regression_absolute_error,positive_favors_reference,0.027478981607904074,0.017170334238714263,0.03792812695416315,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_physics,minirocket,regression_absolute_error,positive_favors_reference,0.021493083642174837,0.010197907779365816,0.03364702624579273,0.0006999300069993001,48,False
17,held_out,chronaris,chronaris_single_scale_lag,minirocket,regression_absolute_error,positive_favors_reference,-0.004385241772979462,-0.013671870362789645,0.005636942243048331,0.38506149385061494,48,False
29,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.009114583333333329,-0.027398003472222206,0.007378472222222224,0.3177682231776822,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.016330295138888885,0.005642361111111101,0.027941894531250004,0.0036996300369963003,48,False
29,held_out,chronaris,chronaris_no_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.005805121527777769,-0.0005425347222222217,0.01193576388888888,0.0775922407759224,48,False
29,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.026150173611111095,-0.0008138020833333519,0.05349799262152774,0.06329367063293671,48,False
29,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.009168836805555552,-0.026477050781250015,0.006945800781249999,0.31126887311268875,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.02853732638888888,0.01464708116319444,0.04351128472222221,9.999000099990002e-05,48,False
29,held_out,chronaris,chronaris_no_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.003851996527777774,-0.0027126736111111106,0.010363769531249995,0.26307369263073693,48,False
29,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.035481770833333336,0.008619520399305532,0.06293674045138889,0.016698330166983303,48,False
29,held_out,chronaris,chronaris_no_causal_mask,linear,classification_correct,positive_favors_reference,0.020833333333333332,-0.036458333333333336,0.08333333333333333,0.6159384061593841,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,linear,classification_correct,positive_favors_reference,0.052083333333333336,0.0,0.11458333333333333,0.1212878712128787,48,False
29,held_out,chronaris,chronaris_no_physics,linear,classification_correct,positive_favors_reference,0.07291666666666667,0.010416666666666666,0.140625,0.055594440555944404,48,False
29,held_out,chronaris,chronaris_single_scale_lag,linear,classification_correct,positive_favors_reference,-0.005208333333333333,-0.06770833333333333,0.0625,1.0,48,False
29,held_out,chronaris,chronaris_no_causal_mask,linear,regression_absolute_error,positive_favors_reference,0.0016377647407353271,-0.012448044967216717,0.0148052938980982,0.8206179382061793,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,linear,regression_absolute_error,positive_favors_reference,0.0012974911369383689,-0.012048723374027721,0.014075101100994915,0.8454154584541546,48,False
29,held_out,chronaris,chronaris_no_physics,linear,regression_absolute_error,positive_favors_reference,-0.008492013905197346,-0.01954696143123628,0.0011099677649326985,0.11208879112088792,48,False
29,held_out,chronaris,chronaris_single_scale_lag,linear,regression_absolute_error,positive_favors_reference,-0.02042783020685113,-0.038163135154172745,-0.0027336915954947133,0.0316968303169683,48,False
29,held_out,chronaris,chronaris_no_causal_mask,minirocket,classification_correct,positive_favors_reference,0.010416666666666666,-0.057291666666666664,0.078125,0.8812118788121188,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,minirocket,classification_correct,positive_favors_reference,0.203125,0.140625,0.2604166666666667,9.999000099990002e-05,48,False
29,held_out,chronaris,chronaris_no_physics,minirocket,classification_correct,positive_favors_reference,-0.020833333333333332,-0.057291666666666664,0.015625,0.4306569343065693,48,False
29,held_out,chronaris,chronaris_single_scale_lag,minirocket,classification_correct,positive_favors_reference,0.036458333333333336,-0.03658854166666666,0.11458333333333333,0.43055694430556946,48,False
29,held_out,chronaris,chronaris_no_causal_mask,minirocket,regression_absolute_error,positive_favors_reference,0.019350522197783025,0.010064270362878866,0.027817598807935932,9.999000099990002e-05,48,False
29,held_out,chronaris,chronaris_no_continuous_evolution,minirocket,regression_absolute_error,positive_favors_reference,0.03035545814782384,0.020670607103966208,0.040708450057233385,9.999000099990002e-05,48,False
29,held_out,chronaris,chronaris_no_physics,minirocket,regression_absolute_error,positive_favors_reference,0.0017610192298889464,-0.005433254363015254,0.00871853368977709,0.643035696430357,48,False
29,held_out,chronaris,chronaris_single_scale_lag,minirocket,regression_absolute_error,positive_favors_reference,0.018860251021881932,0.006834670179523552,0.030809491717567077,0.0040995900409959,48,False
43,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.044759114583333336,0.029187011718749996,0.059897189670138885,9.999000099990002e-05,48,False
43,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.010633680555555558,-0.024089898003472245,0.0015747070312499922,0.11828817118288171,48,False
43,held_out,chronaris,chronaris_no_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.0006510416666666586,-0.007379828559027776,0.005696614583333333,0.8643135686431357,48,False
43,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.02989366319444445,0.011551920572916664,0.045681423611111126,0.0020997900209979003,48,False
43,held_out,chronaris,chronaris_no_causal_mask,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.04161241319444446,0.02256944444444448,0.0594089084201389,9.999000099990002e-05,48,False
43,held_out,chronaris,chronaris_no_continuous_evolution,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.013509114583333334,-0.029786512586805553,0.0008694118923611074,0.08789121087891211,48,False
43,held_out,chronaris,chronaris_no_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.0016818576388888788,-0.007921006944444434,0.004828559027777782,0.6327367263273672,48,False
43,held_out,chronaris,chronaris_single_scale_lag,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.028862847222222234,0.008843315972222232,0.046172417534722204,0.0033996600339966003,48,False
43,held_out,chronaris,chronaris_no_causal_mask,linear,classification_correct,positive_favors_reference,0.09375,0.03125,0.15104166666666666,0.006399360063993601,48,False
43,held_out,chronaris,chronaris_no_continuous_evolution,linear,classification_correct,positive_favors_reference,0.078125,0.026041666666666668,0.13033854166666597,0.0100989901009899,48,False
43,held_out,chronaris,chronaris_no_physics,linear,classification_correct,positive_favors_reference,-0.005208333333333333,-0.041666666666666664,0.03125,1.0,48,False
43,held_out,chronaris,chronaris_single_scale_lag,linear,classification_correct,positive_favors_reference,0.08333333333333333,0.005078125000000007,0.16666666666666666,0.06579342065793421,48,False
