seed,variant,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,no_continuous_evolution,chronaris_no_continuous_evolution,train,completed,384,57ace9a5da81f6b513dfd70a284207e1744c50568dc0915cbdbf9fe40de73945,3af7a60817069632c523424ef9d3606eb37fdbf1e1f96208e87f8946af5a09b4,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_continuous_evolution/train
17,no_continuous_evolution,chronaris_no_continuous_evolution,validation,completed,96,57ace9a5da81f6b513dfd70a284207e1744c50568dc0915cbdbf9fe40de73945,b28495ec9d0d1caa23fb4daf09fa1d9736f1f346e666037cc5adf941036114b9,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_continuous_evolution/validation
17,no_continuous_evolution,chronaris_no_continuous_evolution,held_out,completed,192,57ace9a5da81f6b513dfd70a284207e1744c50568dc0915cbdbf9fe40de73945,ec10baeebc22a67b11e67b101bd50c19f9c8673a1ffcdf0219002a0cdcdd6ede,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_continuous_evolution/held_out
17,no_physics,chronaris_no_physics,train,completed,384,59ac61cc262d15d14069ea92ea4a65065550432908ba8af6cfcdeef5437d7fb3,1cf79e3d0384fc8bc27103fe3694d0a4ca901d037ab19353c8ddeadfdfe5cdd5,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_physics/train
17,no_physics,chronaris_no_physics,validation,completed,96,59ac61cc262d15d14069ea92ea4a65065550432908ba8af6cfcdeef5437d7fb3,97b79c7a36edafe111f407485d9be5b6e004afb29a2fde13144ce46ae63d884e,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_physics/validation
17,no_physics,chronaris_no_physics,held_out,completed,192,59ac61cc262d15d14069ea92ea4a65065550432908ba8af6cfcdeef5437d7fb3,1dab33fe4fcd36f2cff9a8edfd52ab26d773c8475a5eeb3774a61ca6c0aa8b61,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_physics/held_out
17,no_causal_mask,chronaris_no_causal_mask,train,completed,384,eb9fc72c7235fdf6b067f36455a60951602473d3c58043763356e97451f104c7,d2ef369161d3c157b15f871b0d46cfa0efdc7917ddb02fd343ab9e093c566a9b,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_causal_mask/train
17,no_causal_mask,chronaris_no_causal_mask,validation,completed,96,eb9fc72c7235fdf6b067f36455a60951602473d3c58043763356e97451f104c7,cc06c9dc88c23901b894e67a963fa360c3540072ba20a4dd37ea4eb746364688,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_causal_mask/validation
17,no_causal_mask,chronaris_no_causal_mask,held_out,completed,192,eb9fc72c7235fdf6b067f36455a60951602473d3c58043763356e97451f104c7,9c8ad90f9412ce2e218956886bb826d24daecba799671954200637b316050a08,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_no_causal_mask/held_out
17,single_scale_lag,chronaris_single_scale_lag,train,completed,384,62982d6c98e79d787bf5ecab73dca0c82ce1e8e29c93323d754131416c5e3d35,1f3829afcbc328887143acead50482e44305b8ef17294775d15641ecbb08dc81,artifacts/application_evaluation/2026-07-12_simulation-chronaris-ablation-representations/representations/seed_17/chronaris_single_scale_lag/train
