seed,method_name,status,best_epoch,completed_epochs,stopped_early,training_elapsed_s,training_device,training_device_history,encoder_update_mode,source_checkpoint_path,source_checkpoint_sha256,checkpoint_path,checkpoint_sha256,representation_family,label_used_for_encoder_training
17,physiology_only,resumed,20,20,False,91.77725854795426,cuda,"[""cuda""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/physiology_only/A/best.pt,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/physiology_only/best.pt,fa22d0173eb59fefc680702c25362c8786aa0a329d45175a0d7f52b48d42677d,end_to_end_finetuned_v1,True
17,vehicle_only,resumed,20,20,False,72.70293003506958,cuda,"[""cuda""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/vehicle_only/C/best.pt,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/vehicle_only/best.pt,d43d3be132007f5da3a21cf6ddc730e16c4eb6bc77294462109bd81d11c30e9a,end_to_end_finetuned_v1,True
17,naive_time_sync,resumed,20,20,False,110.84412946505472,cuda,"[""cuda""]",head_only_nonparametric_encoder,artifacts/application_evaluation/2026-07-12_simulation-locked-representations/checkpoints/seed_17/naive_time_sync/best.pt,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/naive_time_sync/best.pt,99ac732816ab6797496c18b1e405d41d69e1dbff75b485f1c069e100ac7439da,end_to_end_finetuned_v1,True
17,mult,resumed,20,20,False,93.55593603802845,cuda,"[""cuda""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/mult/A/best.pt,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/mult/best.pt,fc3b665eb07825e65444655f4607f4949a9027b8dba782ce4c0250e656b931a9,end_to_end_finetuned_v1,True
17,contiformer,resumed,20,20,False,77.81229066289961,cuda,"[""cuda""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/contiformer/A/best.pt,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/contiformer/best.pt,19155bdc30b1364606bd6a8de764c3bb7e03baef131972ec0068a03d6945d480,end_to_end_finetuned_v1,True
17,chronaris,completed,20,20,False,1589.2436950267293,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_17/chronaris/best.pt,011878f38c480566357fa923b42d548824ae7ce67dd4e0c79b03f91622f8a650,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_17/chronaris/best.pt,652d6525f6dfdda90ebe906195fd64fe7fe948fd50f50f8742f9a6bbebb0365b,end_to_end_finetuned_v1,True
29,physiology_only,completed,20,20,False,19.240242328029126,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/physiology_only/A/best.pt,15b57d6c2c15699eae671637bc1f48252bf253e2c473227b2c88c684cb197e28,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/physiology_only/best.pt,b05ea2d646d88584c1a5e1481e2ce3adcfb71d4244e65e9118e274d793cd5b61,end_to_end_finetuned_v1,True
29,vehicle_only,completed,20,20,False,16.862761429976672,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/vehicle_only/C/best.pt,13939bf62743833bb9d09739d1ed008c533eb82e65a20f9156354f79fa188acd,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/vehicle_only/best.pt,0e896a089dc7689caa9b4784ad92cc2b6a923aec1302e7ddf9dbacbf8530ac17,end_to_end_finetuned_v1,True
29,naive_time_sync,completed,20,20,False,14.74624672299251,cpu,"[""cpu""]",head_only_nonparametric_encoder,artifacts/application_evaluation/2026-07-12_simulation-locked-representations/checkpoints/seed_29/naive_time_sync/best.pt,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/naive_time_sync/best.pt,798d07afa3b8f99615396d527dc7f1a11d3326e3dc78b4de7290b67a178da601,end_to_end_finetuned_v1,True
29,mult,completed,20,20,False,76.58739395299926,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/mult/A/best.pt,12d22389da27f4527ca194e142ad305c23bdf3150f32ea1cc9b8a9bbb605fb24,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/mult/best.pt,3724dc98a507966a1bb9b1ac9e4d5a3c2bd6249563a8ea5f6b5ee8361ea9aa03,end_to_end_finetuned_v1,True
29,contiformer,completed,20,20,False,21.392596220131963,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/contiformer/A/best.pt,fe4d0fddd0f34aa9d2c34e1aea7e636580c3736b645f5963a8abab54b8ab15b7,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/contiformer/best.pt,f31845b35696c1d859a19e8b9862b1ec167a0b3df93fccb97138ccbeb355feac,end_to_end_finetuned_v1,True
29,chronaris,completed,20,20,False,1221.8303246679716,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_29/chronaris/best.pt,769ded96b5674497fbbc9263179377ca3f7a513fae820d792414c31b0d482eba,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_29/chronaris/best.pt,881c765b3a08753e73569fded1d7cea2b81511fe00be507527d675c2d073ab74,end_to_end_finetuned_v1,True
43,physiology_only,completed,20,20,False,17.836124528199434,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/physiology_only/A/best.pt,818b906cc6eeaaa9840da30e67162b3a5b28474866f76e61b9e3c0137fa5c8cb,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_43/physiology_only/best.pt,9dc17bf1cc39beef5e7ca1d8bacba3e7c486e4ae9dd3769d7391c4e5fceb3452,end_to_end_finetuned_v1,True
43,vehicle_only,completed,20,20,False,15.537356396205723,cpu,"[""cpu""]",full_backbone,artifacts/application_evaluation/2026-07-12_simulation-locked-pretraining/checkpoints/seed_43/vehicle_only/C/best.pt,6b7b3cb8350ec24d37bd062d52369b06634c8fbf32d4c3164228ea50094a2824,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/checkpoints/seed_43/vehicle_only/best.pt,be9a5fce71f484e1eddc611eaa4306d3cf5c49d7eb7f95f8728a25b7f13e5047,end_to_end_finetuned_v1,True
