dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_f1,0.4230880230880231,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,balanced_accuracy,0.4179551875094348,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_auprc,0.43837762657614604,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,brier_score,0.6503784881198142,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,ece_10_bins,0.07350360322743657,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,mae,0.17119260442753634,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,rmse,0.1918574640089501,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,spearman,0.2906402604449268,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,frame_macro_f1,0.2567982018766375,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,physiology_only,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.10,0.33895970927220925,higher,available,,False,end_to_end_finetuned_v1
