seed,method_name,role,sample_count,manifest_path,label_used_for_encoder_training
17,physiology_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/physiology_only/train/representation_manifest.json,True
17,physiology_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/physiology_only/validation/representation_manifest.json,True
17,physiology_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/physiology_only/held_out/representation_manifest.json,True
17,vehicle_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/vehicle_only/train/representation_manifest.json,True
17,vehicle_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/vehicle_only/validation/representation_manifest.json,True
17,vehicle_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/vehicle_only/held_out/representation_manifest.json,True
17,naive_time_sync,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/naive_time_sync/train/representation_manifest.json,True
17,naive_time_sync,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/naive_time_sync/validation/representation_manifest.json,True
17,naive_time_sync,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/naive_time_sync/held_out/representation_manifest.json,True
17,mult,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/mult/train/representation_manifest.json,True
17,mult,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/mult/validation/representation_manifest.json,True
17,mult,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/mult/held_out/representation_manifest.json,True
17,contiformer,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/contiformer/train/representation_manifest.json,True
17,contiformer,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/contiformer/validation/representation_manifest.json,True
17,contiformer,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/contiformer/held_out/representation_manifest.json,True
17,chronaris,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/chronaris/train/representation_manifest.json,True
17,chronaris,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/chronaris/validation/representation_manifest.json,True
17,chronaris,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_17/chronaris/held_out/representation_manifest.json,True
29,physiology_only,train,384,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/physiology_only/train/representation_manifest.json,True
29,physiology_only,validation,96,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/physiology_only/validation/representation_manifest.json,True
29,physiology_only,held_out,192,artifacts/application_evaluation/2026-07-12_simulation-end-to-end-finetuning/representations/seed_29/physiology_only/held_out/representation_manifest.json,True
