seed,method_name,status,protocol_sha256,linear_classification_c,linear_regression_alpha,minirocket_classification_c,minirocket_regression_alpha,hyperparameter_selection_role
17,physiology_only,completed,e47406c8f3ffac55c91b764dafc422d58fa76e0d35ecfcef5761c57604fefaed,1.0,100.0,10.0,100.0,validation
17,vehicle_only,completed,eb8e2ebead093956d7334137225c6f5eadc7acee46d50507fa3d2583d4d0b530,10.0,10.0,1.0,100.0,validation
17,naive_time_sync,completed,0b6c1a3cc9aaa64c558661d2d4c6aa1f0b633d6f0e55319e535ac93452ec26d6,1.0,100.0,0.1,100.0,validation
17,mult,completed,a338f271202ba11e422c6af6403c94ea1418a255ad69d064035e8d9d19ccf83c,10.0,0.1,0.1,100.0,validation
17,contiformer,completed,45cb7d08426946fc275d63046fffe47a3683f9fa757269042d3f5c8d13a2419b,10.0,1.0,10.0,100.0,validation
17,chronaris,completed,736eb5bfd8bcaba7cb205ef26acbafcaee86ab0e4a6e0f22ddfb03fc3cb8a889,10.0,0.1,0.1,100.0,validation
29,physiology_only,completed,b1e15fdbff6f69bbe72a4577899e1b9004fe0fe798c4c9c8ea31f3d8678bb5d0,10.0,100.0,0.1,100.0,validation
29,vehicle_only,completed,c775f93356b9b84ddeac8fc16648f702619b571fa18bf45f672c8b20322fa2d0,10.0,0.1,0.1,100.0,validation
29,naive_time_sync,completed,efa048378ecd92b0893b830f153c9d909a76ee5ab79104273aa90011353ffb90,1.0,100.0,1.0,100.0,validation
29,mult,completed,48cfe73b079f307b1536471faa41a1138d184b9db411042ff0333947d705fcdb,10.0,0.1,0.1,100.0,validation
29,contiformer,completed,9959b916844a53ba9c0ba29cd037c27eb3706514c2a1f6f3b55abdfe3a3cfd9d,1.0,10.0,0.1,100.0,validation
29,chronaris,completed,5aba2cc494422af3a3acde87ab62b650b7b519cf016728d418b989d732c25470,10.0,0.1,0.1,100.0,validation
43,physiology_only,completed,32777b31a44b219ea59ee8ca559d95219a4c925a789fe312bd6c5368b18c8c42,1.0,100.0,1.0,100.0,validation
43,vehicle_only,completed,cd0eda4ddfb74f699d07268bb94469a603603366deaa3f2445d4a5ec5066c660,1.0,1.0,0.1,100.0,validation
43,naive_time_sync,completed,fd2fb9b1e4df7e5376d48f94865d8d6f61826a63b2b736a2f3fe090e70e97488,1.0,100.0,0.1,100.0,validation
43,mult,completed,20fc8b597c84752744b541e6d10fa42dd74929f41da4c901aa7b0687458cf9a1,0.1,0.1,0.1,100.0,validation
43,contiformer,completed,d0fc71ea8334fe717c77629e71179bfe058614ee52d6e0a1cf72e46f6cb0ce40,10.0,10.0,1.0,100.0,validation
43,chronaris,completed,86864adf0a93174a13854cd3b1a0837fe83fcb36f14bec24d7887c1f2a4fd30e,10.0,0.1,0.1,100.0,validation
