dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,balanced_accuracy,naive_time_sync,0.45905756100041956,0.35385329383193254,-0.10520426716848702,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,balanced_accuracy,mult,0.45905756100041956,0.4010896791994609,-0.05796788180095863,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,balanced_accuracy,contiformer,0.45905756100041956,0.4377280760868183,-0.02132948491360126,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,balanced_accuracy,chronaris,0.45905756100041956,0.5083283532747593,0.04927079227433978,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,brier_score,naive_time_sync,0.5421072216395331,0.7614004385626707,-0.21929321692313763,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,brier_score,mult,0.5421072216395331,0.6078234669245622,-0.06571624528502917,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,brier_score,contiformer,0.5421072216395331,0.6508678826703344,-0.10876066103080129,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,brier_score,chronaris,0.5421072216395331,0.5233585393458364,0.01874868229369664,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,ece_10_bins,naive_time_sync,0.13158100629868014,0.2650376308098245,-0.13345662451114437,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,ece_10_bins,mult,0.13158100629868014,0.22308630417277775,-0.09150529787409761,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,ece_10_bins,contiformer,0.13158100629868014,0.19836654157747913,-0.06678553527879899,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,ece_10_bins,chronaris,0.13158100629868014,0.154364854581423,-0.022783848282742852,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_auprc,naive_time_sync,0.513421580061551,0.34416488996146,-0.16925669010009103,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_auprc,mult,0.513421580061551,0.46207389757921447,-0.051347682482336565,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_auprc,contiformer,0.513421580061551,0.4182868157251051,-0.09513476433644591,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_auprc,chronaris,0.513421580061551,0.5475018413465733,0.034080261285022284,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_f1,naive_time_sync,0.46412326597607095,0.3445376318626199,-0.11958563411345108,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_f1,mult,0.46412326597607095,0.3987929475116183,-0.06533031846445264,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_f1,contiformer,0.46412326597607095,0.43970825326757534,-0.02441501270849561,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_clean_locked__seed_17,held_out,macro_f1,chronaris,0.46412326597607095,0.5098391732403841,0.04571590726431313,higher_is_better,available
