seed,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,physiology_only,train,resumed,384,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,74c9dab51ef5b0dbfa2ff1be0d5fc1a049aae87e8963761b935be71de6da7f8e,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/physiology_only/train
17,physiology_only,validation,resumed,96,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,3e6588399510a7237350cb217b01eddf77f7c9f25012fc8e37735786331c7c70,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/physiology_only/validation
17,physiology_only,held_out,resumed,192,f1a13dcf2f7e0e55a4b03573e6e610beed0adeb5595559c886a95a3c9b1e638c,3893f393b10d180a07696af6cf2500b9658f6c58c015ac151461236f6a6aafd6,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/physiology_only/held_out
17,vehicle_only,train,resumed,384,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,26fa9c8a785566c4fdd2ceb002dafaaaa815af61d223aa1b0863a5bdb636deda,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/vehicle_only/train
17,vehicle_only,validation,resumed,96,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,d330d9a12b952f4a402316d4a9b720324dc75978da5be91d4ebde05327072038,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/vehicle_only/validation
17,vehicle_only,held_out,resumed,192,c3173c7b1465574ff2d687caea9f42e5f4bbcb5088f34bc39819df0e51f21d89,6e28e0d88d188bc4ef72140c1a1f57308a64beb3a18a3983d5602b866f22d55c,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/vehicle_only/held_out
17,naive_time_sync,train,resumed,384,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,842ba766aca89d23f8336251165346a8d438227a0e2ff3fa3077fb2e878b3e7d,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/naive_time_sync/train
17,naive_time_sync,validation,resumed,96,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,005e2b17b44971601b3eb83774621b22e6e3cf9e547692e7700c6cfd42ee5655,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/naive_time_sync/validation
17,naive_time_sync,held_out,resumed,192,a173a9a720a49e137ef963f46d8af5db63cd72bfefad9c568210d896b467cf92,c6f09365a2f7e876486a3da3de4e43e45ac2eb78a1b6b3a522d76e32b9899c12,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/naive_time_sync/held_out
17,mult,train,resumed,384,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,a2403fd500ad5172ed6f5d4c1552bbc23474e77f95b2e5eed9d49b902e9f615c,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/mult/train
17,mult,validation,resumed,96,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,70948ee0ae8bd31465ac83bb4b49f6357530c35220377d225be64c61d344f75c,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/mult/validation
17,mult,held_out,resumed,192,5303906a85268b5f25af9e4010790f847d12484b597e07ae6fdf7c3445cc82f2,d56e0e1c67b1329507a762cd5ad17f8cd4b14736ed9893512c88d12f2caa8d19,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/mult/held_out
17,contiformer,train,resumed,384,1274b44c1221eadcf12051277769d56c1a9a2af930214349dde56e7c2e098ba0,e006d5c66243bed2d92bd1ec619121009f123a2c4282eb2e23d7df20aee2ad7f,artifacts/application_evaluation/2026-07-12_simulation-locked-representations-gpu-smoke/representations/seed_17/contiformer/train
