dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,naive_time_sync,0.4866280129354373,0.35865110345382956,-0.12797690948160773,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,mult,0.4866280129354373,0.3810295794287555,-0.1055984335066818,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,contiformer,0.4866280129354373,0.43156975684599114,-0.055058256089446145,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,chronaris,0.4866280129354373,0.47348701582175207,-0.013140997113685216,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,naive_time_sync,0.5706937007253973,0.7441013811628245,-0.17340768043742727,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,mult,0.5706937007253973,0.635107774180027,-0.06441407345462968,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,contiformer,0.5706937007253973,0.5677750517703452,0.0029186489550521166,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,chronaris,0.5706937007253973,0.5088396413317057,0.061854059393691596,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,naive_time_sync,0.1538601137978419,0.26034592926107014,-0.10648581546322824,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,mult,0.1538601137978419,0.2628697838500317,-0.10900967005218978,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,contiformer,0.1538601137978419,0.202250179821658,-0.0483900660238161,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,chronaris,0.1538601137978419,0.1554785625399061,-0.0016184487420642102,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_auprc,naive_time_sync,0.5208638137449061,0.3439687742373548,-0.1768950395075513,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_auprc,mult,0.5208638137449061,0.46111773692574715,-0.059746076819158944,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_auprc,contiformer,0.5208638137449061,0.4821556651235712,-0.03870814862133487,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_auprc,chronaris,0.5208638137449061,0.5476255277357501,0.026761713990844038,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_f1,naive_time_sync,0.48264475927282074,0.361843745443085,-0.12080101382973574,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_f1,mult,0.48264475927282074,0.36726332081878504,-0.1153814384540357,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_f1,contiformer,0.48264475927282074,0.42525859192525856,-0.05738616734756219,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_f1,chronaris,0.48264475927282074,0.48096086860284953,-0.0016838906699712108,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,balanced_accuracy,naive_time_sync,0.4866280129354373,0.35030579678818013,-0.13632221614725715,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,balanced_accuracy,mult,0.4866280129354373,0.39178226760079854,-0.09484574533463874,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,balanced_accuracy,contiformer,0.4866280129354373,0.43349608588587824,-0.05313192704955905,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,balanced_accuracy,chronaris,0.4866280129354373,0.4415616616018411,-0.045066351333596155,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,naive_time_sync,0.5706937007253973,0.7979237307777639,-0.22723003005236664,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,mult,0.5706937007253973,0.625297181842593,-0.05460348111719571,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,contiformer,0.5706937007253973,0.6076461325108113,-0.036952431785414075,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,brier_score,chronaris,0.5706937007253973,0.5636076248581906,0.007086075867206665,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,naive_time_sync,0.1538601137978419,0.2845257097974073,-0.13066559599956543,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,mult,0.1538601137978419,0.2479849265664828,-0.0941248127686409,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,contiformer,0.1538601137978419,0.22956854875921964,-0.07570843496137775,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,ece_10_bins,chronaris,0.1538601137978419,0.19948794646349918,-0.045627832665657286,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,naive_time_sync,0.5208638137449061,0.34573828774680426,-0.17512552599810183,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,mult,0.5208638137449061,0.4577798111734424,-0.06308400257146368,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,contiformer,0.5208638137449061,0.47619932246479274,-0.04466449128011335,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_auprc,chronaris,0.5208638137449061,0.534964765340782,0.014100951595875877,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,naive_time_sync,0.48264475927282074,0.34380779833854264,-0.1388369609342781,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,mult,0.48264475927282074,0.382257949541863,-0.10038680973095776,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,contiformer,0.48264475927282074,0.4160810768997904,-0.06656368237303034,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+050ppm,held_out,macro_f1,chronaris,0.48264475927282074,0.43789993428786106,-0.044744824984959686,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,naive_time_sync,0.4866280129354373,0.35313065554524226,-0.13349735739019503,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+100ppm,held_out,balanced_accuracy,mult,0.4866280129354373,0.39178226760079854,-0.09484574533463874,higher_is_better,available
