seed,method,task,consumer,metric,stress_factor,source_direction,direction_normalized,level_count,minimum_level,maximum_level,baseline_score,maximum_stress_score,maximum_stress_change,degradation_slope
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.47348701582175207,0.4434328921213354,-0.030054123700416657,-0.02146723121458329
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.47348701582175207,0.46228506279112147,-0.011201953030630596,-0.0048963661302052165
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.4678372983076277,0.44416400710347076,-0.023673291204156954,-0.028797622070577088
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.47348701582175207,0.38701624558682046,-0.0864707702349316,-0.05663582965959401
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.47348701582175207,0.3333333333333333,-0.14015368248841875,-0.17876650288685383
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.47348701582175207,0.48542432218224046,0.011937306360488398,0.019250719028507498
17,chronaris,simulated_future_workload_classification,linear,balanced_accuracy,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.47348701582175207,0.5183584031601121,0.04487138733835999,0.039074111841632
17,chronaris,simulated_future_workload_classification,linear,brier_score,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.5088396413317057,-0.5423627377591077,-0.03352309642740203,-0.022907875858578154
17,chronaris,simulated_future_workload_classification,linear,brier_score,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.5088396413317057,-0.5128967515642515,-0.004057110232545846,-0.0010585123789413865
17,chronaris,simulated_future_workload_classification,linear,brier_score,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.5223973733313064,-0.6512418153877183,-0.12884444205641188,-0.12692765681380094
17,chronaris,simulated_future_workload_classification,linear,brier_score,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.5088396413317057,-1.1694661128291568,-0.6606264714974511,-0.5913752254757122
17,chronaris,simulated_future_workload_classification,linear,brier_score,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.5088396413317057,-1.671550411548397,-1.1627107702166914,-1.278049240374079
17,chronaris,simulated_future_workload_classification,linear,brier_score,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.5088396413317057,-0.5834611928884169,-0.07462155155671124,-0.06704178133936871
17,chronaris,simulated_future_workload_classification,linear,brier_score,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.5088396413317057,-0.5524234853782793,-0.04358384404657367,-0.04021702698295015
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,absolute_clock_drift_ppm,lower,higher_is_better,4,0.0,250.0,-0.1554785625399061,-0.18919834706626193,-0.03371978452635582,-0.02507592091378009
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,absolute_clock_offset_s,lower,higher_is_better,4,0.0,3.0,-0.1554785625399061,-0.16516107047009693,-0.00968250793019082,-0.004407611612704622
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,additional_physiology_lag_s,lower,higher_is_better,4,2.0,30.0,-0.16986713743957121,-0.2133314452831148,-0.043464307843543576,-0.04370571975165256
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,contiguous_gap_s,lower,higher_is_better,4,0.0,30.0,-0.1554785625399061,-0.5559978988781257,-0.40051933633821957,-0.3524429086030302
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,random_missing_rate,lower,higher_is_better,4,0.0,0.5,-0.1554785625399061,-0.8361059402779851,-0.680627377738079,-0.7664828063682178
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,snr_degradation_db,lower,higher_is_better,4,0.0,25.0,-0.1554785625399061,-0.17536159938992318,-0.019883036850017077,-0.014053964594787827
17,chronaris,simulated_future_workload_classification,linear,ece_10_bins,timestamp_jitter_ms,lower,higher_is_better,4,0.0,100.0,-0.1554785625399061,-0.1521404189440632,0.0033381435958429184,0.00417725963031944
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.5476255277357501,0.5401275664531549,-0.007497961282595278,-0.004479847719425877
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.5476255277357501,0.5428729420521523,-0.004752585683597821,-0.003565236976269316
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.5366259179880325,0.45989949964637344,-0.07672641834165905,-0.07344929244061851
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.5476255277357501,0.4068068586386689,-0.14081866909708124,-0.12199145409230748
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.5476255277357501,0.42444096097702033,-0.1231845667587298,-0.13941305093253267
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.5476255277357501,0.5266056985254928,-0.021019829210257357,-0.022147749922258746
17,chronaris,simulated_future_workload_classification,linear,macro_auprc,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.5476255277357501,0.5512278500965531,0.0036023223608029342,0.004356866197315391
17,chronaris,simulated_future_workload_classification,linear,macro_f1,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.48096086860284953,0.44505726935673706,-0.03590359924611247,-0.025327277589419547
17,chronaris,simulated_future_workload_classification,linear,macro_f1,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.48096086860284953,0.46953195515468366,-0.011428913448165878,-0.00548693601454065
17,chronaris,simulated_future_workload_classification,linear,macro_f1,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.47262464233166285,0.44196840088256084,-0.030656241449102006,-0.036113047241102265
17,chronaris,simulated_future_workload_classification,linear,macro_f1,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.48096086860284953,0.3380977358160678,-0.14286313278678175,-0.11346125145838136
17,chronaris,simulated_future_workload_classification,linear,macro_f1,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.48096086860284953,0.09309309309309309,-0.38786777550975643,-0.443822742682607
17,chronaris,simulated_future_workload_classification,linear,macro_f1,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.48096086860284953,0.4797932330827068,-0.0011676355201427069,0.008085000999099626
17,chronaris,simulated_future_workload_classification,linear,macro_f1,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.48096086860284953,0.5137350306202184,0.03277416201736888,0.027687302043700596
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,absolute_clock_drift_ppm,higher,higher_is_better,4,0.0,250.0,0.47149499239216586,0.49123615649675123,0.019741164104585374,0.013596392439514283
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,absolute_clock_offset_s,higher,higher_is_better,4,0.0,3.0,0.47149499239216586,0.4996132507703197,0.02811825837815385,0.020061007135288147
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,additional_physiology_lag_s,higher,higher_is_better,4,2.0,30.0,0.479246930376662,0.38826020064338124,-0.09098672973328076,-0.10324900564195007
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,contiguous_gap_s,higher,higher_is_better,4,0.0,30.0,0.47149499239216586,0.3561568358191243,-0.11533815657304158,-0.11092149550704863
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,random_missing_rate,higher,higher_is_better,4,0.0,0.5,0.47149499239216586,0.3718789866958265,-0.09961600569633938,-0.09211976938503534
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,snr_degradation_db,higher,higher_is_better,4,0.0,25.0,0.47149499239216586,0.3428166363624805,-0.12867835602968536,-0.1396749287867787
17,chronaris,simulated_future_workload_classification,minirocket,balanced_accuracy,timestamp_jitter_ms,higher,higher_is_better,4,0.0,100.0,0.47149499239216586,0.4227243251490839,-0.04877066724308193,-0.051046884023701056
