sample_id,group_id,profile_id,trajectory_id,role,scenario_id,context_start_s,context_end_s,observed_path,observed_sha256,oracle_opened_for_representation
g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000__timestamp_jitter_000ms::context_030.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000/timestamp_jitter_000ms/raw_dual_stream.npz,a066b51f8927b82c4221b661f130ae9cd760f4795ecd773576e267ef3b936cfd,False
g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000__timestamp_jitter_000ms::context_060.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000/timestamp_jitter_000ms/raw_dual_stream.npz,a066b51f8927b82c4221b661f130ae9cd760f4795ecd773576e267ef3b936cfd,False
g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000__timestamp_jitter_000ms::context_090.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000,held_out,timestamp_jitter_000ms,90.0,120.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000/timestamp_jitter_000ms/raw_dual_stream.npz,a066b51f8927b82c4221b661f130ae9cd760f4795ecd773576e267ef3b936cfd,False
g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000__timestamp_jitter_000ms::context_120.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000,held_out,timestamp_jitter_000ms,120.0,150.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_000__seed_300000/timestamp_jitter_000ms/raw_dual_stream.npz,a066b51f8927b82c4221b661f130ae9cd760f4795ecd773576e267ef3b936cfd,False
g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001__timestamp_jitter_000ms::context_030.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001/timestamp_jitter_000ms/raw_dual_stream.npz,a3bf5d1b93894558cc278a0ae31c3d1e0f491997ea14b2cd770c29f3769bd137,False
g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001__timestamp_jitter_000ms::context_060.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001/timestamp_jitter_000ms/raw_dual_stream.npz,a3bf5d1b93894558cc278a0ae31c3d1e0f491997ea14b2cd770c29f3769bd137,False
g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001__timestamp_jitter_000ms::context_090.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001,held_out,timestamp_jitter_000ms,90.0,120.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001/timestamp_jitter_000ms/raw_dual_stream.npz,a3bf5d1b93894558cc278a0ae31c3d1e0f491997ea14b2cd770c29f3769bd137,False
g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001__timestamp_jitter_000ms::context_120.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001,held_out,timestamp_jitter_000ms,120.0,150.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_001__seed_300001/timestamp_jitter_000ms/raw_dual_stream.npz,a3bf5d1b93894558cc278a0ae31c3d1e0f491997ea14b2cd770c29f3769bd137,False
g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002__timestamp_jitter_000ms::context_030.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002/timestamp_jitter_000ms/raw_dual_stream.npz,a1ae0983204db3b9ccfa9512b096c1ef68088f980fc63b4df31f5d4ae78e45a3,False
g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002__timestamp_jitter_000ms::context_060.000,locked_test_profile_000,locked_test_profile_000,g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_aviation-simulation-locked-stress/locked_test/locked_test_profile_000/g2_event_spline__locked_test_profile_000__trajectory_002__seed_300002/timestamp_jitter_000ms/raw_dual_stream.npz,a1ae0983204db3b9ccfa9512b096c1ef68088f980fc63b4df31f5d4ae78e45a3,False
