method_name,task,metric,direction,mean,std,count
chronaris,high_response,auprc,higher,0.8127042892309725,0.050151582274710206,3
chronaris,maneuver,macro_f1,higher,0.777771020287533,0.09170894797099083,3
chronaris,response,rmse,lower,0.8221660202082205,0.029209356365793613,3
contiformer,high_response,auprc,higher,0.7742538947911645,0.032790369779871965,3
contiformer,maneuver,macro_f1,higher,0.7493421447044636,0.03142501734630477,3
contiformer,response,rmse,lower,0.8294807056845039,0.0018245233652646956,3
mult,high_response,auprc,higher,0.7857162154272398,0.053469266243988366,3
mult,maneuver,macro_f1,higher,0.6021855986768267,0.13165685087353415,3
mult,response,rmse,lower,0.8186984071191686,0.015573771288222803,3
naive_time_sync,high_response,auprc,higher,0.7460853516778583,0.02342907528992416,3
naive_time_sync,maneuver,macro_f1,higher,0.7320512820512821,0.10035640338121349,3
naive_time_sync,response,rmse,lower,0.7900228618630326,0.012099502967052676,3
physiology_only,high_response,auprc,higher,0.6166506933749089,0.00900909820353264,3
physiology_only,maneuver,macro_f1,higher,0.2580316881274473,0.08759279390495009,3
physiology_only,response,rmse,lower,0.8547585500069262,0.0013695024562970445,3
vehicle_only,high_response,auprc,higher,0.8259979342146778,0.006022359638384113,3
vehicle_only,maneuver,macro_f1,higher,0.7897435897435897,0.0,3
vehicle_only,response,rmse,lower,0.8321719211508573,0.0038210352461272514,3
