direction,fold_id,method_name,metric,role,seed,task,value
higher,leave_one_view_out__fold01,chronaris,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,chronaris,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,chronaris,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold01,contiformer,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,contiformer,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,contiformer,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold01,mult,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,mult,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,mult,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold01,naive_time_sync,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,naive_time_sync,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold01,naive_time_sync,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold01,physiology_only,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,physiology_only,rmse,held_out,17,response,0.21401338285608504
higher,leave_one_view_out__fold01,physiology_only,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold01,vehicle_only,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold01,vehicle_only,rmse,held_out,17,response,0.425081061133777
higher,leave_one_view_out__fold01,vehicle_only,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold02,chronaris,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold02,chronaris,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,chronaris,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold02,contiformer,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold02,contiformer,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,contiformer,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold02,mult,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold02,mult,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,mult,auprc,held_out,17,high_response,1.0
higher,leave_one_view_out__fold02,naive_time_sync,macro_f1,held_out,17,maneuver,1.0
lower,leave_one_view_out__fold02,naive_time_sync,rmse,held_out,17,response,5.062361342376245e-15
higher,leave_one_view_out__fold02,naive_time_sync,auprc,held_out,17,high_response,1.0
