direction,mean,method_name,metric,rank,seed_count,std_across_seeds,task
higher,0.937568096410324,chronaris,auprc,2.0,3,0.013649531818472095,high_response
higher,0.9259236734291777,chronaris,macro_f1,2.0,3,0.02496001415293092,maneuver
lower,0.2740553400694102,chronaris,rmse,3.0,3,0.007949779867923331,response
higher,0.9247512982637215,contiformer,auprc,4.0,3,0.008924408270873778,high_response
higher,0.9164473815681545,contiformer,macro_f1,3.0,3,0.008552806406284077,maneuver
lower,0.2764935685615047,contiformer,rmse,4.0,3,0.0004965723631871242,response
higher,0.92857207180908,mult,auprc,3.0,3,0.014552491024310261,high_response
higher,0.8673951995589423,mult,macro_f1,5.0,3,0.035832456197984044,maneuver
lower,0.2728994690397263,mult,rmse,2.0,3,0.004238643669661435,response
higher,0.9153617838926195,naive_time_sync,auprc,5.0,3,0.006376586622840423,high_response
higher,0.9106837606837607,naive_time_sync,macro_f1,4.0,3,0.02731355341165484,maneuver
lower,0.2633409539543476,naive_time_sync,rmse,1.0,3,0.0032930676011744733,response
higher,0.8722168977916364,physiology_only,auprc,6.0,3,0.002451965960142164,high_response
higher,0.7526772293758158,physiology_only,macro_f1,6.0,3,0.02383973891243292,maneuver
lower,0.4253592250922397,physiology_only,rmse,5.0,3,0.004046871568118836,response
higher,0.9419993114048926,vehicle_only,auprc,1.0,3,0.0016390786846192569,high_response
higher,0.9299145299145298,vehicle_only,macro_f1,1.0,3,0.0,maneuver
lower,0.5706695671533705,vehicle_only,rmse,6.0,3,0.0017325716242219827,response
