seed,scenario_id,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,timestamp_jitter_000ms,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.05326042617899481,-0.9952027096773071,1.070694921043658,0.9263073692630737,48,False
17,timestamp_jitter_000ms,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,4.770378862023004,3.1808160475469633,6.332592856071236,9.999000099990002e-05,48,False
17,timestamp_jitter_000ms,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.47680652886706043,-0.5863799844810869,1.497235194313339,0.38046195380461956,48,False
17,timestamp_jitter_000ms,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.0063304466505845385,-0.12997083125325543,0.13438619412481767,0.9271072892710729,48,False
17,timestamp_jitter_000ms,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.20674209607144198,0.0710147640046974,0.35137763841388114,0.007999200079992,48,False
17,timestamp_jitter_000ms,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.19949556390444437,0.11309912798460572,0.29267042537685484,0.00029997000299970003,48,False
17,timestamp_jitter_020ms,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,2.359273592525446,1.0218433675204923,3.6478916947390436,0.0014998500149985001,48,False
17,timestamp_jitter_020ms,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,1.043494143427068,0.05252130413357773,2.040088215827568,0.0466953304669533,48,False
17,timestamp_jitter_020ms,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.6404155146584212,-0.4916603700567617,1.7462766739496116,0.2662733726627337,48,False
17,timestamp_jitter_020ms,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.3528328925992052,0.2245458054744328,0.4856003571844969,9.999000099990002e-05,48,False
17,timestamp_jitter_020ms,held_out,chronaris,mult,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,-0.027793060056865215,-0.14430793821811677,0.09876207803996895,0.6597340265973403,48,False
17,timestamp_jitter_020ms,held_out,chronaris,naive_time_sync,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.34707925996432704,0.2553629986320933,0.44342116874953114,9.999000099990002e-05,48,False
17,timestamp_jitter_050ms,held_out,chronaris,contiformer,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,2.3934151745711105,1.0548080604418342,3.6715647128703295,0.000999900009999,48,False
17,timestamp_jitter_050ms,held_out,chronaris,mult,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,1.2336694035982887,0.24093495069166992,2.2340240951694565,0.020597940205979402,48,False
17,timestamp_jitter_050ms,held_out,chronaris,naive_time_sync,ridge_recovery_probe__primary_physiology_response_lag_s,absolute_error_s,positive_favors_reference,0.6577132138953398,-0.4929550046707733,1.7900299739336873,0.2592740725927407,48,False
17,timestamp_jitter_050ms,held_out,chronaris,contiformer,ridge_recovery_probe__relative_clock_offset_magnitude_s,absolute_error_s,positive_favors_reference,0.37096541188657284,0.24460164117626845,0.5021762201717743,9.999000099990002e-05,48,False
