seed,fold_id,candidate_id,status,completed_epochs,best_epoch,public_self_supervised_validation_loss,checkpoint_path,checkpoint_sha256,task_labels_opened,simulation_oracle_opened,outer_test_opened,normalizer_sha256
17,leave_one_view_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,1.6253859847784042,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_17/leave_one_view_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,9e8ff6162da1b572d1262c11a92a055b580a0c917e9dd8c4915ad1e0700d0ab7,False,False,False,b4767c5b63e8a77371b51469b4db83f218376f430ed2f5a8c6ad311af516ec9f
29,leave_one_view_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,1.5453426092863083,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_29/leave_one_view_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,765cc84a9d20e76f95fee83c8c7b2493e22cac811c40d895e3d4586fc39120d1,False,False,False,b4767c5b63e8a77371b51469b4db83f218376f430ed2f5a8c6ad311af516ec9f
43,leave_one_view_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,1.6009375751018524,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_43/leave_one_view_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,efa98e88b7fc1b8d4c5f91c6b7b963a133c2526cc40f5c4af279d0c1dbd28929,False,False,False,b4767c5b63e8a77371b51469b4db83f218376f430ed2f5a8c6ad311af516ec9f
17,leave_one_view_out__fold02,v2_h96_continuous_basis_euler_lr1e3,resumed,50,50,1.6241389214992523,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_17/leave_one_view_out__fold02/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,1413a8d9fd8eb38181b82473ea58dcbce837148f786fc5073e91fc19e1284756,False,False,False,f94759c86213222b90fbee5d78526e0eb620c4d15e3d48d014c257eb5428e309
29,leave_one_view_out__fold02,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,1.5447251200675964,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_29/leave_one_view_out__fold02/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,e9eb5ecdc4e4f28c8731da7579da3f7adf778a71e077870f6589153da99c0eaf,False,False,False,f94759c86213222b90fbee5d78526e0eb620c4d15e3d48d014c257eb5428e309
43,leave_one_view_out__fold02,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,1.5946713536977768,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_43/leave_one_view_out__fold02/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,1ee7aa6282b5c3a52885fd6332edfdbc21ec9e8016029a1dbf853212f7b88640,False,False,False,f94759c86213222b90fbee5d78526e0eb620c4d15e3d48d014c257eb5428e309
17,leave_one_view_out__fold03,v2_h96_continuous_basis_euler_lr1e3,resumed,50,48,2.4202200025320053,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_17/leave_one_view_out__fold03/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,8250cda9561d7d1095d465b811cef817400a1a555c51eb3d3594fec33b9707e1,False,False,False,c13a06d5546b9e1d3d4aa60ebbd521b4a02a8abb74f06a86a40c35dbca59d9e7
29,leave_one_view_out__fold03,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,2.373250335454941,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_29/leave_one_view_out__fold03/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,60750b42676d1b963d21f712faa3543e039741b0c4114bafc66819cc2fe5f65d,False,False,False,c13a06d5546b9e1d3d4aa60ebbd521b4a02a8abb74f06a86a40c35dbca59d9e7
43,leave_one_view_out__fold03,v2_h96_continuous_basis_euler_lr1e3,completed,50,46,2.506229743361473,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_43/leave_one_view_out__fold03/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,dbc8335b1b02f4a6f575358dad585d4919374281160cbba21e0962410179356a,False,False,False,c13a06d5546b9e1d3d4aa60ebbd521b4a02a8abb74f06a86a40c35dbca59d9e7
17,leave_one_sortie_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,2.3164171278476715,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_17/leave_one_sortie_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,33f159fdeb9053ee430c1b0eb19a49cf3f5b65fb0bbd720a07d9d38fdac9b1df,False,False,False,b2dab368e9b9a1d25d4cda4ec5d8ded5bc2439a303dd3525a6a3b98aa7d8abfd
29,leave_one_sortie_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,45,37,2.426546037197113,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_29/leave_one_sortie_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,805e5d1d5a64d5875c6596c647f4b707adbdfd6d687b55a43652ba1268eb8384,False,False,False,b2dab368e9b9a1d25d4cda4ec5d8ded5bc2439a303dd3525a6a3b98aa7d8abfd
43,leave_one_sortie_out__fold01,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,2.4813328981399536,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_43/leave_one_sortie_out__fold01/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,db9aa8ec315b78269c77520de3e953511a3b328ead205cd0fbd83b7fd93db5d1,False,False,False,b2dab368e9b9a1d25d4cda4ec5d8ded5bc2439a303dd3525a6a3b98aa7d8abfd
17,leave_one_sortie_out__fold02,v2_h96_continuous_basis_euler_lr1e3,completed,50,48,2.4202200025320053,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_17/leave_one_sortie_out__fold02/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,645732f5dda22f4266cd0ada482e9e2010fc9625484a157f93c5487ad6eb4c9d,False,False,False,c13a06d5546b9e1d3d4aa60ebbd521b4a02a8abb74f06a86a40c35dbca59d9e7
29,leave_one_sortie_out__fold02,v2_h96_continuous_basis_euler_lr1e3,completed,50,50,2.373250350356102,artifacts/application_evaluation/2026-07-13_chronaris-v2-dingxin-locked-pretraining/checkpoints/seed_29/leave_one_sortie_out__fold02/chronaris/v2_h96_continuous_basis_euler_lr1e3/last.pt,b7750a7ac4cf9323a63969e2313a1390a54cd5f218705a97787622a5422afe95,False,False,False,c13a06d5546b9e1d3d4aa60ebbd521b4a02a8abb74f06a86a40c35dbca59d9e7
