metric_name,method,direction,value,threshold,metric_label,method_label,threshold_passed
dingxin_high_response_auprc,chronaris,higher,0.8409505783242041,0.8838787,鼎新高生理响应识别 AUPRC,Chronaris,False
dingxin_high_response_auprc,contiformer,higher,0.8593034418817725,0.8838787,鼎新高生理响应识别 AUPRC,ContiFormer,False
dingxin_high_response_auprc,mult,higher,0.8697951100132418,0.8838787,鼎新高生理响应识别 AUPRC,MulT,False
dingxin_high_response_auprc,naive_time_sync,higher,0.857180233056764,0.8838787,鼎新高生理响应识别 AUPRC,朴素时间同步,False
dingxin_high_response_auprc,physiology_only,higher,0.8221390998960635,0.8838787,鼎新高生理响应识别 AUPRC,生理单流,False
dingxin_high_response_auprc,vehicle_only,higher,0.8744543941816403,0.8838787,鼎新高生理响应识别 AUPRC,航电单流,False
dingxin_maneuver_macro_f1,chronaris,higher,0.7253777712714911,0.9409316,鼎新机动强度分类 Macro-F1,Chronaris,False
dingxin_maneuver_macro_f1,contiformer,higher,0.9409316261641733,0.9409316,鼎新机动强度分类 Macro-F1,ContiFormer,True
dingxin_maneuver_macro_f1,mult,higher,0.8780537201589832,0.9409316,鼎新机动强度分类 Macro-F1,MulT,False
dingxin_maneuver_macro_f1,naive_time_sync,higher,0.9407407407407408,0.9409316,鼎新机动强度分类 Macro-F1,朴素时间同步,False
dingxin_maneuver_macro_f1,physiology_only,higher,0.7327190466725351,0.9409316,鼎新机动强度分类 Macro-F1,生理单流,False
dingxin_maneuver_macro_f1,vehicle_only,higher,0.929774477922626,0.9409316,鼎新机动强度分类 Macro-F1,航电单流,False
dingxin_response_rmse,chronaris,lower,0.33462946004993016,0.291171,鼎新连续生理响应 RMSE,Chronaris,False
dingxin_response_rmse,contiformer,lower,0.3113713306039174,0.291171,鼎新连续生理响应 RMSE,ContiFormer,False
dingxin_response_rmse,mult,lower,0.29117097989424773,0.291171,鼎新连续生理响应 RMSE,MulT,True
dingxin_response_rmse,naive_time_sync,lower,0.326836596113663,0.291171,鼎新连续生理响应 RMSE,朴素时间同步,False
dingxin_response_rmse,physiology_only,lower,0.8011302124922386,0.291171,鼎新连续生理响应 RMSE,生理单流,False
dingxin_response_rmse,vehicle_only,lower,0.3028348229171605,0.291171,鼎新连续生理响应 RMSE,航电单流,False
simulation_load_macro_f1,chronaris,higher,0.3043727941322978,0.5191073,仿真负荷分类 Macro-F1,Chronaris,False
simulation_load_macro_f1,contiformer,higher,0.5515746399879737,0.5191073,仿真负荷分类 Macro-F1,ContiFormer,True
simulation_load_macro_f1,mult,higher,0.4867644679468897,0.5191073,仿真负荷分类 Macro-F1,MulT,False
simulation_load_macro_f1,naive_time_sync,higher,0.48585304171860927,0.5191073,仿真负荷分类 Macro-F1,朴素时间同步,False
simulation_load_macro_f1,physiology_only,higher,0.46600540253108313,0.5191073,仿真负荷分类 Macro-F1,生理单流,False
simulation_load_macro_f1,vehicle_only,higher,0.5196967181361678,0.5191073,仿真负荷分类 Macro-F1,航电单流,True
simulation_load_rmse,chronaris,lower,0.2539185483966659,0.1934353,仿真负荷回归 RMSE,Chronaris,False
simulation_load_rmse,contiformer,lower,0.19276920360956593,0.1934353,仿真负荷回归 RMSE,ContiFormer,True
simulation_load_rmse,mult,lower,0.15611505070410311,0.1934353,仿真负荷回归 RMSE,MulT,True
simulation_load_rmse,naive_time_sync,lower,0.21859360471153347,0.1934353,仿真负荷回归 RMSE,朴素时间同步,False
simulation_load_rmse,physiology_only,lower,0.25907639773498065,0.1934353,仿真负荷回归 RMSE,生理单流,False
simulation_load_rmse,vehicle_only,lower,0.20545193352439362,0.1934353,仿真负荷回归 RMSE,航电单流,False
simulation_segmentation_macro_f1,chronaris,higher,0.41230985121858016,0.4687076,仿真机动分段 Macro-F1,Chronaris,False
simulation_segmentation_macro_f1,contiformer,higher,0.3617408975503323,0.4687076,仿真机动分段 Macro-F1,ContiFormer,False
simulation_segmentation_macro_f1,mult,higher,0.3874348447168572,0.4687076,仿真机动分段 Macro-F1,MulT,False
simulation_segmentation_macro_f1,naive_time_sync,higher,0.40695326004640314,0.4687076,仿真机动分段 Macro-F1,朴素时间同步,False
simulation_segmentation_macro_f1,physiology_only,higher,0.3134790262808588,0.4687076,仿真机动分段 Macro-F1,生理单流,False
simulation_segmentation_macro_f1,vehicle_only,higher,0.3584458019905923,0.4687076,仿真机动分段 Macro-F1,航电单流,False
