seed,method_name,target_name,status,selected_alpha,protocol_sha256,fit_role,selection_role,g2_used_for_model_selection
17,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,f1ae15a10c26e1a4b6cf3b8e5e22b03c503f0813f13bc188ceafeb54429c4a2e,g1_train,g1_validation,False
17,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,c47a252979c3e53bf9f004a76d450d3f1e25fa4c7fa4e83d960fcc9d1ae1fb2c,g1_train,g1_validation,False
17,mult,relative_clock_offset_magnitude_s,completed,1.0,b01d1ac9f8b8e44ccdde9776e6200773a13b8692eb12f39277a89cafb2f80f45,g1_train,g1_validation,False
17,mult,primary_physiology_response_lag_s,completed,0.1,12af4297475a42798a555c581d1bdcd04017bb3db2c25c5c2be5a3361509702c,g1_train,g1_validation,False
17,contiformer,relative_clock_offset_magnitude_s,completed,1.0,4db102976c56b9f1c9b5cac1660f8639f673abd4704baa44dd2693e71d9fa947,g1_train,g1_validation,False
17,contiformer,primary_physiology_response_lag_s,completed,0.1,fb08135285cb0de137978fedb4f48271927d8c2ab8d95592de0ccb1be67c3504,g1_train,g1_validation,False
17,chronaris,relative_clock_offset_magnitude_s,completed,0.1,9a967adae6b8937f57b2352ffbf07c168328d2ba6168c211ccf9d966df2d3fd0,g1_train,g1_validation,False
17,chronaris,primary_physiology_response_lag_s,completed,0.1,6e3046c1851227102dd2f185beeec61bdc688f55e1627f6d51f337b0e6953c4f,g1_train,g1_validation,False
29,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,fde8e13602c5ea60b0a1c59588633f47c80ac911c5758244d6ba552e3baaf50b,g1_train,g1_validation,False
29,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,4a5f72047ed98e710dedde8491e82dc33f59f5d8e51ccbbb6e1c9d767fbd3ec0,g1_train,g1_validation,False
29,mult,relative_clock_offset_magnitude_s,completed,1.0,1865d542b37cd8d1a6be6ae52f6c23b736fb9777f5305d0abe44bd98ca9cc461,g1_train,g1_validation,False
29,mult,primary_physiology_response_lag_s,completed,1.0,38733068610dcc8eb189740c71500892c287a11294262b0b51b5391f1fcf738d,g1_train,g1_validation,False
29,contiformer,relative_clock_offset_magnitude_s,completed,1.0,8f633c35dc5b8e4f4972f5226f27b2e2d09ba8d13bc77b38157a8d09824a0c61,g1_train,g1_validation,False
29,contiformer,primary_physiology_response_lag_s,completed,1.0,d12376fff2cd86e3409294316ac711e56c5f7490a88ef52150fac9447f1192b6,g1_train,g1_validation,False
29,chronaris,relative_clock_offset_magnitude_s,completed,10.0,32d2087689d054aa93023c713d9a2d39d4993322b8918ceb80903bc4497c1a11,g1_train,g1_validation,False
29,chronaris,primary_physiology_response_lag_s,completed,100.0,158a57272a3a42a81a3c303f27dc3cb1ed5fcdd7ba72a67621a2ed5882c7a4fc,g1_train,g1_validation,False
43,naive_time_sync,relative_clock_offset_magnitude_s,completed,100.0,05f515c2f8f52eb8bc22365bbaa8fef70b9f61e4e324449a123ec3c8e377924e,g1_train,g1_validation,False
43,naive_time_sync,primary_physiology_response_lag_s,completed,100.0,3840f81ac1bb54017409e6bee959c5b5855ba7a5f362d3d20a33cbe1494196f5,g1_train,g1_validation,False
43,mult,relative_clock_offset_magnitude_s,completed,0.1,9612a46e17a4da8bbd06f0270b6aafff3c400a9a4a13fe0f3c2a7d4cc506157a,g1_train,g1_validation,False
43,mult,primary_physiology_response_lag_s,completed,0.1,56855ee8da9503365a9e44ae433b78405455dbf62238f036953b7c5a632833f0,g1_train,g1_validation,False
43,contiformer,relative_clock_offset_magnitude_s,completed,1.0,e31ad193eccdad362a3862e4c9bf211ecbe605df1c13830e238b03899c3ef830,g1_train,g1_validation,False
43,contiformer,primary_physiology_response_lag_s,completed,0.1,68e4dadb98595c02660796430bd86d4466df5c7a5162eb8090b1cba7962408f9,g1_train,g1_validation,False
43,chronaris,relative_clock_offset_magnitude_s,completed,10.0,0e310e994ccab390fcb468ccf706845bc3aa2e2d9d304b6295e9d67e9692fbc8,g1_train,g1_validation,False
43,chronaris,primary_physiology_response_lag_s,completed,10.0,89f0b136c28bedb976bdb54c306573467933206fe1c7bace9f129f580cce56e2,g1_train,g1_validation,False
