metric_name,seed,method,direction,value
dingxin_maneuver_macro_f1,17,chronaris,higher,0.7300053676865271
dingxin_maneuver_macro_f1,17,contiformer,higher,0.9627039627039627
dingxin_maneuver_macro_f1,17,mult,higher,0.9034201665780612
dingxin_maneuver_macro_f1,17,naive_time_sync,higher,0.9407407407407408
dingxin_maneuver_macro_f1,17,physiology_only,higher,0.7472527472527473
dingxin_maneuver_macro_f1,17,vehicle_only,higher,0.9193415637860082
dingxin_maneuver_macro_f1,29,chronaris,higher,0.7253487253487254
dingxin_maneuver_macro_f1,29,contiformer,higher,0.934156378600823
dingxin_maneuver_macro_f1,29,mult,higher,0.914002177160072
dingxin_maneuver_macro_f1,29,naive_time_sync,higher,0.9407407407407408
dingxin_maneuver_macro_f1,29,physiology_only,higher,0.7286821705426356
dingxin_maneuver_macro_f1,29,vehicle_only,higher,0.94006734006734
dingxin_maneuver_macro_f1,43,chronaris,higher,0.7207792207792209
dingxin_maneuver_macro_f1,43,contiformer,higher,0.925934537187734
dingxin_maneuver_macro_f1,43,mult,higher,0.8167388167388167
dingxin_maneuver_macro_f1,43,naive_time_sync,higher,0.9407407407407408
dingxin_maneuver_macro_f1,43,physiology_only,higher,0.7222222222222222
dingxin_maneuver_macro_f1,43,vehicle_only,higher,0.9299145299145298
dingxin_high_response_auprc,17,chronaris,higher,0.8235711209360533
dingxin_high_response_auprc,17,contiformer,higher,0.858023777346959
dingxin_high_response_auprc,17,mult,higher,0.8656092695233428
dingxin_high_response_auprc,17,naive_time_sync,higher,0.87753424419838
dingxin_high_response_auprc,17,physiology_only,higher,0.81924819573897
dingxin_high_response_auprc,17,vehicle_only,higher,0.8797430616065358
dingxin_high_response_auprc,29,chronaris,higher,0.8437718238919526
dingxin_high_response_auprc,29,contiformer,higher,0.8491753276633055
dingxin_high_response_auprc,29,mult,higher,0.8634639426348999
dingxin_high_response_auprc,29,naive_time_sync,higher,0.8352024981549263
dingxin_high_response_auprc,29,physiology_only,higher,0.8245561063484578
dingxin_high_response_auprc,29,vehicle_only,higher,0.8766464037861242
dingxin_high_response_auprc,43,chronaris,higher,0.8555087901446065
dingxin_high_response_auprc,43,contiformer,higher,0.870711220635053
dingxin_high_response_auprc,43,mult,higher,0.8803121178814828
dingxin_high_response_auprc,43,naive_time_sync,higher,0.8588039568169856
dingxin_high_response_auprc,43,physiology_only,higher,0.8226129976007628
dingxin_high_response_auprc,43,vehicle_only,higher,0.8669737171522608
dingxin_response_rmse,17,chronaris,lower,0.3495538173751255
dingxin_response_rmse,17,contiformer,lower,0.3303786793532592
dingxin_response_rmse,17,mult,lower,0.3107298980101013
dingxin_response_rmse,17,naive_time_sync,lower,0.3269687608336332
dingxin_response_rmse,17,physiology_only,lower,0.7694175378646345
dingxin_response_rmse,17,vehicle_only,lower,0.298595275832189
dingxin_response_rmse,29,chronaris,lower,0.3537276633662309
dingxin_response_rmse,29,contiformer,lower,0.3135839568801465
dingxin_response_rmse,29,mult,lower,0.2810417358183881
dingxin_response_rmse,29,naive_time_sync,lower,0.303028495500738
dingxin_response_rmse,29,physiology_only,lower,0.6410286159382809
dingxin_response_rmse,29,vehicle_only,lower,0.2992009329609962
dingxin_response_rmse,43,chronaris,lower,0.3006068994084341
dingxin_response_rmse,43,contiformer,lower,0.2901513555783466
dingxin_response_rmse,43,mult,lower,0.2817413058542539
dingxin_response_rmse,43,naive_time_sync,lower,0.3505125320066178
dingxin_response_rmse,43,physiology_only,lower,0.9929444836738004
dingxin_response_rmse,43,vehicle_only,lower,0.3107082599582965
simulation_load_macro_f1,17,chronaris,higher,0.2760428237945746
simulation_load_macro_f1,17,contiformer,higher,0.5877318358138305
simulation_load_macro_f1,17,mult,higher,0.5398676592224979
simulation_load_macro_f1,17,naive_time_sync,higher,0.4800637958532696
simulation_load_macro_f1,17,physiology_only,higher,0.4559464559464559
simulation_load_macro_f1,17,vehicle_only,higher,0.5285335452391918
simulation_load_macro_f1,29,chronaris,higher,0.3365839243498817
simulation_load_macro_f1,29,contiformer,higher,0.5182608695652174
simulation_load_macro_f1,29,mult,higher,0.4542075686441884
simulation_load_macro_f1,29,naive_time_sync,higher,0.4815944048302052
simulation_load_macro_f1,29,physiology_only,higher,0.4915856182787856
simulation_load_macro_f1,29,vehicle_only,higher,0.4296161845339383
simulation_load_macro_f1,43,chronaris,higher,0.3004916342524371
simulation_load_macro_f1,43,contiformer,higher,0.5487312145848732
simulation_load_macro_f1,43,mult,higher,0.4662181759739829
simulation_load_macro_f1,43,naive_time_sync,higher,0.495900924472353
simulation_load_macro_f1,43,physiology_only,higher,0.4504841333680079
simulation_load_macro_f1,43,vehicle_only,higher,0.6009404246353732
simulation_load_rmse,17,chronaris,lower,0.298847611157392
simulation_load_rmse,17,contiformer,lower,0.1860513619407816
simulation_load_rmse,17,mult,lower,0.1646067867328702
simulation_load_rmse,17,naive_time_sync,lower,0.1845936836965007
simulation_load_rmse,17,physiology_only,lower,0.2794142125814888
simulation_load_rmse,17,vehicle_only,lower,0.1889619935996349
simulation_load_rmse,29,chronaris,lower,0.241385839328551
simulation_load_rmse,29,contiformer,lower,0.1931949256607474
simulation_load_rmse,29,mult,lower,0.14525601978249
simulation_load_rmse,29,naive_time_sync,lower,0.2419255677445302
simulation_load_rmse,29,physiology_only,lower,0.2439064290498657
simulation_load_rmse,29,vehicle_only,lower,0.2523143668527033
simulation_load_rmse,43,chronaris,lower,0.2215221947040546
