dataset,task,consumer,seed,fold,role,metric,fusion_method,best_single_value,fusion_value,fusion_gain,direction_normalized,status
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,naive_time_sync,0.5042995169082126,0.3879468599033817,-0.11635265700483094,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,mult,0.5042995169082126,0.3733574879227053,-0.13094202898550733,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,contiformer,0.5042995169082126,0.516328502415459,0.012028985507246404,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,balanced_accuracy,chronaris,0.5042995169082126,0.4377173913043478,-0.06658212560386484,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,naive_time_sync,0.6417964894445197,0.7408690334968565,-0.09907254405233679,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,mult,0.6417964894445197,0.7780158360450583,-0.13621934660053858,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,contiformer,0.6417964894445197,0.5937618133084128,0.0480346761361069,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,brier_score,chronaris,0.6417964894445197,0.696600219372027,-0.05480372992750726,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,naive_time_sync,0.16897826993984646,0.26098550199376297,-0.0920072320539165,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,mult,0.16897826993984646,0.3346247630274599,-0.16564649308761345,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,contiformer,0.16897826993984646,0.18304211394979095,-0.014063844009944482,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,ece_10_bins,chronaris,0.16897826993984646,0.3227005005021033,-0.15372223056225684,higher_is_better,available
model_independent_aviation_simulation,simulated_future_workload_classification,linear,17,simulation_g1_to_g2_stress__seed_17__clock_drift_+000ppm,held_out,macro_auprc,naive_time_sync,0.5236804206996014,0.4325936545409062,-0.09108676615869521,higher_is_better,available
