seed,scenario_id,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,timestamp_jitter_000ms,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.00032552083333333104,-0.026803927951388876,0.025988769531250008,0.9846015398460154,48,False
17,timestamp_jitter_000ms,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.08843315972222221,-0.12337782118055556,-0.054897732204861154,9.999000099990002e-05,48,False
17,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.2916666666666667,-0.3958333333333333,-0.1875,9.999000099990002e-05,48,False
17,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,-0.296875,-0.3645833333333333,-0.22395833333333334,9.999000099990002e-05,48,False
17,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,regression_absolute_error,positive_favors_reference,-0.11090514886503418,-0.14041680141817778,-0.08056703561451287,9.999000099990002e-05,48,False
17,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,regression_absolute_error,positive_favors_reference,-0.122052944265306,-0.14779545082710682,-0.0955082324333489,9.999000099990002e-05,48,False
29,timestamp_jitter_000ms,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.017795138888888895,-0.01177435980902779,0.046497938368055554,0.24467553244675533,48,False
29,timestamp_jitter_000ms,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.03076171875,-0.06694878472222221,0.005859375000000004,0.11018898110188981,48,False
29,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.22395833333333334,-0.3177083333333333,-0.125,0.00019998000199980003,48,False
29,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,-0.14583333333333334,-0.22916666666666666,-0.062369791666667375,0.0036996300369963003,48,False
29,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,regression_absolute_error,positive_favors_reference,-0.04463912049929301,-0.07244734220827619,-0.017404977472809478,0.004299570042995701,48,False
29,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,regression_absolute_error,positive_favors_reference,-0.08223370338479678,-0.10337622982915491,-0.061122060691316926,9.999000099990002e-05,48,False
43,timestamp_jitter_000ms,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.03238932291666667,0.0038492838541666634,0.060662163628472196,0.031796820317968204,48,False
43,timestamp_jitter_000ms,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.034993489583333336,0.006346299913194441,0.06336941189236109,0.023797620237976203,48,False
43,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.2552083333333333,-0.359375,-0.15104166666666666,9.999000099990002e-05,48,False
43,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,-0.18229166666666666,-0.265625,-0.09375,0.0006999300069993001,48,False
43,timestamp_jitter_000ms,held_out,chronaris,contiformer,minirocket,regression_absolute_error,positive_favors_reference,-0.031922200694680214,-0.058160735356311,-0.006051161792129285,0.022097790220977902,48,False
43,timestamp_jitter_000ms,held_out,chronaris,mult,minirocket,regression_absolute_error,positive_favors_reference,-0.06769009369115035,-0.08419627039693296,-0.049179700048019484,9.999000099990002e-05,48,False
17,timestamp_jitter_020ms,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.0018446180555555566,-0.02642550998263888,0.02382541232638885,0.8907109289071092,48,False
17,timestamp_jitter_020ms,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.10563151041666667,-0.1412258572048611,-0.07063395182291667,9.999000099990002e-05,48,False
17,timestamp_jitter_020ms,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.296875,-0.390625,-0.19791666666666666,9.999000099990002e-05,48,False
