sample_id,group_id,profile_id,trajectory_id,role,scenario_id,context_start_s,context_end_s,observed_path,observed_sha256,oracle_opened_for_representation
g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000__timestamp_jitter_000ms::context_030.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000/timestamp_jitter_000ms/raw_dual_stream.npz,4f6849a9a158c04712cf75d4aaedb543aa4f99d6ed19a784cd0f03e6d4102902,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000__timestamp_jitter_000ms::context_060.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000/timestamp_jitter_000ms/raw_dual_stream.npz,4f6849a9a158c04712cf75d4aaedb543aa4f99d6ed19a784cd0f03e6d4102902,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000__timestamp_jitter_000ms::context_090.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000,held_out,timestamp_jitter_000ms,90.0,120.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000/timestamp_jitter_000ms/raw_dual_stream.npz,4f6849a9a158c04712cf75d4aaedb543aa4f99d6ed19a784cd0f03e6d4102902,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000__timestamp_jitter_000ms::context_120.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000,held_out,timestamp_jitter_000ms,120.0,150.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_000__seed_1300000/timestamp_jitter_000ms/raw_dual_stream.npz,4f6849a9a158c04712cf75d4aaedb543aa4f99d6ed19a784cd0f03e6d4102902,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001__timestamp_jitter_000ms::context_030.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001/timestamp_jitter_000ms/raw_dual_stream.npz,e3e5bfa2771ae6ba103db5d1f55dc986fcbec30cfa91bd9e35c8647673d13146,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001__timestamp_jitter_000ms::context_060.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001/timestamp_jitter_000ms/raw_dual_stream.npz,e3e5bfa2771ae6ba103db5d1f55dc986fcbec30cfa91bd9e35c8647673d13146,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001__timestamp_jitter_000ms::context_090.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001,held_out,timestamp_jitter_000ms,90.0,120.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001/timestamp_jitter_000ms/raw_dual_stream.npz,e3e5bfa2771ae6ba103db5d1f55dc986fcbec30cfa91bd9e35c8647673d13146,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001__timestamp_jitter_000ms::context_120.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001,held_out,timestamp_jitter_000ms,120.0,150.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_001__seed_1300001/timestamp_jitter_000ms/raw_dual_stream.npz,e3e5bfa2771ae6ba103db5d1f55dc986fcbec30cfa91bd9e35c8647673d13146,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002__timestamp_jitter_000ms::context_030.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002,held_out,timestamp_jitter_000ms,30.0,60.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002/timestamp_jitter_000ms/raw_dual_stream.npz,3be8967015c9bb76de33cc547bbfe491d8347d74f139a79abd4c5eb114e81d2a,False
g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002__timestamp_jitter_000ms::context_060.000,sealed_confirmation_profile_000,sealed_confirmation_profile_000,g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002,held_out,timestamp_jitter_000ms,60.0,90.0,artifacts/application_evaluation/2026-07-12_chronaris-v2-independent-confirmation-family/sealed_confirmation/sealed_confirmation_profile_000/g2_event_spline__sealed_confirmation_profile_000__trajectory_002__seed_1300002/timestamp_jitter_000ms/raw_dual_stream.npz,3be8967015c9bb76de33cc547bbfe491d8347d74f139a79abd4c5eb114e81d2a,False
