seed,task,consumer,metric,direction,full_method,ablation_method,full_value,ablation_value,full_advantage_normalized,positive_favors_full
17,simulated_future_workload_classification,linear,balanced_accuracy,higher,chronaris,chronaris_no_corrected_physics,0.48846321749929,0.452110909083203,0.036352308416087,True
17,simulated_future_workload_classification,linear,balanced_accuracy,higher,chronaris,chronaris_no_missingness_curriculum,0.48846321749929,0.42927257238038324,0.05919064511890676,True
17,simulated_future_workload_classification,linear,brier_score,lower,chronaris,chronaris_no_corrected_physics,0.5760469619434102,0.5304018994567947,-0.045645062486615484,True
17,simulated_future_workload_classification,linear,brier_score,lower,chronaris,chronaris_no_missingness_curriculum,0.5760469619434102,0.5998298569661147,0.023782895022704476,True
17,simulated_future_workload_classification,linear,ece_10_bins,lower,chronaris,chronaris_no_corrected_physics,0.2180045970154314,0.14271610946693442,-0.07528848754849699,True
17,simulated_future_workload_classification,linear,ece_10_bins,lower,chronaris,chronaris_no_missingness_curriculum,0.2180045970154314,0.24399872491408767,0.025994127898656266,True
17,simulated_future_workload_classification,linear,macro_auprc,higher,chronaris,chronaris_no_corrected_physics,0.5225058533447241,0.5162508436454736,0.006255009699250524,True
17,simulated_future_workload_classification,linear,macro_auprc,higher,chronaris,chronaris_no_missingness_curriculum,0.5225058533447241,0.5074983278648827,0.01500752547984141,True
17,simulated_future_workload_classification,linear,macro_f1,higher,chronaris,chronaris_no_corrected_physics,0.4925079555989877,0.4422996694586181,0.050208286140369596,True
17,simulated_future_workload_classification,linear,macro_f1,higher,chronaris,chronaris_no_missingness_curriculum,0.4925079555989877,0.4335268483875295,0.05898110721145822,True
17,simulated_future_workload_classification,minirocket,balanced_accuracy,higher,chronaris,chronaris_no_corrected_physics,0.3723155365112465,0.36949067775418426,0.002824858757062232,True
17,simulated_future_workload_classification,minirocket,balanced_accuracy,higher,chronaris,chronaris_no_missingness_curriculum,0.3723155365112465,0.3909960540982704,-0.01868051758702388,True
17,simulated_future_workload_classification,minirocket,brier_score,lower,chronaris,chronaris_no_corrected_physics,1.1727528377778678,1.2106071006150458,0.037854262837178076,True
