dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.5113791896926101,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.5092730370274525,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.549714976040552,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.5944532646151836,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.11936969682285786,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.13272718681643406,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.16308141136224677,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,linear,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.6125746066196418,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_f1,0.5979896472854219,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,balanced_accuracy,0.6153738327834207,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,macro_auprc,0.6197174838289466,higher,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,brier_score,0.6017912268836357,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_classification,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,ece_10_bins,0.2594118907153823,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,mae,0.11595170013606548,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,rmse,0.15353445467522864,lower,available,,False
model_independent_aviation_simulation,simulated_future_workload_regression,minirocket,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,spearman,0.6972734671730874,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,frame_macro_f1,0.5328334442261532,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.10,0.5258445792719206,higher,available,,False
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,causal_tcn_raw,chronaris_no_corrected_physics,17,simulation_g1_to_g2_ablation__seed_17,validation,segmental_f1_iou_0.25,0.43480944087803614,higher,available,,False
