seed,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.04242621527777779,-0.061631944444444454,-0.025933159722222238,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.033962673611111126,-0.04915635850694445,-0.021157497829861125,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.03521050347222224,-0.04969618055555557,-0.021864149305555563,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.023383246527777794,-0.03521321614583336,-0.012315538194444467,9.999000099990002e-05,48,False
17,held_out,chronaris,chronaris_no_corrected_physics,linear,classification_correct,positive_favors_reference,0.046875,0.005208333333333333,0.08854166666666667,0.0484951504849515,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,linear,classification_correct,positive_favors_reference,0.036458333333333336,0.0,0.07291666666666667,0.09309069093090691,48,False
17,held_out,chronaris,chronaris_no_corrected_physics,linear,regression_absolute_error,positive_favors_reference,-0.002230085587749838,-0.007957993343006772,0.0037014103843830814,0.46735326467353266,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,linear,regression_absolute_error,positive_favors_reference,0.014734414095679958,-0.001085546581695434,0.030491428628253475,0.0700929907009299,48,False
17,held_out,chronaris,chronaris_no_corrected_physics,minirocket,classification_correct,positive_favors_reference,0.005208333333333333,-0.010416666666666666,0.020833333333333332,1.0,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,minirocket,classification_correct,positive_favors_reference,-0.005208333333333333,-0.026041666666666668,0.015625,1.0,48,False
17,held_out,chronaris,chronaris_no_corrected_physics,minirocket,regression_absolute_error,positive_favors_reference,0.011711318666736309,0.0062920213211328044,0.017134898613827942,0.00019998000199980003,48,False
17,held_out,chronaris,chronaris_no_missingness_curriculum,minirocket,regression_absolute_error,positive_favors_reference,-0.026117060333490347,-0.03813012272585182,-0.014545966948692975,9.999000099990002e-05,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.011284722222222217,-0.022570800781249994,-0.00021701388888888665,0.059994000599940006,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.0035264756944444393,-0.008192274305555561,0.013997395833333329,0.5557444255574443,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.014973958333333343,-0.024088541666666685,-0.0064005533854166905,0.0027997200279972004,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.00531684027777776,-0.003799099392361141,0.013400607638888867,0.24587541245875413,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,linear,classification_correct,positive_favors_reference,0.020833333333333332,-0.010416666666666666,0.052083333333333336,0.3408659134086591,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,linear,classification_correct,positive_favors_reference,-0.005208333333333333,-0.036458333333333336,0.03125,1.0,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,linear,regression_absolute_error,positive_favors_reference,0.0030003562569618607,-0.0020430944743565823,0.008063089211160975,0.27047295270472954,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,linear,regression_absolute_error,positive_favors_reference,-2.7092328915955498e-05,-0.006399298459291425,0.006785037931210086,0.9938006199380062,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,minirocket,classification_correct,positive_favors_reference,0.005208333333333333,-0.020833333333333332,0.03125,1.0,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,minirocket,classification_correct,positive_favors_reference,-0.026041666666666668,-0.0625,0.005208333333333333,0.23197680231976803,48,False
29,held_out,chronaris,chronaris_no_corrected_physics,minirocket,regression_absolute_error,positive_favors_reference,-0.0021916671345631063,-0.01163725225875773,0.006781217750782773,0.644935506449355,48,False
29,held_out,chronaris,chronaris_no_missingness_curriculum,minirocket,regression_absolute_error,positive_favors_reference,-0.018822956519822256,-0.02708721135277298,-0.010723542119376343,9.999000099990002e-05,48,False
43,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.010850694444444439,0.0024400499131944295,0.01882595486111111,0.011498850114988501,48,False
43,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.030761718750000003,0.015516493055555558,0.046496582031250004,0.00019998000199980003,48,False
43,held_out,chronaris,chronaris_no_corrected_physics,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.015624999999999991,0.0061279296874999925,0.025066460503472204,0.0014998500149985001,48,False
43,held_out,chronaris,chronaris_no_missingness_curriculum,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.04161241319444445,0.02826605902777778,0.05571967230902778,9.999000099990002e-05,48,False
43,held_out,chronaris,chronaris_no_corrected_physics,linear,classification_correct,positive_favors_reference,-0.015625,-0.052083333333333336,0.020833333333333332,0.5934406559344065,48,False
43,held_out,chronaris,chronaris_no_missingness_curriculum,linear,classification_correct,positive_favors_reference,0.0,-0.026041666666666668,0.026041666666666668,1.0,48,False
43,held_out,chronaris,chronaris_no_corrected_physics,linear,regression_absolute_error,positive_favors_reference,-0.001825693994760482,-0.0064683785235198545,0.0029842199369644433,0.46895310468953105,48,False
43,held_out,chronaris,chronaris_no_missingness_curriculum,linear,regression_absolute_error,positive_favors_reference,-0.01371457039689021,-0.024180087936110768,-0.0029874576488509454,0.014998500149985002,48,False
43,held_out,chronaris,chronaris_no_corrected_physics,minirocket,classification_correct,positive_favors_reference,0.14583333333333334,0.09375,0.19791666666666666,9.999000099990002e-05,48,False
