seed,variant,method_name,role,status,sample_count,checkpoint_sha256,representation_sha256,output_root
17,no_corrected_physics,chronaris_no_corrected_physics,train,completed,384,f80c426dd3d860fda5559066430c7c5430f09549dd6057a4df57b7912e7d111f,7943eeae6c598311bbbef6226937507128d669493c62f9e265d4c93751e3be25,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_corrected_physics/train
17,no_corrected_physics,chronaris_no_corrected_physics,validation,completed,96,f80c426dd3d860fda5559066430c7c5430f09549dd6057a4df57b7912e7d111f,6e26dde0b5a86851c835507b776518d8b40cbbafb41268e675584d45341a8fa7,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_corrected_physics/validation
17,no_corrected_physics,chronaris_no_corrected_physics,held_out,completed,192,f80c426dd3d860fda5559066430c7c5430f09549dd6057a4df57b7912e7d111f,f12bbfa329c502f89736a5bf042c424dbcb911b12021c480467cc59d8812f8d7,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_corrected_physics/held_out
17,no_missingness_curriculum,chronaris_no_missingness_curriculum,train,completed,384,020ac7504aeb5adef5a9ac58c1a6b81e67d0af794b7bb60d978e442ef8cd633b,5dd430cf8f2cdb3d8a749e700102e9cd837e1629202ec0ec0d458bd2c0ceec4e,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_missingness_curriculum/train
17,no_missingness_curriculum,chronaris_no_missingness_curriculum,validation,completed,96,020ac7504aeb5adef5a9ac58c1a6b81e67d0af794b7bb60d978e442ef8cd633b,6400535b5c2a742795dd137b7f50cd157124e1703ef28864f4322f4d3009dde2,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_missingness_curriculum/validation
17,no_missingness_curriculum,chronaris_no_missingness_curriculum,held_out,completed,192,020ac7504aeb5adef5a9ac58c1a6b81e67d0af794b7bb60d978e442ef8cd633b,501d36d2a2ff31e69c7592f235f5111275013f842b5cd4859e6a6346a8894c78,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_17/chronaris_no_missingness_curriculum/held_out
29,no_corrected_physics,chronaris_no_corrected_physics,train,completed,384,774f64ca0b5ad50b48befa3708a0c6be75e61e96c6c23ba4daa37965012f7d8a,8bfa484873f512c681d12960d15b907d17fa0c5411ab0d5c82258ff4c05da775,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_29/chronaris_no_corrected_physics/train
29,no_corrected_physics,chronaris_no_corrected_physics,validation,completed,96,774f64ca0b5ad50b48befa3708a0c6be75e61e96c6c23ba4daa37965012f7d8a,c94a563708ba1f09595e896dce7a4fdc14681d7c44766fb46333eae8192328b4,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_29/chronaris_no_corrected_physics/validation
29,no_corrected_physics,chronaris_no_corrected_physics,held_out,completed,192,774f64ca0b5ad50b48befa3708a0c6be75e61e96c6c23ba4daa37965012f7d8a,28c6881ffba60742072a9366fb859229fff11f359aa3050c42d0ab6cfe029a49,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_29/chronaris_no_corrected_physics/held_out
29,no_missingness_curriculum,chronaris_no_missingness_curriculum,train,completed,384,8284d5987f0ef0b7111eabd802fa159299ebba000339bb602a972ef6f044a3b8,8301ff3478625c952df7ac07469a33fb79250b6618b13c903ad2df3795d27cac,artifacts/application_evaluation/2026-07-13_chronaris-v2-simulation-ablation-representations/representations/seed_29/chronaris_no_missingness_curriculum/train
