seed,method_name,status,protocol_sha256,linear_classification_c,linear_regression_alpha,minirocket_classification_c,minirocket_regression_alpha,hyperparameter_selection_role
17,physiology_only,completed,e996beaa48430996cc1a319121fd7f11b67f995191303e63a0da63289d1d13b5,1.0,100.0,10.0,100.0,validation
17,vehicle_only,completed,48d313444d8d5000b7301dfd216afda6f2980f54d053f5d151d52bc0370f1b34,10.0,10.0,1.0,100.0,validation
17,naive_time_sync,completed,2d3abb7242e2e3f728e0fd154759a49218190c53c057e782297483f29baa75b8,1.0,100.0,0.1,100.0,validation
17,mult,completed,83e2d08657ee9836cf83bade4f347a2132b8ee7fb8b299fdc904d6137d50a36a,10.0,0.1,0.1,100.0,validation
17,contiformer,completed,e752a6d0917d11639cf5e7f66e9ebdb6d2c828d19282b2440255588de5aec2f7,10.0,1.0,10.0,100.0,validation
17,chronaris,completed,f4572bf2e6756cf1dda1c4758fb34db4b295a4ec268ccc5b9a2d42a9e24b3bb8,1.0,10.0,0.1,100.0,validation
29,physiology_only,completed,d4ecd075f7097ff477353645018085023a10154a9005f15e1b234952583574a4,10.0,100.0,0.1,100.0,validation
29,vehicle_only,completed,0604b27201e636197e9eca0d2bbb06128147cba53c0c4f5470c0f0ec6a366efd,10.0,0.1,0.1,100.0,validation
29,naive_time_sync,completed,867552c8b21e7e6b3e6e6007f57c40327052579ed74f92f7c9032e4a08335abc,1.0,100.0,1.0,100.0,validation
29,mult,completed,7439cb3ce40e7b2843b19c835c88f4893449c3fb3ad6cbde7677fa101271be54,10.0,0.1,0.1,100.0,validation
29,contiformer,completed,b08f7e93e91dba44868f92c4f4062050b57fdf96d51fe5012a336aca01415ddc,1.0,10.0,0.1,100.0,validation
29,chronaris,completed,e5e495c602872f1c60e53b6e7840b0875ffa9705ed4f4408536df90f5a3f2814,1.0,1.0,0.1,100.0,validation
43,physiology_only,completed,2b7fe277f7d9a77cf877bab4098c6baca6ea50cda1c8873044b2d650cf449017,1.0,100.0,1.0,100.0,validation
43,vehicle_only,completed,c36d0aac933a05fab506b6df9601676dfd2734583d26637654ca12ebc662f8b0,1.0,1.0,0.1,100.0,validation
43,naive_time_sync,completed,37221d2353e7f2686289bdf1dc5e2534de5ba49a1c19be419a2cb0bf4539d523,1.0,100.0,0.1,100.0,validation
43,mult,completed,4c36bfab4dce74b50057ffda28bec98e8f417a42e19489ba40eab5a77d23d0bb,0.1,0.1,0.1,100.0,validation
43,contiformer,completed,4c1c62b798e300a213df91815d481d97c5831fb8bdd05415940be6ad8ad574f5,10.0,10.0,1.0,100.0,validation
43,chronaris,completed,41545d743f6083d132ca7e5f66d14bdd85545abb4b60c80e64952749274f279f,10.0,0.1,1.0,100.0,validation
