seed,role,reference_method,comparison_method,consumer,unit_metric,difference_semantics,mean_difference,bootstrap_lower,bootstrap_upper,permutation_p_value,independent_unit_count,smoke_only
17,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.043294270833333336,-0.07569173177083333,-0.013779025607638898,0.0096990300969903,48,False
17,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.17447916666666666,-0.21912977430555555,-0.1338907877604167,9.999000099990002e-05,48,False
17,held_out,chronaris,naive_time_sync,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.09554036458333333,-0.13351915147569443,-0.05924343532986111,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.054850260416666664,0.018983289930555553,0.09028049045138889,0.005699430056994301,48,False
17,held_out,chronaris,vehicle_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.06146918402777779,-0.10894368489583332,-0.01458875868055559,0.0150984901509849,48,False
17,held_out,chronaris,contiformer,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.05262586805555555,-0.08669976128472223,-0.023003472222222227,0.0020997900209979003,48,False
17,held_out,chronaris,mult,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.19932725694444445,-0.24658203125,-0.15581597222222224,9.999000099990002e-05,48,False
17,held_out,chronaris,naive_time_sync,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.10655381944444443,-0.14442409939236112,-0.07121582031250011,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.05750868055555556,0.017140028211805547,0.09749755859374998,0.008899110088991101,48,False
17,held_out,chronaris,vehicle_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.046115451388888895,-0.09570719401041666,0.001306152343749987,0.0735926407359264,48,False
17,held_out,chronaris,contiformer,linear,classification_correct,positive_favors_reference,0.052083333333333336,-0.015625,0.11979166666666667,0.20537946205379462,48,False
17,held_out,chronaris,mult,linear,classification_correct,positive_favors_reference,0.046875,-0.020833333333333332,0.109375,0.21227877212278773,48,False
17,held_out,chronaris,naive_time_sync,linear,classification_correct,positive_favors_reference,0.17708333333333334,0.109375,0.24479166666666666,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,linear,classification_correct,positive_favors_reference,0.22916666666666666,0.14583333333333334,0.3072916666666667,9.999000099990002e-05,48,False
17,held_out,chronaris,vehicle_only,linear,classification_correct,positive_favors_reference,0.041666666666666664,-0.020833333333333332,0.10429687499999929,0.2842715728427157,48,False
17,held_out,chronaris,contiformer,linear,regression_absolute_error,positive_favors_reference,0.04751473090921839,0.03271603972728675,0.061439897950428216,9.999000099990002e-05,48,False
17,held_out,chronaris,mult,linear,regression_absolute_error,positive_favors_reference,0.05761358002200723,0.033610847122812024,0.0808380701385128,9.999000099990002e-05,48,False
17,held_out,chronaris,naive_time_sync,linear,regression_absolute_error,positive_favors_reference,0.1059592179954052,0.08720944205609461,0.12476893496544411,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,linear,regression_absolute_error,positive_favors_reference,0.08687932292620341,0.06616170424968004,0.10838686931723107,9.999000099990002e-05,48,False
17,held_out,chronaris,vehicle_only,linear,regression_absolute_error,positive_favors_reference,0.0550312123571833,0.04230967847785602,0.06761307989557581,9.999000099990002e-05,48,False
17,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.3229166666666667,-0.4114583333333333,-0.22916666666666666,9.999000099990002e-05,48,False
17,held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,-0.4010416666666667,-0.4739583333333333,-0.328125,9.999000099990002e-05,48,False
17,held_out,chronaris,naive_time_sync,minirocket,classification_correct,positive_favors_reference,-0.296875,-0.3854166666666667,-0.203125,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,minirocket,classification_correct,positive_favors_reference,-0.21354166666666666,-0.296875,-0.11979166666666667,9.999000099990002e-05,48,False
17,held_out,chronaris,vehicle_only,minirocket,classification_correct,positive_favors_reference,-0.3072916666666667,-0.3802083333333333,-0.234375,9.999000099990002e-05,48,False
17,held_out,chronaris,contiformer,minirocket,regression_absolute_error,positive_favors_reference,-0.1199218574911356,-0.1484274153946899,-0.0902088431447434,9.999000099990002e-05,48,False
17,held_out,chronaris,mult,minirocket,regression_absolute_error,positive_favors_reference,-0.12310921028256416,-0.15122062384616586,-0.09555743054176372,9.999000099990002e-05,48,False
17,held_out,chronaris,naive_time_sync,minirocket,regression_absolute_error,positive_favors_reference,-0.13227562606334686,-0.16443272376588236,-0.10023823884936672,9.999000099990002e-05,48,False
17,held_out,chronaris,physiology_only,minirocket,regression_absolute_error,positive_favors_reference,-0.05577794183045626,-0.08058680168663462,-0.029711490931610282,9.999000099990002e-05,48,False
17,held_out,chronaris,vehicle_only,minirocket,regression_absolute_error,positive_favors_reference,-0.11539660487324,-0.1420583023612077,-0.08742013496036335,9.999000099990002e-05,48,False
29,held_out,chronaris,contiformer,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.007921006944444446,-0.029081217447916672,0.043355305989583294,0.6954304569543046,48,False
29,held_out,chronaris,mult,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.07937282986111109,-0.12435302734374996,-0.034826660156250036,0.0010998900109989002,48,False
29,held_out,chronaris,naive_time_sync,causal_tcn_duration,frame_accuracy,positive_favors_reference,-0.011176215277777771,-0.04584554036458334,0.02441541883680556,0.5400459954004599,48,False
29,held_out,chronaris,physiology_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.10590277777777778,0.07253282335069443,0.13948838975694444,9.999000099990002e-05,48,False
29,held_out,chronaris,vehicle_only,causal_tcn_duration,frame_accuracy,positive_favors_reference,0.003200954861111114,-0.04329562717013888,0.04617377387152775,0.8949105089491051,48,False
29,held_out,chronaris,contiformer,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.004286024305555555,-0.04096272786458332,0.030763075086805553,0.8251174882511749,48,False
29,held_out,chronaris,mult,causal_tcn_raw,frame_accuracy,positive_favors_reference,-0.0871310763888889,-0.13129475911458335,-0.04508327907986114,0.00029997000299970003,48,False
29,held_out,chronaris,naive_time_sync,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.012044270833333324,-0.018176269531250008,0.04302571614583331,0.4477552244775522,48,False
29,held_out,chronaris,physiology_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.10498046875,0.0715589735243056,0.1381863064236111,9.999000099990002e-05,48,False
29,held_out,chronaris,vehicle_only,causal_tcn_raw,frame_accuracy,positive_favors_reference,0.02658420138888888,-0.0190456814236111,0.06831190321180551,0.26277372262773724,48,False
29,held_out,chronaris,contiformer,linear,classification_correct,positive_favors_reference,0.078125,-0.015625,0.17708333333333334,0.15698430156984303,48,False
29,held_out,chronaris,mult,linear,classification_correct,positive_favors_reference,0.005208333333333333,-0.057291666666666664,0.07304687499999929,1.0,48,False
29,held_out,chronaris,naive_time_sync,linear,classification_correct,positive_favors_reference,0.09895833333333333,0.041666666666666664,0.16145833333333334,0.005499450054994501,48,False
29,held_out,chronaris,physiology_only,linear,classification_correct,positive_favors_reference,0.14583333333333334,0.078125,0.22395833333333334,0.0010998900109989002,48,False
29,held_out,chronaris,vehicle_only,linear,classification_correct,positive_favors_reference,-0.020833333333333332,-0.09375,0.057291666666666664,0.6857314268573143,48,False
29,held_out,chronaris,contiformer,linear,regression_absolute_error,positive_favors_reference,0.011827139959981045,-0.001642563543282449,0.02555322715391715,0.09919008099190081,48,False
29,held_out,chronaris,mult,linear,regression_absolute_error,positive_favors_reference,-0.01140959452216824,-0.028757660808817795,0.006870582719178221,0.2104789521047895,48,False
29,held_out,chronaris,naive_time_sync,linear,regression_absolute_error,positive_favors_reference,0.09119654384752114,0.07136042196846877,0.11187136931500086,9.999000099990002e-05,48,False
29,held_out,chronaris,physiology_only,linear,regression_absolute_error,positive_favors_reference,0.07346203240255515,0.05120496484450996,0.09733802854316308,9.999000099990002e-05,48,False
29,held_out,chronaris,vehicle_only,linear,regression_absolute_error,positive_favors_reference,0.0016100377154846985,-0.012063458006984244,0.014991696209957195,0.8243175682431757,48,False
29,held_out,chronaris,contiformer,minirocket,classification_correct,positive_favors_reference,-0.23958333333333334,-0.3229166666666667,-0.14583333333333334,9.999000099990002e-05,48,False
29,held_out,chronaris,mult,minirocket,classification_correct,positive_favors_reference,-0.3177083333333333,-0.390625,-0.23958333333333334,9.999000099990002e-05,48,False
